rank,title,title_english,title_japanese,type,members,score,year
1,Shinseiki Evangelion,Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,1935710,8.36,1995
2,Romeo no Aoi Sora,Romeo's Blue Skies,ロミオの青い空,TV,54254,8.31,1995
3,Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,Movie,675561,8.27,1995
4,Mimi wo Sumaseba,Whisper of the Heart,耳をすませば,Movie,390539,8.22,1995
5,Golden Boy,Golden Boy,ゴールデンボーイ,OVA,436066,8.04,1995
7,Memories,Memories,MEMORIES（メモリーズ）,Movie,149330,7.72,1995
8,Macross Plus Movie Edition,Macross Plus Movie Edition,マクロスプラス　ＭＯＶＩＥ　ＥＤＩＴＩＯＮ,Movie,19571,7.7,1995
10,Gokinjo Monogatari,Neighborhood Stories,ご近所物語,TV,29746,7.67,1995
15,Fushigi Yuugi,Mysterious Play,ふしぎ遊戯,TV,125490,7.6,1995
17,Kaitou Saint Tail,Mysterious Thief Saint Tail,怪盗セイント・テール,TV,22926,7.54,1995
20,Ike! Ina-chuu Takkyuu-bu,The Ping-Pong Club,行け! 稲中卓球部,TV,18831,7.49,1995
21,On Your Mark,On Your Mark,On Your Mark CHAGE & ASKA,Music,42532,7.46,1995
22,Tenchi Muyou!,Tenchi Muyo! Tenchi Universe,天地無用！,TV,85433,7.42,1995
23,Gunsmith Cats,Gunsmith Cats,ガンスミス キャッツ,OVA,68532,7.4,1995
25,Doraemon: 2112-nen Doraemon Tanjou,Doraemon: 2112-nen Doraemon Tanjou,ドラえもん ２１１２年ドラえもん誕生,Movie,6778,7.37,1995
27,Chibi Maruko-chan (1995),Little Miss Maruko,ちびまる子ちゃん,TV,8033,7.36,1995
30,Marmalade Boy Movie,Marmalade Boy Movie,ママレード・ボーイ (1995),Movie,11894,7.28,1995
31,Slayers: The Motion Picture,Slayers: The Motion Picture,劇場版スレイヤーズ,Movie,26085,7.26,1995
32,Shinpi no Sekai El-Hazard,El Hazard: The Magnificent World,神秘の世界エルハザード,OVA,21615,7.24,1995
33,Yuu☆Yuu☆Hakusho: Eizou Hakusho II,Yuu☆Yuu☆Hakusho: Eizou Hakusho II,幽☆遊☆白書Ⅱ: 幽助、蔵魔、飛影、桑原,OVA,14372,7.24,1995
34,H2,H2,Ｈ２[エイチ・ツー],TV,10826,7.23,1995
35,Tobe! Isami,Soar High! Isami,飛べ！イサミ,TV,3237,7.21,1995
36,Mojakou,Mojakou,モジャ公,TV,3187,7.15,1995
37,Junkers Come Here,Junkers Come Here,ユンカース・カム・ヒア,Movie,7721,7.13,1995
38,Ranma ½: Battle ga Ippai 29-nin no Korinai Yatsura,Ranma ½: Huge Battle! 29 Unteachable Fools,らんま1/2 スペシャルビデオ バトルがいっぱい29人の懲りないやつら,OVA,5486,7.1,1995
39,Virtua Fighter,Virtua Fighter,バーチャファイター,TV,12628,7.1,1995
40,Kodomo no Omocha,Kodomo no Omocha,こどものおもちゃ OVA,OVA,7090,7.1,1995
41,Gotou ni Naritai.,Gotou ni Naritai.,５等になりたい。,Movie,3301,7.06,1995
42,Street Fighter II V,Street Fighter II: The Animated Series,ストリートファイターII V,TV,29420,7.05,1995
44,Ninkuu,Ninkuu,忍空,TV,7927,7.01,1995
46,Juuni Senshi Bakuretsu Eto Ranger,Juuni Senshi Bakuretsu Eto Ranger,十二戦支　爆烈エトレンジャー,TV,3012,7.0,1995
47,Ougon Yuusha Goldran,The Brave of Gold Goldran,黄金勇者ゴルドラン,TV,3573,6.99,1995
48,Kishin Douji Zenki,Zenki,鬼神童子ZENKI,TV,15527,6.97,1995
49,Armitage III,Armitage III,アミテージ・ザ・サード,OVA,38930,6.96,1995
