rank,title,title_english,title_japanese,type,members,score,year
2,Horimiya,Horimiya,ホリミヤ,TV,1528452,8.19,2021
3,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,TV,1476187,8.35,2021
4,Tokyo Revengers,Tokyo Revengers,東京リベンジャーズ,TV,1347305,7.85,2021
5,Boku no Hero Academia 5th Season,My Hero Academia Season 5,僕のヒーローアカデミア,TV,1281934,7.35,2021
7,Jujutsu Kaisen 0 Movie,Jujutsu Kaisen 0,劇場版 呪術廻戦 0,Movie,1126424,8.4,2021
8,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,転生したらスライムだった件,TV,1055389,8.35,2021
11,Yakusoku no Neverland 2nd Season,The Promised Neverland Season 2,約束のネバーランド,TV,971065,5.25,2021
12,"Komi-san wa, Comyushou desu.",Komi Can't Communicate,古見さんは、コミュ症です。,TV,963540,7.82,2021
13,Fumetsu no Anata e,To Your Eternity,不滅のあなたへ,TV,941746,8.34,2021
14,86,86 Eighty-Six,86―エイティシックス―,TV,892741,8.33,2021
16,Tensei shitara Slime Datta Ken 2nd Season Part 2,That Time I Got Reincarnated as a Slime Season 2 Part 2,転生したらスライムだった件,TV,856317,8.3,2021
17,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",イジらないで、長瀞さん,TV,853689,7.21,2021
18,Wonder Egg Priority,Wonder Egg Priority,ワンダーエッグ・プライオリティ,TV,802818,7.55,2021
20,Ousama Ranking,Ranking of Kings,王様ランキング,TV,714302,8.49,2021
21,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",ひげを剃る。そして女子高生を拾う。,TV,651143,7.27,2021
22,Kaifuku Jutsushi no Yarinaoshi,Redo of Healer,回復術士のやり直し,TV,621738,6.32,2021
23,SK∞,SK8 the Infinity,SK∞ エスケーエイト,TV,603736,8.0,2021
24,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,世界最高の暗殺者、異世界貴族に転生する,TV,599825,7.33,2021
25,Vanitas no Karte,The Case Study of Vanitas,ヴァニタスの手記,TV,592794,7.9,2021
27,86 Part 2,86 Eighty-Six Part 2,86―エイティシックス―,TV,585756,8.72,2021
28,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),TV,582017,8.38,2021
30,Takt Op. Destiny,Takt Op. Destiny,takt op.Destiny,TV,550184,7.16,2021
31,Mieruko-chan,Mieruko-chan,見える子ちゃん,TV,534130,7.39,2021
33,Tsuki ga Michibiku Isekai Douchuu,Tsukimichi -Moonlit Fantasy-,月が導く異世界道中,TV,516843,7.71,2021
34,Blue Period,Blue Period,ブルーピリオド,TV,505221,7.79,2021
35,"Kumo desu ga, Nani ka?","So I'm a Spider, So What?",蜘蛛ですが、なにか？,TV,483843,7.45,2021
36,Odd Taxi,Odd Taxi,オッドタクシー,TV,480045,8.64,2021
39,Gokushufudou,The Way of the Househusband,極主夫道,ONA,454963,7.26,2021
41,Shiguang Dailiren,Link Click,時光代理人,ONA,440321,8.72,2021
42,Genjitsu Shugi Yuusha no Oukoku Saikenki,How a Realist Hero Rebuilt the Kingdom,現実主義勇者の王国再建記,TV,433679,7.25,2021
43,Seirei Gensouki,Seirei Gensouki: Spirit Chronicles,精霊幻想記,TV,428260,7.07,2021
44,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",I've Been Killing Slimes for 300 Years and Maxed Out My Level,スライム倒して300年、知らないうちにレベルMAXになってました,TV,425319,6.9,2021
45,Jaku-Chara Tomozaki-kun,Bottom-Tier Character Tomozaki,弱キャラ友崎くん,TV,423013,7.11,2021
46,Ore dake Haireru Kakushi Dungeon,The Hidden Dungeon Only I Can Enter,俺だけ入れる隠しダンジョン,TV,420982,6.28,2021
47,Platinum End,Platinum End,プラチナエンド,TV,407074,6.02,2021
48,Kanojo mo Kanojo,"Girlfriend, Girlfriend",カノジョも彼女,TV,405777,6.52,2021
49,"Sentouin, Haken shimasu!",Combatants Will Be Dispatched!,戦闘員、派遣します！,TV,405343,7.14,2021
50,Kemono Jihen,Kemono Jihen,怪物事変,TV,405174,7.36,2021
