rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Grand Blue,Grand Blue Dreaming,ぐらんぶる,Manga,205413,9.05,2014,https://cdn.myanimelist.net/images/manga/2/166124l.jpg
2,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re：ゼロから始める異世界生活,Light Novel,88114,8.89,2014,https://cdn.myanimelist.net/images/manga/1/129447l.jpg
3,Kusuriya no Hitorigoto,The Apothecary Diaries,薬屋のひとりごと,Light Novel,27545,8.87,2014,https://cdn.myanimelist.net/images/manga/2/176943l.jpg
4,Dungeon Meshi,Delicious in Dungeon,ダンジョン飯,Manga,118225,8.81,2014,https://cdn.myanimelist.net/images/manga/3/148949l.jpg
4,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,Light Novel,104983,8.81,2014,https://cdn.myanimelist.net/images/manga/3/120337l.jpg
6,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,The House in Fata Morgana,ファタモルガーナの館 ―The house in Fata morgana― あなたの原典に至る物語,Light Novel,9670,8.8,2014,https://cdn.myanimelist.net/images/manga/2/193634l.jpg
7,Shoujo Shuumatsu Ryokou,Girls' Last Tour,少女終末旅行,Manga,93861,8.74,2014,https://cdn.myanimelist.net/images/manga/1/185918l.jpg
8,Golden Kamuy,Golden Kamuy,ゴールデンカムイ,Manga,112390,8.66,2014,https://cdn.myanimelist.net/images/manga/3/149257l.jpg
8,Seishun Buta Yarou Series,Rascal Does Not Dream,青春ブタ野郎シリーズ,Light Novel,33072,8.66,2014,https://cdn.myanimelist.net/images/manga/2/177502l.jpg
10,The Fable,The Fable,ザ・ファブル,Manga,69537,8.56,2014,https://cdn.myanimelist.net/images/manga/2/152911l.jpg
11,Jibaku Shounen Hanako-kun,Toilet-Bound Hanako-kun,地縛少年花子くん,Manga,133806,8.55,2014,https://cdn.myanimelist.net/images/manga/3/192551l.jpg
11,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,WorldEnd: What Do You Do at the End of the World? Are You Busy? Will You Save Us?,終末なにしてますか？忙しいですか？救ってもらっていいですか？,Light Novel,28887,8.55,2014,https://cdn.myanimelist.net/images/manga/3/174609l.jpg
13,"Ohayou, Ibarahime","Wake Up, Sleeping Beauty",おはよう、いばら姫,Manga,42211,8.48,2014,https://cdn.myanimelist.net/images/manga/3/164641l.jpg
14,Tensei shitara Slime Datta Ken,That Time I Got Reincarnated as a Slime,転生したらスライムだった件,Light Novel,45684,8.47,2014,https://cdn.myanimelist.net/images/manga/3/152383l.jpg
15,Bastard,Bastard,후레자식,Manhwa,155487,8.45,2014,https://cdn.myanimelist.net/images/manga/1/205549l.jpg
16,Bungou Stray Dogs,Bungo Stray Dogs,文豪ストレイドッグ,Light Novel,13276,8.42,2014,https://cdn.myanimelist.net/images/manga/3/180919l.jpg
17,Tokyo Ghoul:re,Tokyo Ghoul:re,東京喰種-トーキョーグール-:re,Manga,329825,8.36,2014,https://cdn.myanimelist.net/images/manga/3/145997l.jpg
18,Harukaze no Étranger,Seaside Stranger: Harukaze no Etranger,春風のエトランゼ,Manga,25602,8.27,2014,https://cdn.myanimelist.net/images/manga/2/173314l.jpg
19,Machikado Mazoku,The Demon Girl Next Door,まちカドまぞく,Manga,11564,8.22,2014,https://cdn.myanimelist.net/images/manga/2/215892l.jpg
19,Otouto no Otto,My Brother's Husband,弟の夫,Manga,15678,8.22,2014,https://cdn.myanimelist.net/images/manga/2/158104l.jpg
21,Dead Dead Demons Dededede Destruction,Dead Dead Demons Dededede Destruction,デッドデッドデーモンズデデデデデストラクション,Manga,88495,8.21,2014,https://cdn.myanimelist.net/images/manga/3/142079l.jpg
21,Girls & Panzer: Ribbon no Musha,,ガールズ&パンツァー リボンの武者,Manga,4582,8.21,2014,https://cdn.myanimelist.net/images/manga/2/277604l.jpg
21,Tsurezure Children,Tsuredure Children,徒然チルドレン,Manga,63580,8.21,2014,https://cdn.myanimelist.net/images/manga/1/155605l.jpg
24,Helck,Helck,Helck,Manga,46124,8.16,2014,https://cdn.myanimelist.net/images/manga/3/138699l.jpg
25,Something About Us,Something About Us,우리사이느은,Manhwa,31246,8.14,2014,https://cdn.myanimelist.net/images/manga/3/189603l.jpg
26,Winter Woods,Winter Woods,윈터우즈,Manhwa,11027,8.13,2014,https://cdn.myanimelist.net/images/manga/3/208547l.jpg
27,Jibaku Shounen Hanako-kun 0,Toilet-Bound Hanako-kun 0,地縛少年 花子くん 0,Manga,14826,8.09,2014,https://cdn.myanimelist.net/images/manga/2/226278l.jpg
27,Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Subarashii Sekai ni Bakuen wo!,Konosuba: An Explosion on This Wonderful World!,この素晴らしい世界に祝福を！スピンオフ この素晴らしい世界に爆焔を！,Light Novel,8861,8.09,2014,https://cdn.myanimelist.net/images/manga/2/156944l.jpg
29,Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,"Re:ZERO -Starting Life in Another World-, Chapter 2: A Week at the Mansion",Re：ゼロから始める異世界生活 第二章 屋敷の一週間編,Manga,16621,8.08,2014,https://cdn.myanimelist.net/images/manga/3/188947l.jpg
30,Kono Subarashii Sekai ni Shukufuku wo!,KonoSuba: God's Blessing on This Wonderful World!,この素晴らしい世界に祝福を！,Manga,29087,8.07,2014,https://cdn.myanimelist.net/images/manga/1/154542l.jpg
30,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,無職転生 ～異世界行ったら本気だす～,Manga,123934,8.07,2014,https://cdn.myanimelist.net/images/manga/2/181049l.jpg
32,Usemono Yado,,うせもの宿,Manga,11160,8.0,2014,https://cdn.myanimelist.net/images/manga/2/156613l.jpg
33,Overlord,Overlord,オーバーロード,Manga,50124,7.97,2014,https://cdn.myanimelist.net/images/manga/3/161407l.jpg
34,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side: Sword Oratoria,ダンジョンに出会いを求めるのは間違っているだろうか外伝 ソード・オラトリア,Light Novel,6129,7.96,2014,https://cdn.myanimelist.net/images/manga/3/121553l.jpg
35,4 Cut Hero,4 Cut Hero,4컷용사,Manhwa,16199,7.95,2014,https://cdn.myanimelist.net/images/manga/3/204866l.jpg
36,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,Manga,477760,7.94,2014,https://cdn.myanimelist.net/images/manga/1/209370l.jpg
36,Lookism,Lookism,외모지상주의,Manhwa,78487,7.94,2014,https://cdn.myanimelist.net/images/manga/2/208866l.jpg
38,Ookami Shounen wa Kyou mo Uso wo Kasaneru,The boy who cried wolf tells a lie today also,狼少年は今日も嘘を重ねる,Manga,41750,7.92,2014,https://cdn.myanimelist.net/images/manga/3/148976l.jpg
39,Takane to Hana,Takane & Hana,高嶺と花,Manga,31812,7.91,2014,https://cdn.myanimelist.net/images/manga/1/152773l.jpg
40,Namidaame to Serenade,Rainy Day Serenade,涙雨とセレナーデ,Manga,8365,7.9,2014,https://cdn.myanimelist.net/images/manga/3/270283l.jpg
40,The Last: Naruto the Movie,,THE LAST -NARUTO THE MOVIE-,Light Novel,4546,7.9,2014,https://cdn.myanimelist.net/images/manga/1/144797l.jpg
40,Youkai Gakkou no Sensei Hajimemashita!,A Terrified Teacher at Ghoul School!,妖怪学校の先生はじめました!,Manga,7940,7.9,2014,https://cdn.myanimelist.net/images/manga/1/277602l.jpg
43,Fairy Tail Zerø,Fairy Tail Zero,FAIRY TAIL ZERØ,Manga,56559,7.88,2014,https://cdn.myanimelist.net/images/manga/1/167384l.jpg
43,Lord El-Melloi II-sei no Jikenbo,,ロード・エルメロイⅡ世の事件簿,Light Novel,3203,7.88,2014,https://cdn.myanimelist.net/images/manga/3/229155l.jpg
43,Mother's Spirit,,マザーズ・スピリット,Manga,11086,7.88,2014,https://cdn.myanimelist.net/images/manga/2/300766l.jpg
