rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Dragon Ball,Dragon Ball,ドラゴンボール,Manga,185919,8.46,1984,https://cdn.myanimelist.net/images/manga/1/267793l.jpg
2,Shoujo Tsubaki,Mr. Arashi's Amazing Freak Show,少女椿,Manga,15197,5.92,1984,https://cdn.myanimelist.net/images/manga/5/176724l.jpg
3,Ningyo Series,,人魚シリーズ,Manga,9094,7.4,1984,https://cdn.myanimelist.net/images/manga/2/183364l.jpg
4,Baoh Raihousha,Baoh,バオー 来訪者,Manga,8519,6.38,1984,https://cdn.myanimelist.net/images/manga/1/207963l.jpg
5,Kimagure Orange☆Road,Kimagure Orange Road,きまぐれオレンジ☆ロード,Manga,7495,7.51,1984,https://cdn.myanimelist.net/images/manga/3/156252l.jpg
6,2001-ya Monogatari,2001 Nights,2001夜物語,Manga,6673,7.69,1984,https://cdn.myanimelist.net/images/manga/1/267904l.jpg
7,Be-Bop Highschool,,ビー・バップ・ハイスクール,Manga,2850,7.24,1984,https://cdn.myanimelist.net/images/manga/2/274668l.jpg
8,Tekken Chinmi,Ironfist Chinmi,鉄拳チンミ,Manga,2371,7.74,1984,https://cdn.myanimelist.net/images/manga/2/280452l.jpg
9,Shin Takarajima,,新宝島,Manga,2296,6.49,1984,https://cdn.myanimelist.net/images/manga/2/259224l.jpg
10,What's Michael?,What's Michael?,ホワッツ マイケル？,Manga,2022,7.35,1984,https://cdn.myanimelist.net/images/manga/3/203273l.jpg
11,Colored,Color of Rage,からぁ怒,Manga,1969,6.28,1984,https://cdn.myanimelist.net/images/manga/2/12218l.jpg
12,Yami no Purple Eye,,闇のパープル・アイ,Manga,1730,6.78,1984,https://cdn.myanimelist.net/images/manga/3/175790l.jpg
13,Cooking Papa,,クッキングパパ,Manga,1606,7.26,1984,https://cdn.myanimelist.net/images/manga/1/75853l.jpg
14,Short Program,Short Program,ショート・プログラム あだち充傑作短編作品集,Manga,1578,7.2,1984,https://cdn.myanimelist.net/images/manga/2/259884l.jpg
15,Mephisto,,メフィスト,Manga,1082,6.58,1984,https://cdn.myanimelist.net/images/manga/2/172105l.jpg
16,Kenshin,,拳神,Manga,1069,7.42,1984,https://cdn.myanimelist.net/images/manga/1/76713l.jpg
17,God Mazinger,,ゴッドマジンガー,Manga,830,6.37,1984,https://cdn.myanimelist.net/images/manga/2/285506l.jpg
18,Turandot no Renkinjutsushi,,トーランドットの錬金術師,Manga,716,6.98,1984,https://cdn.myanimelist.net/images/manga/1/266737l.jpg
19,Chou Sentouken Blanca,,超戦闘犬ブランカ,Manga,713,7.09,1984,https://cdn.myanimelist.net/images/manga/1/185775l.jpg
20,Enemigo,,エネミーゴ,Manga,696,6.51,1984,https://cdn.myanimelist.net/images/manga/1/293053l.jpg
21,Hotel,,HOTEL,Manga,659,,1984,https://cdn.myanimelist.net/images/manga/3/161359l.jpg
22,Be Free!,,BE FREE! ビー・フリー,Manga,623,,1984,https://cdn.myanimelist.net/images/manga/4/76293l.jpg
23,Mou Hitotsu no Shinwa,,もうひとつの神話,Manga,590,6.88,1984,https://cdn.myanimelist.net/images/manga/1/176053l.jpg
24,Attacker You!,Attacker You!,アタッカーYOU!,Manga,581,6.58,1984,https://cdn.myanimelist.net/images/manga/2/1724l.jpg
25,Hyakka Teien no Higeki,Full Flower Garden; Tragedy of the Garden of Many Flowers,百花庭園の悲劇,Manga,534,6.16,1984,https://cdn.myanimelist.net/images/manga/2/24942l.jpg
26,Chizumi & Fujiomi - Gin-iro Ehon,Chizumi & Fujiomi - Golden Book,千津美と藤臣君 銀色絵本,Manga,530,7.07,1984,https://cdn.myanimelist.net/images/manga/1/343705l.jpg
27,Otokozaka,,男坂,Manga,493,,1984,https://cdn.myanimelist.net/images/manga/5/252110l.jpg
28,"""Eiji""",,「エイジ」,Manga,486,,1984,https://cdn.myanimelist.net/images/manga/3/258672l.jpg
29,Jigoku Kozou,,地獄小僧,Manga,436,6.55,1984,https://cdn.myanimelist.net/images/manga/2/170919l.jpg
