rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Lost World,Lost World,ロスト・ワールド<前世紀>,Manga,1601,6.18,1948,https://cdn.myanimelist.net/images/manga/3/270606l.jpg
2,Chiteikoku no Kaijin,The Mysterious Underground Men,地底国の怪人,Manga,829,6.56,1948,https://cdn.myanimelist.net/images/manga/2/268894l.jpg
3,Jungle Makyou,,ジャングル魔境,Manga,299,,1948,https://cdn.myanimelist.net/images/manga/1/228232l.jpg
3,Mahou Yashiki,Magic House,魔法屋敷,Manga,299,,1948,https://cdn.myanimelist.net/images/manga/3/270384l.jpg
5,Mori no Yonkenshi,,森の四剣士,Manga,286,,1948,https://cdn.myanimelist.net/images/manga/3/270383l.jpg
6,Tarzan no Himitsu Kichi,,ターザンの秘密基地,Manga,184,,1948,https://cdn.myanimelist.net/images/manga/1/228181l.jpg
7,Daikuu Maou,King Rocket,大空魔王,Manga,84,,1948,https://cdn.myanimelist.net/images/manga/2/304401l.jpg
8,Issennengo no Sekai,,一千年后の世界,Manga,27,,1948,https://cdn.myanimelist.net/images/manga/1/311805l.jpg
8,Kamen no Boukenji,,仮面の冒険児,Manga,27,,1948,https://cdn.myanimelist.net/images/manga/3/310547l.jpg
