rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Getter Robo,,ゲッターロボ,Manga,7487,7.18,1974,https://cdn.myanimelist.net/images/manga/1/272716l.jpg
2,Thomas no Shinzou,The Heart of Thomas,トーマの心臓,Manga,6896,7.89,1974,https://cdn.myanimelist.net/images/manga/2/262219l.jpg
3,Oniisama e...,,おにいさまへ…,Manga,6455,7.6,1974,https://cdn.myanimelist.net/images/manga/3/12030l.jpg
4,Senrei,,洗礼,Manga,2921,7.04,1974,https://cdn.myanimelist.net/images/manga/1/205379l.jpg
5,Deimos no Hanayome,Bride of Deimos,悪魔の花嫁,Manga,2281,7.09,1974,https://cdn.myanimelist.net/images/manga/3/158105l.jpg
6,Uchuu Senkan Yamato,Space Battleship Yamato,宇宙戦艦ヤマト,Manga,1755,6.61,1974,https://cdn.myanimelist.net/images/manga/1/316179l.jpg
7,Kekkou Kamen,,けっこう仮面,Manga,1453,6.08,1974,https://cdn.myanimelist.net/images/manga/3/159061l.jpg
8,Versailles no Bara Gaiden,The Rose of Versailles Side Stories: The Great Detective Loulou,ベルサイユのばら外伝,Manga,1267,7.18,1974,https://cdn.myanimelist.net/images/manga/2/13142l.jpg
9,Great Mazinger,,グレートマジンガー,Manga,1259,6.46,1974,https://cdn.myanimelist.net/images/manga/3/268817l.jpg
10,Youkai Hunter,,妖怪ハンター,Manga,1204,6.54,1974,https://cdn.myanimelist.net/images/manga/2/222554l.jpg
11,Rikon Club,,離婚倶楽部,Manga,1181,7.49,1974,https://cdn.myanimelist.net/images/manga/3/266715l.jpg
12,Tetsu no Senritsu,,鉄の旋律,Manga,1167,6.59,1974,https://cdn.myanimelist.net/images/manga/2/40608l.jpg
13,Haru Hayate,,春はやて,Manga,1108,5.8,1974,https://cdn.myanimelist.net/images/manga/3/177114l.jpg
14,Itezuru,,凍鶴,Manga,965,7.33,1974,https://cdn.myanimelist.net/images/manga/1/152894l.jpg
15,Mitsume ga Tooru,The Three-eyed One,三つ目がとおる,Manga,944,7.37,1974,https://cdn.myanimelist.net/images/manga/5/175739l.jpg
16,Aku no Hana,,悪の華,Manga,728,7.23,1974,https://cdn.myanimelist.net/images/manga/1/225295l.jpg
17,Great Mazinger,,グレートマジンガー,Manga,671,6.11,1974,https://cdn.myanimelist.net/images/manga/3/254036l.jpg
18,Pharaoh no Haka,The Pharaoh's Tomb,ファラオの墓,Manga,587,,1974,https://cdn.myanimelist.net/images/manga/3/12823l.jpg
19,Kamen Rider Amazon,,仮面ライダーアマゾン,Manga,419,6.15,1974,https://cdn.myanimelist.net/images/manga/3/285334l.jpg
20,Oira Sukeban,,おいら女蛮,Manga,385,,1974,https://cdn.myanimelist.net/images/manga/3/268812l.jpg
21,Ikki Mandara,,一輝まんだら,Manga,349,,1974,https://cdn.myanimelist.net/images/manga/4/191338l.jpg
22,Otokogumi,,男組,Manga,348,,1974,https://cdn.myanimelist.net/images/manga/3/103359l.jpg
23,Mabudachi Jingi,,真友仁義,Manga,338,5.97,1974,https://cdn.myanimelist.net/images/manga/1/71099l.jpg
24,Jigoku ni Ochita Kyoushi-domo,The Pits of Hell,地獄に堕ちた教師ども,Manga,315,,1974,https://cdn.myanimelist.net/images/manga/1/255415l.jpg
25,Gaksital,,각시탈,Manhwa,302,,1974,https://cdn.myanimelist.net/images/manga/1/150570l.jpg
25,Little Boy,,リトルボーイ,Manga,302,5.67,1974,https://cdn.myanimelist.net/images/manga/1/149777l.jpg
27,Metamorphose,Metamorphose,メタモルフォーゼ,Manga,301,,1974,https://cdn.myanimelist.net/images/manga/2/280594l.jpg
28,Circuit no Ookami,,サーキットの狼,Manga,262,,1974,https://cdn.myanimelist.net/images/manga/2/178751l.jpg
29,Designer,Designer,デザイナー,Manga,257,,1974,https://cdn.myanimelist.net/images/manga/2/12497l.jpg
30,Sanchoume no Yuuhi,,三丁目の夕日,Manga,222,,1974,https://cdn.myanimelist.net/images/manga/3/36185l.jpg
31,Iyahaya Nantomo,,イヤハヤ南友,Manga,208,,1974,https://cdn.myanimelist.net/images/manga/3/310856l.jpg
32,Nihon Hakkyou,,日本発狂,Manga,201,,1974,https://cdn.myanimelist.net/images/manga/1/283309l.jpg
33,Candy to Choco Bonbon,,キャンディとチョコボンボン 大矢ちき傑作集,Manga,188,,1974,https://cdn.myanimelist.net/images/manga/1/138199l.jpg
34,Youchuu,Mansect,妖虫,Manga,171,,1974,https://cdn.myanimelist.net/images/manga/2/321177l.jpg
35,Uchuu Senkan Yamato,,宇宙戦艦ヤマト,Manga,160,,1974,https://cdn.myanimelist.net/images/manga/3/60979l.jpg
36,Shouko no Etude,The Etude of Shouko,章子のエチュード,Manga,154,,1974,https://cdn.myanimelist.net/images/manga/3/18053l.jpg
37,Uchuu Senkan Yamato,,宇宙戦艦ヤマト,Manga,138,,1974,https://cdn.myanimelist.net/images/manga/3/60983l.jpg
38,Bakuratsu Kyoushitsu,,バクラツ教室,Manga,135,,1974,https://cdn.myanimelist.net/images/manga/1/25333l.jpg
39,Boogie Woogie Waltz,,BOOGIE WOOGIE WALTZ,Manga,134,,1974,https://cdn.myanimelist.net/images/manga/1/266287l.jpg
40,Hoshi no ko Chobin,,星の子チョビン,Manga,130,,1974,https://cdn.myanimelist.net/images/manga/2/42830l.jpg
41,Mayonaka no Senshi,,真夜中の戦士,Manga,115,,1974,https://cdn.myanimelist.net/images/manga/2/12014l.jpg
42,Kuroi Hohoemi,,黒い微笑〈ほほえみ〉,Manga,108,,1974,https://cdn.myanimelist.net/images/manga/1/103037l.jpg
43,Hawking,Hawking,ホーキング,Manga,104,,1974,https://cdn.myanimelist.net/images/manga/1/206038l.jpg
44,Hitoribocchi Ruka,,ひとりぼっち流花,Manga,99,,1974,https://cdn.myanimelist.net/images/manga/3/146623l.jpg
45,Yumeshi Alice,,夢師アリス,Manga,95,,1974,https://cdn.myanimelist.net/images/manga/2/239557l.jpg
46,Good Weather,,GOOD WEATHER,Manga,89,,1974,https://cdn.myanimelist.net/images/manga/2/266292l.jpg
47,Shitsurakuen,,失楽園,Manga,86,,1974,https://cdn.myanimelist.net/images/manga/3/303857l.jpg
48,Love Pack,Love Pack,ラブパック,Manga,78,,1974,https://cdn.myanimelist.net/images/manga/1/33012l.jpg
49,Ookami no Seiza,,狼の星座,Manga,70,,1974,https://cdn.myanimelist.net/images/manga/3/322866l.jpg
50,Kawaii Gambler,,かわいいギャンブラー,Manga,65,,1974,https://cdn.myanimelist.net/images/manga/2/187898l.jpg
51,Fuushigi-kun,,フーシギくん,Manga,63,,1974,https://cdn.myanimelist.net/images/manga/2/198838l.jpg
52,Garasu no Hashi,,ガラスの橋,Manga,61,,1974,https://cdn.myanimelist.net/images/manga/1/47769l.jpg
53,Arabesque Dai 2-bu,,アラベスク 第2部,Manga,59,,1974,https://cdn.myanimelist.net/images/manga/1/293787l.jpg
53,Dracula-kun,,どらきゅらクン,Manga,59,,1974,https://cdn.myanimelist.net/images/manga/1/298187l.jpg
53,Hoshi no Densetsu Agartha,,星の伝説 アガルタ,Manga,59,,1974,https://cdn.myanimelist.net/images/manga/2/334448l.jpg
53,Spotlight,,スポットライト,Manga,59,,1974,https://cdn.myanimelist.net/images/manga/2/131639l.jpg
57,Teki wa Tsuyoi Zo Tegowai Zo!,,テキは強いぞ手ごわいぞ,Manga,49,,1974,https://cdn.myanimelist.net/images/manga/3/36857l.jpg
58,Denjin Zaborger,,電人ザボーガー,Manga,41,,1974,https://cdn.myanimelist.net/images/manga/3/296567l.jpg
59,Hotaru no Yado,,螢の宿,Manga,40,,1974,https://cdn.myanimelist.net/images/manga/1/304542l.jpg
60,Denjin Zaborger,,電人ザボーガー,Manga,39,,1974,https://cdn.myanimelist.net/images/manga/2/296565l.jpg
61,Miriam Blue no Mizuumi,,ミリアム・ブルーの湖,Manga,28,,1974,https://cdn.myanimelist.net/images/manga/3/321342l.jpg
62,Lorient no Aoi Sora,,ロリアンの青い空,Manga,23,,1974,https://cdn.myanimelist.net/images/manga/3/321578l.jpg
63,Kouha Ginjirou,,硬派銀次郎,Manga,17,,1974,https://cdn.myanimelist.net/images/manga/3/345847l.jpg
64,Low Teen Blues,Low Teen Blues,ローティーンブルース,Manga,15,,1974,https://cdn.myanimelist.net/images/manga/2/335181l.jpg
