rank,title,title_english,title_japanese,type,members,score,year
1,City Hunter,City Hunter,シティーハンター,TV,88262,7.91,1987
3,Youjuu Toshi,Wicked City,妖獣都市,Movie,62501,6.44,1987
4,Bubblegum Crisis,Bubblegum Crisis,バブルガムクライシス,OVA,61053,7.29,1987
5,Kimagure Orange☆Road,Kimagure Orange Road,きまぐれオレンジ☆ロード,TV,52001,7.51,1987
6,Ouritsu Uchuugun: Honneamise no Tsubasa,Royal Space Force: The Wings of Honneamise,王立宇宙軍 オネアミスの翼,Movie,49868,7.45,1987
7,Manie-Manie: Meikyuu Monogatari,Neo Tokyo,Manie-Manie 迷宮物語,Movie,37251,7.06,1987
8,Devilman: Tanjou-hen,Devilman: The Birth,デビルマン 誕生編,OVA,34531,7.17,1987
10,Robot Carnival,Robot Carnival,ロボット・カーニバル,OVA,29617,7.21,1987
12,Black Magic M-66,Black Magic M-66,ブラックマジックＭ（マリオ）－６６,OVA,20022,6.38,1987
13,Kaze to Ki no Uta Sanctus: Sei Naru Kana,The Poem of Wind and Trees,風と木の詩　ＳＡＮＣＴＵＳ－聖なるかな－,OVA,16823,6.85,1987
14,Choujin Densetsu Urotsukidouji,Urotsukidoji: Legend of the Overfiend,超神伝説 うろつき童子,OVA,15649,6.05,1987
16,Genji Monogatari,The Tale of Genji,源氏物語,Movie,12486,6.39,1987
17,Lily C.A.T.,Lily C.A.T.,LILY-C.A.T.,OVA,12163,5.97,1987
19,Metal Skin Panic MADOX-01,Metal Skin Panic MADOX-01,メタルスキンパニックMADOX-01,OVA,10842,5.92,1987
20,Junk Boy,Junk Boy,ジャンクボーイ,OVA,10500,5.86,1987
21,Macross Flash Back 2012,Super Dimension Fortress Macross Flash Back 2012,超時空要塞マクロス FLASH BACK 2012,OVA,10497,6.85,1987
22,Ai no Wakakusa Monogatari,Tales of Little Women,愛の若草物語,TV,10336,7.39,1987
23,Digital Devil Story: Megami Tensei,Digital Devil Story: Megami Tensei,デジタル・デビル物語〈ストーリ〉 女神転生,OVA,10205,5.16,1987
24,Battle Royal High School,Battle Royal High School,真魔神伝　バトルロイヤルハイスクール,OVA,9995,5.59,1987
25,Twilight Q,Twilight Q,トワイライトQ,OVA,9102,6.31,1987
27,Haja Taisei Dangaiou,Great Planet Evil-Destroyer Dangaio,破邪大星弾劾凰 [ダンガイオー],OVA,8622,6.14,1987
29,Lady Lady!!,Lady Lady!!,レディレディ！！,TV,7535,7.45,1987
31,Kikou Senki Dragonar,Metal Armor Dragonar,機甲戦記ドラグナー,TV,6933,6.72,1987
32,Warau Hyouteki,Laughing Target,笑う標的,OVA,6790,6.1,1987
33,Akai Koudan Zillion,Zillion,赤い光弾ジリオン,TV,6588,6.59,1987
35,Hiatari Ryoukou!,Sunny Ryoko,陽あたり良好！,TV,6206,7.02,1987
36,Muramasa,Muramasa,村正,Movie,6119,6.15,1987
37,Anime Sanjuushi,The Three Musketeers,アニメ三銃士,TV,6081,7.11,1987
38,Grimm Meisaku Gekijou,Grimm's Fairy Tale Classics,グリム名作劇場,TV,5810,7.41,1987
39,Mister Ajikko,Mister Ajikko,ミスター味っ子,TV,5756,7.11,1987
41,TO-Y,TO-Y,トーイ,OVA,5144,6.23,1987
42,X Densha de Ikou,Take the X Train,X電車で行こう,OVA,4990,5.81,1987
43,Transformers: The☆Headmasters,Transformers The Headmasters,トランスフォーマー ザ☆ヘッドマスターズ,TV,4801,6.42,1987
44,Maryuu Senki,Maryuu Senki,魔龍戦紀,OVA,4794,5.18,1987
46,Space Fantasia 2001 Nights,Space Fantasia 2001 Nights,スペース ファンタジア　２００１夜物語,OVA,4203,6.2,1987
47,Minna Agechau♡,Minna Agechau♡,みんなあげちゃう♡,OVA,4190,5.77,1987
48,Gakuen Tokusou Hikaruon,Campus Special Investigator Hikaruon,学園特捜ヒカルオン,OVA,4104,5.52,1987
50,Bari Bari Densetsu (1987),Bari Bari Densetsu (1987),バリバリ伝説,Movie,3963,6.63,1987
