rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Yotsuba to!,Yotsuba&!,よつばと!,Manga,181941,8.92,2003,https://cdn.myanimelist.net/images/manga/5/259524l.jpg
2,Natsume Yuujinchou,Natsume's Book of Friends,夏目友人帳,Manga,50677,8.69,2003,https://cdn.myanimelist.net/images/manga/3/260099l.jpg
3,Death Note,Death Note,DEATH NOTE,Manga,434537,8.68,2003,https://cdn.myanimelist.net/images/manga/1/258245l.jpg
4,Gintama,Gin Tama,銀魂,Manga,105213,8.65,2003,https://cdn.myanimelist.net/images/manga/3/267795l.jpg
5,Pluto,Pluto: Urasawa x Tezuka,PLUTO,Manga,142178,8.62,2003,https://cdn.myanimelist.net/images/manga/1/264496l.jpg
6,Baccano!,Baccano!,バッカーノ!,Light Novel,22785,8.55,2003,https://cdn.myanimelist.net/images/manga/2/172736l.jpg
6,Suzumiya Haruhi Series,,涼宮ハルヒシリーズ,Light Novel,41065,8.55,2003,https://cdn.myanimelist.net/images/manga/1/186142l.jpg
8,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,Light Novel,19229,8.47,2003,https://cdn.myanimelist.net/images/manga/1/202288l.jpg
9,No.6,,NO.6 (ナンバー・シックス),Novel,23015,8.43,2003,https://cdn.myanimelist.net/images/manga/2/129825l.jpg
10,xxxHOLiC,xxxHOLiC,xxxHOLiC,Manga,93055,8.38,2003,https://cdn.myanimelist.net/images/manga/3/217533l.jpg
11,Homunculus,Homunculus,ホムンクルス,Manga,177495,8.34,2003,https://cdn.myanimelist.net/images/manga/1/318l.jpg
11,Saikyou Densetsu Kurosawa,"The Legend of the Strongest, Kurosawa!",最強伝説黒沢,Manga,30105,8.34,2003,https://cdn.myanimelist.net/images/manga/1/262554l.jpg
13,Tsubasa: RESERVoir CHRoNiCLE,Tsubasa: RESERVoir CHRoNiCLE,ツバサ -RESERVoir CHRoNiCLE-,Manga,86225,8.3,2003,https://cdn.myanimelist.net/images/manga/1/272410l.jpg
14,Historie,Historié,ヒストリエ,Manga,29874,8.26,2003,https://cdn.myanimelist.net/images/manga/2/167504l.jpg
15,Silver Diamond,Silver Diamond,SILVER DIAMOND -シルバー ダイヤモンド-,Manga,9899,8.21,2003,https://cdn.myanimelist.net/images/manga/3/190777l.jpg
16,Ookiku Furikabutte,,おおきく振りかぶって,Manga,10885,8.2,2003,https://cdn.myanimelist.net/images/manga/2/255072l.jpg
17,Capeta,Capeta,カペタ,Manga,6711,8.18,2003,https://cdn.myanimelist.net/images/manga/3/286585l.jpg
18,Shingetsutan Tsukihime,Lunar Legend Tsukihime,真月譚 月姫,Manga,46260,8.17,2003,https://cdn.myanimelist.net/images/manga/2/253328l.jpg
19,Fushigi Yuugi: Genbu Kaiden,Fushigi Yugi: Genbu Kaiden,ふしぎ遊戯 玄武開伝,Manga,13793,8.15,2003,https://cdn.myanimelist.net/images/manga/2/269289l.jpg
20,NHK ni Youkoso!,Welcome to the N.H.K.,NHKにようこそ!,Manga,65775,8.12,2003,https://cdn.myanimelist.net/images/manga/1/172691l.jpg
21,Soul Eater,Soul Eater,SOUL EATER,Manga,216582,8.11,2003,https://cdn.myanimelist.net/images/manga/1/159808l.jpg
22,Shigurui,,シグルイ,Manga,34680,8.09,2003,https://cdn.myanimelist.net/images/manga/1/110081l.jpg
23,Beauty Pop,Beauty Pop,ビューティーポップ,Manga,29916,8.08,2003,https://cdn.myanimelist.net/images/manga/2/257891l.jpg
23,Koukou Debut,High School Debut,高校デビュー,Manga,69655,8.08,2003,https://cdn.myanimelist.net/images/manga/3/265953l.jpg
25,Gosick,Gosick,GOSICK -ゴシック-,Light Novel,8475,8.06,2003,https://cdn.myanimelist.net/images/manga/2/108085l.jpg
26,Ore to Akuma no Blues,Me and the Devil Blues: The Unreal Life of Robert Johnson,俺と悪魔のブルーズ,Manga,26779,8.05,2003,https://cdn.myanimelist.net/images/manga/5/101327l.jpg
27,Bokurano,Bokurano: Ours,ぼくらの,Manga,38256,8.03,2003,https://cdn.myanimelist.net/images/manga/1/57107l.jpg
27,Vampire Juujikai,The Record of a Fallen Vampire,ヴァンパイア十字界,Manga,14148,8.03,2003,https://cdn.myanimelist.net/images/manga/2/145329l.jpg
29,Sunadokei,Sand Chronicles,砂時計,Manga,17903,8.0,2003,https://cdn.myanimelist.net/images/manga/4/213999l.jpg
30,Nousatsu Junkie,Nosatsu Junkie,悩殺ジャンキー,Manga,13517,7.98,2003,https://cdn.myanimelist.net/images/manga/3/170561l.jpg
31,Tsuki no Shippo,Tail of the Moon,月のしっぽ,Manga,12002,7.97,2003,https://cdn.myanimelist.net/images/manga/3/160615l.jpg
32,Mahou Sensei Negima!,Negima! Magister Negi Magi,魔法先生ネギま!,Manga,78065,7.92,2003,https://cdn.myanimelist.net/images/manga/1/259286l.jpg
33,Eien no With,,永遠のウィズ,Manga,6577,7.91,2003,https://cdn.myanimelist.net/images/manga/3/19931l.jpg
34,Special A,S.A: Special A,S・A スペシャル・エー,Manga,44485,7.9,2003,https://cdn.myanimelist.net/images/manga/2/269702l.jpg
35,Tenshi ja Nai!!,I'm no Angel!,天使じゃない！！,Manga,9066,7.88,2003,https://cdn.myanimelist.net/images/manga/3/217l.jpg
36,Lucky☆Star,Lucky☆Star,らき☆すた,Manga,17735,7.86,2003,https://cdn.myanimelist.net/images/manga/3/265400l.jpg
37,CUT,CUT,クット,Manga,9156,7.85,2003,https://cdn.myanimelist.net/images/manga/1/282534l.jpg
37,Trinity Blood,Trinity Blood,トリニティ・ブラッド,Manga,21753,7.85,2003,https://cdn.myanimelist.net/images/manga/1/164661l.jpg
39,Hanbun no Tsuki ga Noboru Sora,,半分の月がのぼる空,Light Novel,3188,7.83,2003,https://cdn.myanimelist.net/images/manga/1/119061l.jpg
40,Under (xGround) Grand Hotel,Under (xGround) Grand Hotel,アンダーグラ〔×ウ〕ンドホテル,Manga,6439,7.82,2003,https://cdn.myanimelist.net/images/manga/3/323416l.jpg
41,IS: Otoko demo Onna demo Nai Sei,,IS ～男でも女でもない性～,Manga,7230,7.81,2003,https://cdn.myanimelist.net/images/manga/3/208862l.jpg
42,Alive: Saishuu Shinkateki Shounen,Alive: The Final Evolution,アライブ 最終進化的少年,Manga,27356,7.8,2003,https://cdn.myanimelist.net/images/manga/1/185482l.jpg
42,Hybrid Child,Hybrid Child,Hybrid Child,Manga,10635,7.8,2003,https://cdn.myanimelist.net/images/manga/3/129067l.jpg
42,Owari no Chronicle,,終わりのクロニクル,Light Novel,2956,7.8,2003,https://cdn.myanimelist.net/images/manga/4/324176l.jpg
45,Karin,Chibi Vampire,かりん,Manga,36922,7.73,2003,https://cdn.myanimelist.net/images/manga/2/181516l.jpg
45,Kieli,,キーリ,Light Novel,2572,7.73,2003,https://cdn.myanimelist.net/images/manga/3/121717l.jpg
45,Saa Koi ni Ochitamae,Fall in love with me,さあ恋におちたまえ,Manga,3618,7.73,2003,https://cdn.myanimelist.net/images/manga/3/6061l.jpg
45,Strawberry Shake Sweet,,ストロベリーシェイクSWEET,Manga,6859,7.73,2003,https://cdn.myanimelist.net/images/manga/3/10151l.jpg
49,Wild Life,,ワイルドライフ,Manga,4862,7.71,2003,https://cdn.myanimelist.net/images/manga/3/17923l.jpg
50,Chokomimi,Chocomimi,チョコミミ,Manga,1531,7.69,2003,https://cdn.myanimelist.net/images/manga/3/89043l.jpg
51,Shinigami no Ballad.,Ballad of a Shinigami,しにがみのバラッド。,Light Novel,1617,7.68,2003,https://cdn.myanimelist.net/images/manga/3/148457l.jpg
51,Sugar Sugar Rune,Sugar Sugar Rune,シュガシュガルーン,Manga,13434,7.68,2003,https://cdn.myanimelist.net/images/manga/2/263709l.jpg
53,No Color,No Color,ノーカラー,Manga,4929,7.67,2003,https://cdn.myanimelist.net/images/manga/3/18822l.jpg
53,Zettai Kareshi.,Absolute Boyfriend,絶対彼氏。,Manga,39196,7.67,2003,https://cdn.myanimelist.net/images/manga/1/185981l.jpg
55,Kimi wa Girlfriend,,キミはガールフレンド,Manga,15329,7.66,2003,https://cdn.myanimelist.net/images/manga/2/269708l.jpg
56,Saiunkoku Monogatari,The Story of Saiunkoku,彩雲国物語,Light Novel,2676,7.65,2003,https://cdn.myanimelist.net/images/manga/3/21591l.jpg
56,"Sekai no Chuushin de, Ai wo Sakebu",Socrates in Love,世界の中心で、愛をさけぶ,Manga,5716,7.65,2003,https://cdn.myanimelist.net/images/manga/2/343811l.jpg
58,Needless,,ニードレス,Manga,10216,7.62,2003,https://cdn.myanimelist.net/images/manga/2/55177l.jpg
59,Beelzebub Maou Gaiden,,べるぜバブ魔王外伝: 田村隆平短編集,Manga,7543,7.61,2003,https://cdn.myanimelist.net/images/manga/1/66289l.jpg
59,Can't Lose You,Can't Lose You,세상과도 바꿀 수 없어,Manhwa,3331,7.61,2003,https://cdn.myanimelist.net/images/manga/2/267569l.jpg
61,Ahiru no Sora,,あひるの空,Manga,10562,7.6,2003,https://cdn.myanimelist.net/images/manga/2/311018l.jpg
62,Maria-sama ga Miteru,The Virgin Mary is Watching,マリア様がみてる,Manga,3112,7.59,2003,https://cdn.myanimelist.net/images/manga/2/101085l.jpg
62,Penguin Prince,,ペンギンプリンス,Manga,5259,7.59,2003,https://cdn.myanimelist.net/images/manga/2/171758l.jpg
64,Oniichan to Issho,Me & My Brothers,お兄ちゃんと一緒,Manga,4921,7.58,2003,https://cdn.myanimelist.net/images/manga/2/166809l.jpg
65,Gaku,,岳,Manga,2377,7.56,2003,https://cdn.myanimelist.net/images/manga/3/209662l.jpg
66,Bond(z),Bond(z),ボンズ,Manga,3181,7.55,2003,https://cdn.myanimelist.net/images/manga/1/6150l.jpg
66,Chou ni Naru Hi,The Day I Become a Butterfly,チョウになる日。,Manga,3934,7.55,2003,https://cdn.myanimelist.net/images/manga/4/21393l.jpg
66,Junjou Romantica dj - Chika*Chika Cheap★Star,,Chika*Chika Cheap★Star,Doujinshi,2001,7.55,2003,https://cdn.myanimelist.net/images/manga/1/9667l.jpg
66,Koi Cha No Osahou,Tea for Two,コイ茶のお作法,Manga,3315,7.55,2003,https://cdn.myanimelist.net/images/manga/1/24767l.jpg
66,Tough,,TOUGH－タフ－,Manga,8978,7.55,2003,https://cdn.myanimelist.net/images/manga/1/75357l.jpg
71,H³ School,Happy Hustle High,H³スクール!,Manga,6363,7.54,2003,https://cdn.myanimelist.net/images/manga/1/172987l.jpg
72,Brave Story,Brave Story,ブレイブ・ストーリー,Novel,1005,7.53,2003,https://cdn.myanimelist.net/images/manga/2/238122l.jpg
73,Sekai Series,,世界シリーズ,Light Novel,1118,7.52,2003,https://cdn.myanimelist.net/images/manga/1/33875l.jpg
74,Red Lion,,레드 라이온,Manhwa,4009,7.51,2003,https://cdn.myanimelist.net/images/manga/1/125951l.jpg
75,Shirley,Shirley,シャーリー,Manga,5554,7.49,2003,https://cdn.myanimelist.net/images/manga/2/138339l.jpg
76,B.O.D.Y.,B.O.D.Y.,B.O.D.Y.,Manga,14725,7.48,2003,https://cdn.myanimelist.net/images/manga/1/176498l.jpg
76,Basilisk: Kouga Ninpouchou,Basilisk: The Kouga Ninja Scrolls,バジリスク～甲賀忍法帖～,Manga,18839,7.48,2003,https://cdn.myanimelist.net/images/manga/2/177216l.jpg
76,Hayate x Blade,Hayate x Blade,はやて×ブレード,Manga,3915,7.48,2003,https://cdn.myanimelist.net/images/manga/3/4812l.jpg
76,Help!!,,HELP!!,Manga,4240,7.48,2003,https://cdn.myanimelist.net/images/manga/1/270290l.jpg
76,Ikoku Irokoi Romantan,A Foreign Love Affair,異国色恋浪漫譚,Manga,7955,7.48,2003,https://cdn.myanimelist.net/images/manga/2/277129l.jpg
76,Kuchibiru Tameiki Sakurairo,"Kisses, Sighs, and Cherry Blossoms Pink",くちびるためいきさくらいろ,Manga,12548,7.48,2003,https://cdn.myanimelist.net/images/manga/1/73503l.jpg
82,Nijigahara Holograph,Nijigahara Holograph,虹ヶ原ホログラフ,Manga,53880,7.47,2003,https://cdn.myanimelist.net/images/manga/2/67543l.jpg
83,Calorie,,熱量～カロリー～,Manga,4203,7.46,2003,https://cdn.myanimelist.net/images/manga/4/281559l.jpg
84,Dear Friends: Rina & Maki,,Dear Friends リナ＆マキ,Manga,4699,7.44,2003,https://cdn.myanimelist.net/images/manga/2/124827l.jpg
84,Saboten no Himitsu,Cactus's Secret,サボテンの秘密,Manga,8710,7.44,2003,https://cdn.myanimelist.net/images/manga/2/123137l.jpg
86,Gang King,Gang King,ギャングキング,Manga,3649,7.42,2003,https://cdn.myanimelist.net/images/manga/3/167766l.jpg
86,Karin Zouketsuki,Chibi Vampire: The Novel,かりん 増血記,Light Novel,2043,7.42,2003,https://cdn.myanimelist.net/images/manga/1/86977l.jpg
88,Yurara no Tsuki,Yurara,ゆららの月,Manga,4974,7.41,2003,https://cdn.myanimelist.net/images/manga/3/270287l.jpg
89,Etsusa Oohashi Series,,越佐大橋シリーズ,Light Novel,2190,7.4,2003,https://cdn.myanimelist.net/images/manga/1/212594l.jpg
89,Love♡Lucky!,,ラブ♡らっきぃ,Manga,6325,7.4,2003,https://cdn.myanimelist.net/images/manga/3/125161l.jpg
89,MÄR,MÄR,MÄR,Manga,17430,7.4,2003,https://cdn.myanimelist.net/images/manga/1/165744l.jpg
92,Empty Heart: Itsuwari no Koi Dakara,Empty Heart: False Love,empty heart〜偽りの恋だから〜,Manga,4091,7.39,2003,https://cdn.myanimelist.net/images/manga/4/220605l.jpg
92,Kuruizaki no Hana,Demon Flowers,狂い咲きの花,Manga,1113,7.39,2003,https://cdn.myanimelist.net/images/manga/3/10581l.jpg
92,Ouchou Haru no Yoi no Romance,,王朝春宵ロマンセ,Manga,1013,7.39,2003,https://cdn.myanimelist.net/images/manga/3/212987l.jpg
