rank,title,title_english,title_japanese,type,members,score,year
1,Clannad: After Story,Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,TV,1247714,8.93,2008
2,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2,コードギアス 反逆のルルーシュ R2,TV,1880083,8.91,2008
3,Kara no Kyoukai Movie 5: Mujun Rasen,The Garden of Sinners Chapter 5: Paradox Spiral,劇場版 空の境界 the Garden of sinners 第五章『矛盾螺旋』,Movie,248167,8.51,2008
4,Aria the Origination,Aria the Origination,ARIA The ORIGINATION,TV,137273,8.47,2008
5,Gintama: Shiroyasha Koutan,Gintama: Jump Festa 2008 Special,ジャンプアニメツアー 2008 白夜叉降誕,Special,73700,8.36,2008
6,One Outs,One Outs,ワンナウツ,TV,250238,8.32,2008
7,Natsume Yuujinchou,Natsume's Book of Friends,夏目友人帳,TV,571498,8.3,2008
8,Ookami to Koushinryou,Spice and Wolf,狼と香辛料,TV,852199,8.21,2008
9,xxxHOLiC◆Kei,xxxHOLiC◆Kei,×××HOLiC◆継,TV,151148,8.2,2008
10,Major S4,Major S4,メジャー　（第4シリーズ),TV,68480,8.18,2008
11,Tengen Toppa Gurren Lagann Movie 1: Gurren-hen,Gurren Lagann The Movie: Childhood's End,劇場版 天元突破グレンラガン 紅蓮篇,Movie,186361,8.17,2008
12,Kaiba,Kaiba,カイバ,TV,173311,8.14,2008
13,Nodame Cantabile: Paris-hen,Nodame Cantabile: Paris-hen,のだめカンタービレ 巴里編,TV,128651,8.13,2008
14,Detroit Metal City,Detroit Metal City,デトロイト・メタル・シティ,OVA,220140,8.09,2008
15,Baccano! Specials,Baccano! Specials,バッカーノ!,Special,184190,8.08,2008
16,Skip Beat!,Skip Beat!,スキップ・ビート！,TV,280529,8.07,2008
17,Kidou Senshi Gundam 00 Second Season,Mobile Suit Gundam 00: Second Season,機動戦士ガンダム00 セカンドシーズン,TV,157982,8.07,2008
18,Toradora!,Toradora!,とらドラ！,TV,2299214,8.05,2008
