rank,title,title_english,title_japanese,type,members,score,year
1,FLCL,FLCL,フリクリ,OVA,867455,8.04,2000
2,InuYasha,InuYasha,犬夜叉,TV,835873,7.87,2000
3,Hajime no Ippo,Fighting Spirit,はじめの一歩 THE FIGHTING!,TV,654346,8.78,2000
5,Love Hina,Love Hina,ラブひな,TV,275741,7.09,2000
6,Gakkou no Kaidan,Ghost Stories,学校の怪談,TV,238368,7.75,2000
9,Jin-Rou,Jin-Roh: The Wolf Brigade,人狼 JIN-ROH,Movie,196183,7.78,2000
12,Boogiepop wa Warawanai,Boogiepop Phantom,ブギーポップは笑わない Boogiepop Phantom,TV,146499,7.15,2000
13,Gravitation,Gravitation,グラビテーション,TV,123963,6.9,2000
15,Blood: The Last Vampire,Blood: The Last Vampire,BLOOD THE LAST VAMPIRE (ブラッド ザ ラスト ヴァンパイア),Movie,117368,6.87,2000
17,Vandread,Vandread,ヴァンドレッド,TV,88237,7.15,2000
18,JoJo no Kimyou na Bouken: Adventure,JoJo's Bizarre Adventure (OVA),ジョジョの奇妙な冒険 ADVENTURE,OVA,86348,7.25,2000
20,Escaflowne,Escaflowne: A Girl in Gaea,エスカフローネ,Movie,76106,7.05,2000
22,Ayashi no Ceres,"Ceres, Celestial Legend",妖しのセレス,TV,64952,7.17,2000
23,Tottoko Hamtarou,Hamtaro,とっとこハム太郎,TV,63312,7.01,2000
25,Yami no Matsuei,Descendants of Darkness,闇の末裔,TV,57961,7.01,2000
26,Gensoumaden Saiyuuki,Saiyuki,幻想魔伝 最遊記,TV,57820,7.54,2000
27,Tenshi Kinryouku,Angel Sanctuary,天使禁猟区,OVA,51361,6.24,2000
31,NieA Under 7,NieA Under 7,ニア アンダーセブン,TV,41305,6.85,2000
33,Mezzo Forte,Mezzo Forte,メゾフォルテ,OVA,36564,6.62,2000
34,Azumanga Web Daiou,Azumanga Web Daioh,あずまんがWEB大王,ONA,36148,6.72,2000
37,Hand Maid May,Hand Maid May,HAND MAID メイ,TV,32077,6.68,2000
38,Argento Soma,Argento Soma,アルジェント ソーマ,TV,29752,6.74,2000
39,Sakura Taisen,Sakura Wars TV,サクラ大戦,TV,29149,6.84,2000
40,Daa! Daa! Daa!,Daa! Daa! Daa!,だぁ! だぁ! だぁ!,TV,27177,7.64,2000
41,Amon: Devilman Mokushiroku,Amon: Apocalypse of Devilman,AMON デビルマン黙示録,OVA,27147,6.49,2000
42,Boys Be...,Boys Be...,ボーイズ・ビー,TV,24924,6.38,2000
44,Megami Kouhosei,Candidate for Goddesses,女神候補生,TV,23786,6.32,2000
45,Gate Keepers,Gate Keepers,ゲートキーパーズ,TV,23640,6.9,2000
49,Kazemakase Tsukikage Ran,Carried by the Wind: Tsukikage Ran,風まかせ月影蘭,TV,18848,7.09,2000
50,Mushrambo,Shinzo,マシュランボー,TV,17420,6.93,2000
