rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Osomatsu-kun,Osomatsu-kun,おそ松くん,TV,4148,6.48,1966,https://cdn.myanimelist.net/images/anime/2/76965.jpg
3,Harisu no Kaze,Harisu no Kaze,ハリスの旋風,TV,862,6.22,1966,https://cdn.myanimelist.net/images/anime/13/47147.jpg
4,Robotan,Robotan,ロボタン,TV,818,6.2,1966,https://cdn.myanimelist.net/images/anime/1315/154972.jpg
6,Tenrankai no E,Pictures at an Exhibition,展覧会の絵,Movie,2806,6.09,1966,https://cdn.myanimelist.net/images/anime/1781/107246.jpg
7,Cyborg 009,Cyborg 009,サイボーグ009,Movie,4584,6.01,1966,https://cdn.myanimelist.net/images/anime/1651/152096.jpg
9,Rainbow Sentai Robin,Rainbow Sentai Robin,レインボー戦隊ロビン,TV,1219,5.92,1966,https://cdn.myanimelist.net/images/anime/8/46831.jpg
10,Kaizoku Ouji,Kaizoku Ouji,海賊王子,TV,898,5.89,1966,https://cdn.myanimelist.net/images/anime/1677/100901.jpg
11,Nihon Mukashibanashi: Warashibe Chouja,Nihon Mukashibanashi: Warashibe Chouja,日本むかしばなし わらしべ長者,Movie,428,5.8,1966,https://cdn.myanimelist.net/images/anime/12/58593.jpg
12,Yuusei Kamen,Yuusei Kamen,遊星仮面,TV,868,5.75,1966,https://cdn.myanimelist.net/images/anime/13/56383.jpg
14,Tsukiyo to Megane,The Moonlight and the Glasses,月夜とめがね,Movie,372,5.69,1966,https://cdn.myanimelist.net/images/anime/7/81029.jpg
17,Karasu to Kaki no Tane,Karasu to Kaki no Tane,からすと柿のたね,Music,287,5.27,1966,https://cdn.myanimelist.net/images/anime/1536/90245.jpg
18,Hotaru Koi,Hotaru Koi,ほたるこい,Music,379,5.18,1966,https://cdn.myanimelist.net/images/anime/4/87802.jpg
19,Donna Donna,Donna Donna,ドナ ドナ,Music,643,5.13,1966,https://cdn.myanimelist.net/images/anime/4/24063.jpg
20,Youkoso Uchuujin,Youkoso Uchuujin,ようこそ宇宙人,Movie,672,5.11,1966,https://cdn.myanimelist.net/images/anime/3/36695.jpg
21,Chibikko Cowboy,Chibikko Cowboy,ちびっこカウボーイ,Music,474,5.1,1966,https://cdn.myanimelist.net/images/anime/7/87778.jpg
22,Kitsutsuki Keikaku,Kitsutsuki Keikaku,キツツキ計画,Movie,671,5.02,1966,https://cdn.myanimelist.net/images/anime/13/36693.jpg
23,Neko Funjatta,Neko Funjatta,ねこふんじゃった,Music,551,5.01,1966,https://cdn.myanimelist.net/images/anime/7/63929.jpg
24,Tsuiseki,Chase,追跡,Movie,544,4.78,1966,https://cdn.myanimelist.net/images/anime/5/71303.jpg
25,Chim Chim Cher-ee,Chim Chim Cher-ee,チムチムチェリー ChimChimCheree,Music,964,4.78,1966,https://cdn.myanimelist.net/images/anime/8/23846.jpg
26,Satsujinkyou Jidai,Au Fou!,殺人狂時代,Movie,1434,4.71,1966,https://cdn.myanimelist.net/images/anime/1196/129534.jpg
