rank,title,title_english,title_japanese,type,members,score,year
1,Kaze no Tani no Nausicaä,Nausicaä of the Valley of the Wind,風の谷のナウシカ,Movie,400100,8.35,1984
2,Hokuto no Ken,Fist of the North Star,北斗の拳,TV,138526,7.96,1984
3,Macross: Do You Remember Love?,Super Dimension Fortress Macross: Do You Remember Love?,超時空要塞マクロス -愛・おぼえていますか-,Movie,52203,7.93,1984
6,Meitantei Holmes,Sherlock Hound,名探偵ホームズ,TV,14130,7.39,1984
7,Glass no Kamen,Glass no Kamen,ガラスの仮面,TV,10262,7.33,1984
8,Choujikuu Kidan Southern Cross,Super Dimension Cavalry Southern Cross,超時空騎団サザンクロス,TV,9158,6.54,1984
9,Attacker You!,Attacker You!,アタッカーＹＯＵ！,TV,8496,6.64,1984
10,Birth,Birth,バース,OVA,8434,5.91,1984
11,Cream Lemon,Cream Lemon,くりいむレモン,OVA,8382,6.22,1984
12,Juusenki L-Gaim,Heavy Metal L-Gaim,重戦機エルガイム,TV,8059,6.76,1984
13,Giant Gorg,Giant Gorg,巨神ゴーグ〈ジャイアントゴーグ〉,TV,7403,7.17,1984
14,Wata no Kuni Hoshi,Fantasy of a Kitten,綿の国星,Movie,7241,6.83,1984
15,Sei Juushi Bismarck,Saber Rider and the Star Sheriffs,星銃士 ビスマルク,TV,6502,7.24,1984
16,Anime 80-nichikan Sekai Isshuu,Around the World with Willy Fog,アニメ80日間世界一周,TV,6210,6.82,1984
18,Jumping,Jumping,ジャンピング,Movie,5533,6.48,1984
19,Makiba no Shoujo Katri,"Katri, Girl of the Meadows",牧場の少女カトリ,TV,4962,6.98,1984
20,Choujin Locke,Locke the Superman,超人ロック,Movie,4529,6.34,1984
21,Kikou Kai Galient,Panzer World Galient,機甲界ガリアン,TV,4443,6.47,1984
22,Mahou no Yousei Persia,Persia the Magic Fairy,魔法の妖精 ペルシャ,TV,4442,6.84,1984
23,Daishizen no Majuu: Bagi,"Bagi, the Monster of Mighty Nature",大自然の魔獣 バギ,TV Special,4288,6.33,1984
24,SF Shinseiki Lensman,SF Shinseiki Lensman,SF新世紀 レンズマン,Movie,4171,6.11,1984
25,Tongari Boushi no Memole,Tongari Boushi no Memole,とんがり帽子のメモル,TV,3903,6.99,1984
26,Yume Senshi Wingman,Wingman,夢戦士ウイングマン,TV,3837,6.55,1984
27,Lolita Anime,Lolita Anime,ロリータアニメ,OVA,3453,5.37,1984
28,Yoroshiku Mechadock,Leave it to Mecha-Doc,よろしくメカドック,TV,3422,6.67,1984
29,God Mazinger,God Mazinger,ゴッドマジンガー,TV,3386,6.24,1984
30,Shounen Kenya,Kenya Boy,少年ケニヤ,Movie,3103,5.25,1984
31,Machikado no Märchen,Machikado no Märchen,Radio City Fantasy 街角のメルヘン,OVA,2814,6.05,1984
32,Galactic Patrol Lensman,Galactic Patrol Lensman,GALACTIC PATROL　レンズマン,TV,2538,6.27,1984
33,Chou Kousoku Galvion,Super High Speed Galvion,超攻速ガルビオン,TV,2387,5.82,1984
37,Uchiyama Aki,Uchiyama Aki,内山亜紀,OVA,2181,5.37,1984
39,Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,Sherlock Hound: The Adventure of the Blue Carbuncle / Treasure Under the Sea,名探偵ホームズ 青い紅玉の巻/海底の財宝の巻,Movie,2108,6.59,1984
40,Video Senshi Lezarion,Video Warrior Laserion,ビデオ戦士レザリオン,TV,1899,6.52,1984
41,Gu-Gu Ganmo,Gu-Gu Ganmo,Gu-Guガンモ,TV,1740,6.18,1984
44,Futari Daka,Futari Daka,ふたり鷹,TV,1554,5.91,1984
45,Chouriki Robo Galatt,Chouriki Robo Galatt,超力ロボ ガラット,TV,1482,6.12,1984
46,Oshin,Oshin,おしん,Movie,1462,6.34,1984
47,Ashita Tenki ni Naare,A Great Super Shot Boy,あした天気になあれ,TV,1348,6.13,1984
48,Little Nemo Pilot (1984),Little Nemo: Adventures in Slumberland Pilot,リトル・ニモ パイロット,Special,1338,6.16,1984
49,Aoi Taiken,Aoi Taiken,青い体験,OVA,1261,4.67,1984
50,Fushigi na Koala Blinky,Noozles,ふしぎなコアラ ブリンキー,TV,1246,6.02,1984
