rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Da Nao Tiangong,Uproar in Heaven,大鬧天宮,Movie,1395,6.75,1964,https://cdn.myanimelist.net/images/anime/1298/131827.jpg
2,Ningyo,Mermaid,人魚,Movie,4703,6.25,1964,https://cdn.myanimelist.net/images/anime/11/27252.jpg
4,Big X,Big X,ビッグX,TV,1887,6.08,1964,https://cdn.myanimelist.net/images/anime/7/82379.jpg
5,Memory,Memory,めもりい,Movie,3557,5.98,1964,https://cdn.myanimelist.net/images/anime/1325/92613.jpg
6,0-sen Hayato,0-sen Hayato,0戦はやと,TV,1315,5.96,1964,https://cdn.myanimelist.net/images/anime/6/35847.jpg
7,Shounen Ninja Kaze no Fujimaru,Samurai Kid,少年忍者風のフジ丸,TV,1718,5.91,1964,https://cdn.myanimelist.net/images/anime/13/56385.jpg
8,Naita Aka Oni,Naita Aka Oni,泣いた赤おに,Movie,355,5.69,1964,https://cdn.myanimelist.net/images/anime/5/80520.jpg
10,Chanda Gou,M.S. Chanda,チャンダ号,Movie,484,5.18,1964,https://cdn.myanimelist.net/images/anime/10/71309.jpg
11,Murder,Murder,殺人,Movie,2542,5.15,1964,https://cdn.myanimelist.net/images/anime/3/6634.jpg
12,Kirin no Otenki Mama-san,Kirin no Otenki Mama-san,キリンのお天気ママさん,CM,646,5.08,1964,https://cdn.myanimelist.net/images/anime/11/72061.jpg
13,Youki ni Utaeba,Youki ni Utaeba,陽気にうたえば,Music,453,4.98,1964,https://cdn.myanimelist.net/images/anime/1534/101140.jpg
14,Mama Gomennasai,Mama Gomennasai,ママごめんなさい,Music,399,4.9,1964,https://cdn.myanimelist.net/images/anime/4/87806.jpg
15,Go-hiki no Kobuta to Charleston,Go-hiki no Kobuta to Charleston,五匹のこぶたとチャールストン,Music,598,4.77,1964,https://cdn.myanimelist.net/images/anime/9/63931.jpg
16,Cook no Polka,Cook no Polka,コックのポルカ,Music,565,4.71,1964,https://cdn.myanimelist.net/images/anime/4/64023.jpg
17,Sensuikan Cassiopeia,Submarine Cassiopeia,潜水艦カシオペア,Movie,500,4.69,1964,https://cdn.myanimelist.net/images/anime/1531/154243.jpg
18,Otoko to Onna to Inu,Man and Woman and Dog,男と女と犬,Movie,744,4.55,1964,https://cdn.myanimelist.net/images/anime/12/71267.jpg
19,Yokoo's 3 Animation Films,Yokoo's 3 Animation Films,横尾忠則 アニメーション集 64-65,Movie,1399,4.51,1964,https://cdn.myanimelist.net/images/anime/11/23848.jpg
20,Aos,Aos,アオス,Movie,2827,3.6,1964,https://cdn.myanimelist.net/images/anime/13/69011.jpg
