rank,title,title_english,title_japanese,type,members,score,year
1,Kaze no Tani no Nausicaä,Nausicaä of the Valley of the Wind,風の谷のナウシカ,Movie,400100,8.35,1984
2,Hokuto no Ken,Fist of the North Star,北斗の拳,TV,138526,7.96,1984
3,Macross: Do You Remember Love?,Super Dimension Fortress Macross: Do You Remember Love?,超時空要塞マクロス -愛・おぼえていますか-,Movie,52203,7.93,1984
4,Urusei Yatsura 2: Beautiful Dreamer,Urusei Yatsura Movie 2: Beautiful Dreamer,うる星やつら2 ビューティフル・ドリーマー,Movie,23617,7.84,1984
5,Meitantei Holmes,Sherlock Hound,名探偵ホームズ,TV,14130,7.39,1984
6,Glass no Kamen,Glass no Kamen,ガラスの仮面,TV,10262,7.33,1984
7,Lupin III: Part III,Lupin III: Part III,ルパン三世 - Part III,TV,24426,7.28,1984
8,Sei Juushi Bismarck,Saber Rider and the Star Sheriffs,星銃士 ビスマルク,TV,6502,7.24,1984
9,Doraemon Movie 05: Nobita no Makai Daibouken,Doraemon the Movie: Nobita's Great Adventure into the Underworld,映画 ドラえもん のび太の魔界大冒険,Movie,6046,7.2,1984
10,Giant Gorg,Giant Gorg,巨神ゴーグ〈ジャイアントゴーグ〉,TV,7403,7.17,1984
11,Tongari Boushi no Memole,Tongari Boushi no Memole,とんがり帽子のメモル,TV,3903,6.99,1984
12,Makiba no Shoujo Katri,"Katri, Girl of the Meadows",牧場の少女カトリ,TV,4962,6.98,1984
13,Mahou no Yousei Persia,Persia the Magic Fairy,魔法の妖精 ペルシャ,TV,4442,6.84,1984
14,Wata no Kuni Hoshi,Fantasy of a Kitten,綿の国星,Movie,7241,6.83,1984
15,Anime 80-nichikan Sekai Isshuu,Around the World with Willy Fog,アニメ80日間世界一周,TV,6210,6.82,1984
16,Juusenki L-Gaim,Heavy Metal L-Gaim,重戦機エルガイム,TV,8059,6.76,1984
17,Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu,Mirai Shounen Conan: Kyodaiki Gigant no Fukkatsu,未来少年コナン特別篇　巨大機ギガントの復活,Movie,2290,6.69,1984
18,Yoroshiku Mechadock,Leave it to Mecha-Doc,よろしくメカドック,TV,3422,6.67,1984
19,Attacker You!,Attacker You!,アタッカーＹＯＵ！,TV,8496,6.64,1984
20,Meitantei Holmes: Aoi Ruby no Maki / Kaitei no Zaihou no Maki,Sherlock Hound: The Adventure of the Blue Carbuncle / Treasure Under the Sea,名探偵ホームズ 青い紅玉の巻/海底の財宝の巻,Movie,2108,6.59,1984
21,Yume Senshi Wingman,Wingman,夢戦士ウイングマン,TV,3837,6.55,1984
22,Choujikuu Kidan Southern Cross,Super Dimension Cavalry Southern Cross,超時空騎団サザンクロス,TV,9158,6.54,1984
23,Video Senshi Lezarion,Video Warrior Laserion,ビデオ戦士レザリオン,TV,1899,6.52,1984
24,Jumping,Jumping,ジャンピング,Movie,5533,6.48,1984
25,Kikou Kai Galient,Panzer World Galient,機甲界ガリアン,TV,4443,6.47,1984
26,Mahou no Tenshi Creamy Mami: Eien no Once More,Mahou no Tenshi Creamy Mami: Eien no Once More,魔法の天使クリィミーマミ　永遠のワンスモア,OVA,2296,6.35,1984
27,Choujin Locke,Locke the Superman,超人ロック,Movie,4529,6.34,1984
