rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Bleach,Bleach,BLEACH - ブリーチ -,TV,2107321,7.97,2004,https://cdn.myanimelist.net/images/anime/1541/147774.jpg
2,Elfen Lied,Elfen Lied,エルフェンリート,TV,1574572,7.46,2004,https://cdn.myanimelist.net/images/anime/1780/121555.jpg
3,Howl no Ugoku Shiro,Howl's Moving Castle,ハウルの動く城,Movie,1428787,8.67,2004,https://cdn.myanimelist.net/images/anime/1470/138723.jpg
4,Samurai Champloo,Samurai Champloo,サムライチャンプルー,TV,1305014,8.52,2004,https://cdn.myanimelist.net/images/anime/1370/135212.jpg
5,Monster,Monster,モンスター,TV,1241344,8.89,2004,https://cdn.myanimelist.net/images/anime/10/18793.jpg
6,Mousou Dairinin,Paranoia Agent,妄想代理人,TV,450041,7.66,2004,https://cdn.myanimelist.net/images/anime/7/10240.jpg
7,Gantz,Gantz,ガンツ,TV,373864,6.97,2004,https://cdn.myanimelist.net/images/anime/13/5998.jpg
8,Beck,Beck: Mongolian Chop Squad,ベック,TV,361733,8.29,2004,https://cdn.myanimelist.net/images/anime/11/11636.jpg
9,School Rumble,School Rumble,スクールランブル,TV,339042,7.88,2004,https://cdn.myanimelist.net/images/anime/1465/142014.jpg
11,Gankutsuou,Gankutsuou: The Count of Monte Cristo,巌窟王,TV,262491,8.11,2004,https://cdn.myanimelist.net/images/anime/1910/138560.jpg
14,"Kumo no Mukou, Yakusoku no Basho",The Place Promised in Our Early Days,雲のむこう、約束の場所,Movie,227020,7.42,2004,https://cdn.myanimelist.net/images/anime/1725/133738.jpg
15,Rozen Maiden,Rozen Maiden,ローゼンメイデン,TV,213738,7.4,2004,https://cdn.myanimelist.net/images/anime/1424/108431.jpg
17,Tenjou Tenge,Tenjho Tenge,天上天下,TV,196232,6.86,2004,https://cdn.myanimelist.net/images/anime/1507/101835.jpg
18,Genshiken,Genshiken,げんしけん,TV,186811,7.63,2004,https://cdn.myanimelist.net/images/anime/1890/94707.jpg
19,Midori no Hibi,Midori Days,美鳥の日々,TV,177158,7.21,2004,https://cdn.myanimelist.net/images/anime/13/56961.jpg
20,Innocence,Ghost in the Shell 2: Innocence,イノセンス,Movie,171767,7.78,2004,https://cdn.myanimelist.net/images/anime/10/75628.jpg
21,Gantz 2nd Stage,Gantz: Second Stage,ガンツ,TV,168575,7.01,2004,https://cdn.myanimelist.net/images/anime/10/23247.jpg
22,Girls Bravo: First Season,Girls Bravo,GIRLSブラボー first season,TV,156796,6.35,2004,https://cdn.myanimelist.net/images/anime/12/48027.jpg
23,DearS,DearS,ディアーズ,TV,153986,6.54,2004,https://cdn.myanimelist.net/images/anime/1207/98872.jpg
24,Hunter x Hunter: Greed Island Final,Hunter x Hunter: Greed Island Final,HUNTER×HUNTER G・I Final,OVA,153034,8.25,2004,https://cdn.myanimelist.net/images/anime/1/139.jpg
25,Sunabouzu,Desert Punk,砂ぼうず,TV,147069,7.36,2004,https://cdn.myanimelist.net/images/anime/6/75536.jpg
26,Samurai 7,Samurai 7,サムライセブン,TV,135947,7.43,2004,https://cdn.myanimelist.net/images/anime/1190/95421.jpg
27,Bleach: Memories in the Rain,Bleach: Memories in the Rain,BLEACH Memories in the Rain,Special,133150,7.18,2004,https://cdn.myanimelist.net/images/anime/1022/129092.jpg
28,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,Pokémon: Destiny Deoxys,ポケットモンスター アドバンスジェネレーション 裂空の訪問者 デオキシス,Movie,120962,6.98,2004,https://cdn.myanimelist.net/images/anime/9/21313.jpg
29,Kyou kara Maou!,Kyou kara Maou!,今日からマ王！,TV,119798,7.61,2004,https://cdn.myanimelist.net/images/anime/11/75544.jpg
30,Mai-HiME,My-Hime,舞-HiME,TV,119661,7.4,2004,https://cdn.myanimelist.net/images/anime/13/7226.jpg
31,Kidou Senshi Gundam SEED Destiny,Mobile Suit Gundam SEED Destiny,機動戦士ガンダムSEED DESTINY,TV,114128,7.17,2004,https://cdn.myanimelist.net/images/anime/1700/91080.jpg
32,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,108222,7.41,2004,https://cdn.myanimelist.net/images/anime/1052/136283.jpg
33,Aishiteruze Baby★★,"Babe, My Love",愛してるぜ ベイベ★★,TV,106017,7.43,2004,https://cdn.myanimelist.net/images/anime/2/69665.jpg
34,Major S1,Major S1,メジャー （第1シリーズ）,TV,105843,8.2,2004,https://cdn.myanimelist.net/images/anime/13/73973.jpg
35,Gakuen Alice,Gakuen Alice,学園アリス,TV,104439,7.64,2004,https://cdn.myanimelist.net/images/anime/4/18118.jpg
36,Yakitate!! Japan,Yakitate!! Japan,焼きたて!! ジャぱん,TV,102984,7.91,2004,https://cdn.myanimelist.net/images/anime/3/76432.jpg
37,Dead Leaves,Dead Leaves,デッド　リーブス,Movie,98933,7.2,2004,https://cdn.myanimelist.net/images/anime/1827/112657.jpg
38,InuYasha Movie 4: Guren no Houraijima,InuYasha the Movie 4: Fire on the Mystic Island,犬夜叉 紅蓮の蓬莱島,Movie,97513,7.55,2004,https://cdn.myanimelist.net/images/anime/1216/94369.jpg
39,Mind Game,Mind Game,マインド・ゲーム,Movie,91930,7.79,2004,https://cdn.myanimelist.net/images/anime/1861/112656.jpg
