rank,title,title_english,title_japanese,type,members,score,year
1,Igano Kabamaru,Igano Kabamaru,伊賀野カバ丸,TV,12608,7.78,1983
2,Hadashi no Gen,Barefoot Gen,はだしのゲン,Movie,58463,7.77,1983
3,Soukou Kihei Votoms,Armored Trooper Votoms,装甲騎兵ボトムズ,TV,28288,7.68,1983
4,Plawres Sanshirou,Plastic Model Wrestling Sanshiro,プラレス３四郎,TV,4544,7.37,1983
5,Captain Tsubasa,Flash Kicker,キャプテン翼,TV,90749,7.35,1983
6,Kinnikuman,Kinnikuman,キン肉マン,TV,14704,7.22,1983
7,Ginga Hyouryuu Vifam,Ginga Hyouryuu Vifam,銀河漂流バイファム,TV,5495,7.22,1983
8,Cat's Eye,Cat's Eye,キャッツ・アイ,TV,24675,7.21,1983
9,Mahou no Tenshi Creamy Mami,Magical Angel Creamy Mami,魔法の天使 クリィミーマミ,TV,16422,7.2,1983
10,Lady Georgie,Lady Georgie,レディジョージィ,TV,11694,7.19,1983
12,Seisenshi Dunbine,Aura Battler Dunbine,聖戦士ダンバイン,TV,15535,7.06,1983
15,Stop!! Hibari-kun!,Stop!! Hibari-kun!,ストップ！！ひばりくん！,TV,12623,7.04,1983
16,Kikou Souseiki Mospeada,Genesis Climber Mospeada,機甲創世記モスピーダ,TV,10616,7.03,1983
17,Crusher Joe,Crusher Joe: The Movie,クラッシャージョウ,Movie,10400,6.89,1983
19,Mirai Keisatsu Urashiman,Future Police Urashiman,未来警察ウラシマン,TV,3388,6.8,1983
20,Golgo 13,Golgo 13: The Professional,ゴルゴ１３,Movie,21173,6.79,1983
21,Aishite Knight,Rock'n Roll Kids,愛してナイト,TV,9626,6.79,1983
22,Alps Monogatari: Watashi no Annette,Alps Monogatari: Watashi no Annette,アルプス物語　わたしのアンネット,TV,5057,6.78,1983
23,Kousoku Denjin Albegus,Kousoku Denjin Albegus,光速電神アルベガス,TV,2596,6.78,1983
26,Spoon Obasan,Mrs. Pepperpot,スプーンおばさん,TV,2804,6.66,1983
27,Meme Iroiro Yume no Tabi,The Many Dream Journeys of Meme,ミームいろいろ夢の旅,TV,1346,6.64,1983
28,Miyuki,Miyuki,みゆき,TV,5117,6.61,1983
31,Choujikuu Seiki Orguss,The Super Dimension Century Orguss,超時空世紀オーガス,TV,7604,6.47,1983
32,Kojika Monogatari,Story of a Fawn,子鹿物語 THE YEARLING,TV,1436,6.46,1983
34,Fushigi no Kuni no Alice,Alice in Wonderland,ふしぎの国のアリス,TV,3887,6.43,1983
35,Pure-tou no Nakama-tachi,Serendipity the Pink Dragon,セレンディピティ物語 ピュア島の仲間たち,TV,1424,6.33,1983
36,Nanako SOS,Nanako SOS,ななこSOS,TV,3048,6.3,1983
37,Amefuri Kozou,Amefuri Kozou,雨ふり小僧,OVA,2592,6.24,1983
39,Tokusou Kihei Dorvack,Special Powered Armor Troop Dorvack,特装機兵ドルバック,TV,2176,6.19,1983
41,Bemubemu Hunter Kotengu Tenmaru,Bemubemu Hunter Kotengu Tenmaru,べムべムハンター・こてんぐテン丸,TV,736,6.17,1983
42,Akuu Daisakusen Srungle,Macron One,亜空大作戦　スラングル,TV,2289,6.14,1983
43,Nine,Nine,ナイン,TV Special,1347,6.11,1983
44,Psychoarmor Govarian,Psychoarmor Govarian,サイコアーマー ゴーバリアン,TV,1958,6.09,1983
45,Manga Aesop Monogatari (TV),Manga Aesop Monogatari (TV),まんがイソップ物語,TV,640,6.09,1983
46,Manga Nihonshi,Manga Nihonshi,まんが日本史,TV,789,6.08,1983
50,Nine: Original-ban,Nine: Original-ban,ナイン オリジナル版,Movie,1432,6.03,1983
