rank,title,title_english,title_japanese,type,members,score,year,image_url
1,[Oshi no Ko],[Oshi no Ko],【推しの子】,Manga,222513,8.06,2020,https://cdn.myanimelist.net/images/manga/3/233991l.jpg
2,Kaijuu 8-gou,Kaiju No. 8,怪獣8号,Manga,196670,7.6,2020,https://cdn.myanimelist.net/images/manga/3/252929l.jpg
3,Sousou no Frieren,Frieren: Beyond Journey's End,葬送のフリーレン,Manga,178822,8.87,2020,https://cdn.myanimelist.net/images/manga/3/232121l.jpg
4,Omniscient Reader's Viewpoint,Omniscient Reader's Viewpoint,전지적 독자 시점,Manhwa,177795,8.66,2020,https://cdn.myanimelist.net/images/manga/2/238873l.jpg
5,Sakamoto Days,Sakamoto Days,SAKAMOTO DAYS,Manga,160187,8.05,2020,https://cdn.myanimelist.net/images/manga/1/242919l.jpg
6,Mashle,Mashle: Magic and Muscles,マッシュル-MASHLE-,Manga,113167,7.6,2020,https://cdn.myanimelist.net/images/manga/1/230705l.jpg
7,Shounen no Abyss,Boy's Abyss,少年のアビス,Manga,105161,7.13,2020,https://cdn.myanimelist.net/images/manga/2/232167l.jpg
8,Juujika no Rokunin,,十字架のろくにん,Manga,93726,6.64,2020,https://cdn.myanimelist.net/images/manga/2/234431l.jpg
9,SSS-Class Revival Hunter,SSS-Class Revival Hunter,SSS급 죽어야 사는 헌터,Manhwa,68318,8.32,2020,https://cdn.myanimelist.net/images/manga/1/263446l.jpg
10,Undead Unluck,Undead Unluck,アンデッドアンラック,Manga,53439,7.72,2020,https://cdn.myanimelist.net/images/manga/2/289700l.jpg
11,Villains Are Destined to Die,Villains Are Destined to Die,악역의 엔딩은 죽음뿐,Manhwa,52790,8.5,2020,https://cdn.myanimelist.net/images/manga/5/303096l.jpg
12,Teenage Mercenary,Teenage Mercenary,입학용병,Manhwa,50774,7.81,2020,https://cdn.myanimelist.net/images/manga/3/260540l.jpg
13,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Classroom of the Elite: Year 2,ようこそ実力至上主義の教室へ 2年生編,Light Novel,46559,8.71,2020,https://cdn.myanimelist.net/images/manga/3/235363l.jpg
14,Kakkou no Iinazuke,A Couple of Cuckoos,カッコウの許嫁,Manga,45998,6.68,2020,https://cdn.myanimelist.net/images/manga/5/233993l.jpg
15,Nano Machine,Nano Machine,나노마신,Manhwa,45697,8.06,2020,https://cdn.myanimelist.net/images/manga/1/312579l.jpg
16,Kanojo mo Kanojo,"Girlfriend, Girlfriend",カノジョも彼女,Manga,43032,6.99,2020,https://cdn.myanimelist.net/images/manga/3/279849l.jpg
17,Kuchi ga Saketemo Kimi ni wa,Even If You Slit My Mouth,口が裂けても君には,Manga,43018,7.73,2020,https://cdn.myanimelist.net/images/manga/2/243236l.jpg
18,Burn the Witch,Burn the Witch,BURN THE WITCH,Manga,37920,6.84,2020,https://cdn.myanimelist.net/images/manga/3/238094l.jpg
19,Uruwashi no Yoi no Tsuki,In the Clear Moonlit Dusk,うるわしの宵の月,Manga,37821,8.01,2020,https://cdn.myanimelist.net/images/manga/2/238267l.jpg
20,Kimi to Tsuzuru Utakata,The Summer You Were There,君と綴るうたかた,Manga,36710,8.74,2020,https://cdn.myanimelist.net/images/manga/1/239675l.jpg
21,Okaeri Alice,"Welcome Back, Alice",おかえりアリス,Manga,35817,7.21,2020,https://cdn.myanimelist.net/images/manga/2/235399l.jpg
22,Lout of Count's Family,Lout of Count's Family,백작가의 망나니가 되었다,Manhwa,35689,7.77,2020,https://cdn.myanimelist.net/images/manga/2/261316l.jpg
23,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",Shangri-La Frontier,シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～,Manga,35213,8.28,2020,https://cdn.myanimelist.net/images/manga/3/235471l.jpg
24,Tougen Anki,Tougen Anki: Legend of the Cursed Blood,桃源暗鬼,Manga,33552,7.1,2020,https://cdn.myanimelist.net/images/manga/3/235398l.jpg
25,Watashi no Oshi wa Akuyaku Reijou.,I'm in Love with the Villainess,私の推しは悪役令嬢。,Manga,30882,7.87,2020,https://cdn.myanimelist.net/images/manga/2/238641l.jpg
26,Your Throne,Your Throne,하루만 네가 되고 싶어,Manhwa,30282,8.11,2020,https://cdn.myanimelist.net/images/manga/1/236523l.jpg
27,Overgeared,Overgeared,템빨,Manhwa,29993,7.7,2020,https://cdn.myanimelist.net/images/manga/3/303099l.jpg
28,Unholy Blood,Unholy Blood,화이트 블러드,Manhwa,29325,7.91,2020,https://cdn.myanimelist.net/images/manga/2/238421l.jpg
29,The Archmage Returns After 4000 Years,The Archmage Returns After 4000 Years,4000년 만에 귀환한 대마도사,Manhwa,29136,7.39,2020,https://cdn.myanimelist.net/images/manga/1/261964l.jpg
30,Tsue to Tsurugi no Wistoria,Wistoria: Wand and Sword,杖と剣のウィストリア,Manga,27824,7.88,2020,https://cdn.myanimelist.net/images/manga/1/243105l.jpg
31,Kamibukuro-kun wa Koishiteru,Mr. Paper Bag Is in Love,紙袋くんは恋してる,Manga,27406,7.62,2020,https://cdn.myanimelist.net/images/manga/3/236284l.jpg
