rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Berserk,Berserk,ベルセルク,Manga,810201,9.46,1989,https://cdn.myanimelist.net/images/manga/1/157897l.jpg
2,Kiseijuu,Parasyte,寄生獣,Manga,113730,8.37,1989,https://cdn.myanimelist.net/images/manga/2/188928l.jpg
3,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,JoJo's Bizarre Adventure Part 3: Stardust Crusaders,ジョジョの奇妙な冒険 スターダストクルセイダース,Manga,109642,8.1,1989,https://cdn.myanimelist.net/images/manga/3/269909l.jpg
4,Hajime no Ippo,Hajime no Ippo: Fighting Spirit!,はじめの一歩,Manga,103984,8.76,1989,https://cdn.myanimelist.net/images/manga/2/250313l.jpg
5,Koukaku Kidoutai: The Ghost in the Shell,The Ghost in the Shell,攻殻機動隊 THE GHOST IN THE SHELL,Manga,48733,7.94,1989,https://cdn.myanimelist.net/images/manga/2/155733l.jpg
6,Denei Shoujo,Video Girl Ai,電影少女,Manga,17134,7.71,1989,https://cdn.myanimelist.net/images/manga/2/185816l.jpg
7,Dragon Quest: Dai no Daibouken,Dragon Quest: The Adventure of Dai,DRAGON QUEST -ダイの大冒険-,Manga,13779,7.98,1989,https://cdn.myanimelist.net/images/manga/1/282697l.jpg
8,Pink,Pink,pink,Manga,10767,7.7,1989,https://cdn.myanimelist.net/images/manga/3/73061l.jpg
9,Itou Junji Kyoufu Manga Collection: Ijimekko,,いじめっ娘,Manga,8717,7.47,1989,https://cdn.myanimelist.net/images/manga/1/277900l.jpg
10,Itou Junji Kyoufu Manga Collection: Kubi Gensou,,首幻想,Manga,8402,7.44,1989,https://cdn.myanimelist.net/images/manga/3/277898l.jpg
11,Ten: Tenhou-doori no Kaidanji,,天 天和通りの快男児,Manga,7472,8.38,1989,https://cdn.myanimelist.net/images/manga/2/260697l.jpg
12,Spriggan,Spriggan,SPRIGGAN,Manga,5082,7.0,1989,https://cdn.myanimelist.net/images/manga/3/280716l.jpg
13,Ourou,King Of Wolves,王狼,Manga,5067,6.53,1989,https://cdn.myanimelist.net/images/manga/1/146113l.jpg
14,Vampire Miyu,Vampire Princess Miyu,吸血姫 美夕,Manga,4110,7.26,1989,https://cdn.myanimelist.net/images/manga/2/142499l.jpg
15,20 Mensou ni Onegai!!,Man of Many Faces,20面相におねがい!!,Manga,3861,6.58,1989,https://cdn.myanimelist.net/images/manga/4/260288l.jpg
16,Zetman,,ZETMAN―桂正和短編集,Manga,3249,6.31,1989,https://cdn.myanimelist.net/images/manga/4/76679l.jpg
17,Henjin Henkutsu Retsuden,,変人偏屈列伝,Manga,3197,6.91,1989,https://cdn.myanimelist.net/images/manga/2/25411l.jpg
18,Asatte Dance,Dance Till Tomorrow,あさってDance,Manga,2961,6.65,1989,https://cdn.myanimelist.net/images/manga/5/202582l.jpg
19,Mimi wo Sumaseba,,耳をすませば,Manga,2919,7.3,1989,https://cdn.myanimelist.net/images/manga/1/343641l.jpg
20,Moonlight Flowers,Moonlight Flowers,月下美人,Manga,2464,7.47,1989,https://cdn.myanimelist.net/images/manga/1/14170l.jpg
21,Astroid,,ASTROID,Manga,2458,6.85,1989,https://cdn.myanimelist.net/images/manga/3/195929l.jpg
22,Zetsuai 1989,,絶愛-1989-,Manga,2424,7.09,1989,https://cdn.myanimelist.net/images/manga/2/209217l.jpg
23,Ourouden,,王狼伝,Manga,2153,6.38,1989,https://cdn.myanimelist.net/images/manga/1/146111l.jpg
24,Tsuki no Ko,Moon Child,月の子,Manga,1890,7.24,1989,https://cdn.myanimelist.net/images/manga/2/270788l.jpg
25,Hana no Keiji: Kumo no Kanata ni,The Magnificent Bastard: The Legend of Keiji,花の慶次 ―雲のかなたに―,Manga,1886,7.51,1989,https://cdn.myanimelist.net/images/manga/1/187156l.jpg
26,Okama Hakusho,Okama Report,おカマ白書,Manga,1873,6.69,1989,https://cdn.myanimelist.net/images/manga/3/177764l.jpg
27,Zelda no Densetsu,The Legend of Zelda,ゼルダの伝説,Manga,1850,6.94,1989,https://cdn.myanimelist.net/images/manga/2/33350l.jpg
28,AD. Police: Shuuen Toshi,AD Police,AD.POLICE 終焉都市,Manga,1774,6.26,1989,https://cdn.myanimelist.net/images/manga/1/3791l.jpg
29,Saru demo Kakeru Manga Kyoushitsu,Even a Monkey Can Draw Manga,サルでも描けるまんが教室,Manga,1762,7.06,1989,https://cdn.myanimelist.net/images/manga/2/135557l.jpg
30,Chameleon Jail,,カメレオンジェイル,Manga,1735,5.74,1989,https://cdn.myanimelist.net/images/manga/2/66393l.jpg
31,Boku Mushi,,ぼく虫―西岡兄妹初期作品集,Manga,1645,6.33,1989,https://cdn.myanimelist.net/images/manga/3/168915l.jpg
32,Dear Boys,,DEAR BOYS,Manga,1631,6.97,1989,https://cdn.myanimelist.net/images/manga/2/77185l.jpg
33,Desert Rose,,砂の薔薇 ―デザート・ローズ―,Manga,1583,6.75,1989,https://cdn.myanimelist.net/images/manga/1/102131l.jpg
34,Garouden,,餓狼伝,Manga,1388,6.33,1989,https://cdn.myanimelist.net/images/manga/2/32858l.jpg
35,Offered,Offered,OFFERED,Manga,1378,6.15,1989,https://cdn.myanimelist.net/images/manga/2/184044l.jpg
36,Marine Blue no Kaze ni Dakarete,,マリンブルーの風に抱かれて,Manga,1248,6.6,1989,https://cdn.myanimelist.net/images/manga/2/167952l.jpg
37,Akuryou Series,,悪霊シリーズ,Light Novel,1209,7.6,1989,https://cdn.myanimelist.net/images/manga/3/28683l.jpg
38,Hikoutei Jidai,,飛行艇時代,Manga,1195,6.69,1989,https://cdn.myanimelist.net/images/manga/2/297821l.jpg
39,Derayd,,DERAYD,Manga,1186,5.43,1989,https://cdn.myanimelist.net/images/manga/2/260384l.jpg
40,Cyborg Jiichan G,,CYBORGじいちゃんG,Manga,1117,6.19,1989,https://cdn.myanimelist.net/images/manga/2/168497l.jpg
41,Kidou Senshi Gundam: Senkou no Hathaway,,機動戦士ガンダム 閃光のハサウェイ,Light Novel,1078,7.62,1989,https://cdn.myanimelist.net/images/manga/3/268460l.jpg
42,Bad Police,,BAD POLICE,Manga,1068,5.67,1989,https://cdn.myanimelist.net/images/manga/1/30502l.jpg
42,Tende Shouwaru Cupid,,てんで性悪キューピッド,Manga,1068,6.25,1989,https://cdn.myanimelist.net/images/manga/5/64377l.jpg
44,Maria,,ま・り・あ,Manga,1010,6.77,1989,https://cdn.myanimelist.net/images/manga/4/260685l.jpg
45,La☆Blue Girl,La Blue Girl,La☆BlueGirl,Manga,834,6.28,1989,https://cdn.myanimelist.net/images/manga/2/17447l.jpg
46,Ozanari Dungeon,,おざなりダンジョン,Manga,820,7.19,1989,https://cdn.myanimelist.net/images/manga/1/35479l.jpg
47,Souryo Fuyumi Masterpiece Collection: Owaru Heart Janee,,惣領冬実傑作集 終わるHeartじゃねぇ,Manga,779,6.82,1989,https://cdn.myanimelist.net/images/manga/4/87815l.jpg
48,Atsuize Tenma!,,熱いぜ天馬!,Manga,738,6.1,1989,https://cdn.myanimelist.net/images/manga/3/115005l.jpg
49,Itou Junji Jisen Kessakushuu: Ibitsu,,伊藤潤二自選傑作集 歪,Manga,736,7.37,1989,https://cdn.myanimelist.net/images/manga/1/295443l.jpg
50,"Aru Hi, Knight ni Atta nara",,ある日、ナイトに会ったなら,Manga,722,6.48,1989,https://cdn.myanimelist.net/images/manga/2/4988l.jpg
51,Ayako,,妖子,Manga,705,,1989,https://cdn.myanimelist.net/images/manga/3/18048l.jpg
52,Lucky-kun,Fortunate Boy,幸運男子(ラッキーくん),Manga,691,7.2,1989,https://cdn.myanimelist.net/images/manga/2/20435l.jpg
53,Kaze no Sylphid,,風のシルフィード,Manga,688,7.35,1989,https://cdn.myanimelist.net/images/manga/3/174490l.jpg
54,Kamen Rider ZO,,仮面ライダーZO,Manga,666,6.6,1989,https://cdn.myanimelist.net/images/manga/2/186102l.jpg
55,Comic Gunbuster,Comic Gunbuster,コミックガンバスター,Manga,657,,1989,https://cdn.myanimelist.net/images/manga/3/34019l.jpg
56,Chinmoku no Kantai,Silent Service,沈黙の艦隊,Manga,655,,1989,https://cdn.myanimelist.net/images/manga/3/218002l.jpg
57,Ginga Sengoku Gunyuuden Rai,The Heroes of Galaxy Wars,銀河戦國群雄伝ライ,Manga,646,,1989,https://cdn.myanimelist.net/images/manga/5/75587l.jpg
58,Higashi no Eden,Eden of The East,東のエデン,Manga,611,,1989,https://cdn.myanimelist.net/images/manga/3/20167l.jpg
59,Mutsu Enmei-ryuu Gaiden: Shura no Toki,,陸奥圓明流外伝 修羅の刻,Manga,606,7.2,1989,https://cdn.myanimelist.net/images/manga/1/169873l.jpg
60,Warau Salesman,,笑ゥせぇるすまん,Manga,583,,1989,https://cdn.myanimelist.net/images/manga/1/147363l.jpg
61,Adesugata Junjou Boy,,艶姿純情BOY,Manga,582,6.45,1989,https://cdn.myanimelist.net/images/manga/2/121347l.jpg
62,Slayers Special,,スレイヤーズすぺしゃる,Light Novel,540,,1989,https://cdn.myanimelist.net/images/manga/5/155327l.jpg
63,Kamen Boxer,,仮面ボクサー,Manga,536,6.04,1989,https://cdn.myanimelist.net/images/manga/1/95525l.jpg
64,Gunhed,,ガンヘッド,Manga,511,5.86,1989,https://cdn.myanimelist.net/images/manga/3/6647l.jpg
65,Tezuka Osamu Monogatari,The Osamu Tezuka Story: A Life in Manga and Anime,手塚治虫物語,Manga,481,7.28,1989,https://cdn.myanimelist.net/images/manga/2/207036l.jpg
66,From A Different Dimension,From A Different Dimension,異次元からの便り,Manga,474,6.08,1989,https://cdn.myanimelist.net/images/manga/1/12615l.jpg
67,Sessa Takuma!,,せっさ拓磨！,Manga,465,6.41,1989,https://cdn.myanimelist.net/images/manga/2/19319l.jpg
68,Honoo no Toukyuuji: Dodge Danpei,,炎の闘球児 ドッジ弾平,Manga,448,,1989,https://cdn.myanimelist.net/images/manga/2/274738l.jpg
69,Juushin Liger,,獣神ライガー,Manga,432,5.95,1989,https://cdn.myanimelist.net/images/manga/2/41823l.jpg
70,Magen Senki: Cyber Momotarou,,魔幻戦記 サイバー桃太郎,Manga,412,5.91,1989,https://cdn.myanimelist.net/images/manga/1/180448l.jpg
71,Death Pie,,デスパイ,Manga,408,5.5,1989,https://cdn.myanimelist.net/images/manga/2/186074l.jpg
72,Hagun Seisenki,Like Stars Army War,破軍星戦記,Manga,398,,1989,https://cdn.myanimelist.net/images/manga/3/65359l.jpg
73,Neko de Gomen!,,猫でごめん！,Manga,397,,1989,https://cdn.myanimelist.net/images/manga/3/36595l.jpg
74,Melancholic Princess,,傾國怨伶,Manhua,390,6.43,1989,https://cdn.myanimelist.net/images/manga/5/88339l.jpg
75,Feng Yun,Storm Riders,天下 風雲,Manhua,378,,1989,https://cdn.myanimelist.net/images/manga/2/36676l.jpg
76,Mizu ni Sumu Oni,Devil in the Water,水に棲む鬼,Manga,364,6.46,1989,https://cdn.myanimelist.net/images/manga/2/147307l.jpg
77,Bio Hunter,,バイオ・ハンター,Manga,349,,1989,https://cdn.myanimelist.net/images/manga/1/74523l.jpg
78,Romance Godan Katsuyou,,ろまんす五段活用,Manga,338,6.76,1989,https://cdn.myanimelist.net/images/manga/3/179030l.jpg
79,Youjuu Kyoushitsu Gakuen,Demon Beast Invasion,妖獣教室,Manga,312,,1989,https://cdn.myanimelist.net/images/manga/3/14352l.jpg
80,Utsurun desu.,,伝染るんです。,Manga,310,,1989,https://cdn.myanimelist.net/images/manga/2/20140l.jpg
81,Kingyo Chuuihou!,,きんぎょ注意報！,Manga,308,,1989,https://cdn.myanimelist.net/images/manga/4/83705l.jpg
82,Nemuranai Machi kara,From The City That Never Sleeps,眠らない街から,Manga,306,6.95,1989,https://cdn.myanimelist.net/images/manga/1/15496l.jpg
83,Ai... Shirisomeshi Koro ni...: Manga Michio no Seishun,,愛…しりそめし頃に… 満賀道雄の青春,Manga,285,,1989,https://cdn.myanimelist.net/images/manga/3/178259l.jpg
84,Boku no Tezuka Osamu,,ボクの手塚治虫,Manga,272,,1989,https://cdn.myanimelist.net/images/manga/3/170336l.jpg
85,Blue Bird,,青い鳥〈ブルーバード〉,Manga,264,,1989,https://cdn.myanimelist.net/images/manga/1/207262l.jpg
85,Murder License Kiba,,マーダーライセンス牙,Manga,264,,1989,https://cdn.myanimelist.net/images/manga/3/227179l.jpg
87,Marionette Generation,Marionette Generation,マリオネットジェネレーション,Manga,256,,1989,https://cdn.myanimelist.net/images/manga/1/252972l.jpg
88,Godot,,ゴドー,Manga,255,6.41,1989,https://cdn.myanimelist.net/images/manga/2/230712l.jpg
88,Opera no Kaijin,,オペラ座の怪人,Manga,255,,1989,https://cdn.myanimelist.net/images/manga/1/78717l.jpg
90,Kounai Shasei,,校内写生,Manga,253,,1989,https://cdn.myanimelist.net/images/manga/2/193037l.jpg
91,Kidou Senshi Gundam: MS Generation,,起動戦士ガンダムMSジェネレーション,Manga,251,,1989,https://cdn.myanimelist.net/images/manga/1/27523l.jpg
92,Ano Ko ni 1000%,,あのこに1000%,Manga,245,,1989,https://cdn.myanimelist.net/images/manga/3/198396l.jpg
93,Nikutaikan-K,,肉体漢K,One-shot,219,5.84,1989,https://cdn.myanimelist.net/images/manga/1/46801l.jpg
94,Version,Version,VERSION,Manga,217,,1989,https://cdn.myanimelist.net/images/manga/1/83555l.jpg
95,Princess of Darkness,Princess of Darkness,プリンセス・オブ・ダークネス,Manga,214,,1989,https://cdn.myanimelist.net/images/manga/3/95443l.jpg
96,Gyakkyou Nine,Nine in Adversity,逆境ナイン,Manga,210,,1989,https://cdn.myanimelist.net/images/manga/2/17424l.jpg
96,The Green Eyes,The Green Eyes,ザ・グリーンアイズ,Manga,210,,1989,https://cdn.myanimelist.net/images/manga/3/252974l.jpg
