rank,title,title_english,title_japanese,type,members,score,year,image_url
99,Love Love - Kaporin no Yuuwaku Kiss 1,Love Love - Kaporin's Temptation Kiss 1,ｌｏｖｅ ｌｏｖｅ かぽりんの誘惑キッス1,Manga,486,6.73,1996,https://cdn.myanimelist.net/images/manga/1/7559l.jpg
100,Horobishi Kemonotachi no Umi,,滅びし獣たちの海,Manga,693,6.72,1996,https://cdn.myanimelist.net/images/manga/1/36107l.jpg
101,Sexy Guardian,,ＳＥＸＹガ―ディアン,Manga,2272,6.7,1996,https://cdn.myanimelist.net/images/manga/2/3762l.jpg
101,Tanabata no Kuni,The Country of Tanabata,七夕の国,Manga,2028,6.7,1996,https://cdn.myanimelist.net/images/manga/3/35027l.jpg
103,M Collection,The Collection,Mコレクション,Manga,543,6.69,1996,https://cdn.myanimelist.net/images/manga/1/16713l.jpg
103,Suna no Ue Rakuen,The Paradise on the Sand,砂の上の楽園,Manga,374,6.69,1996,https://cdn.myanimelist.net/images/manga/3/7481l.jpg
105,Barairo no Ashita,,バラ色の明日,Manga,560,6.68,1996,https://cdn.myanimelist.net/images/manga/3/194338l.jpg
106,Make Love Shiyo,Let's Make Love!!,Make Loveしよ!!,Manga,1228,6.67,1996,https://cdn.myanimelist.net/images/manga/3/7393l.jpg
107,El Hazard: The Magnificent World,El Hazard: The Magnificent World,神秘の世界エルハザード,Manga,1245,6.66,1996,https://cdn.myanimelist.net/images/manga/1/268892l.jpg
108,Vertrag Guuwa,Vartrag Tale,フェアトラーク寓話,Manga,388,6.62,1996,https://cdn.myanimelist.net/images/manga/2/149536l.jpg
109,Mamono Hunter Youko,,魔物ハンター妖子,Manga,504,6.6,1996,https://cdn.myanimelist.net/images/manga/2/35045l.jpg
110,Nagi-chan no Yuuutsu,Co-Ed SeXXtasy,凪ちゃんのゆううつ,Manga,434,6.59,1996,https://cdn.myanimelist.net/images/manga/1/155160l.jpg
111,Uwasa no Risky Boy,,う・わ・さの Risky Boy,Manga,292,6.57,1996,https://cdn.myanimelist.net/images/manga/2/5929l.jpg
112,Pure Trance,Pure Trance,ピュア・トランス,Manga,1578,6.55,1996,https://cdn.myanimelist.net/images/manga/1/1171l.jpg
112,Saber Marionette J,Saber Marionette J,セイバーマリオネットJ,Manga,2044,6.55,1996,https://cdn.myanimelist.net/images/manga/3/138531l.jpg
114,Cinderella Boy,,シンデレラ・ボーイ,Manga,929,6.51,1996,https://cdn.myanimelist.net/images/manga/1/17067l.jpg
114,Seiya no Okurimono,,聖夜の贈り物,One-shot,495,6.51,1996,https://cdn.myanimelist.net/images/manga/1/12680l.jpg
116,El Alamein no Shinden,,エル・アラメインの神殿,Manga,764,6.5,1996,https://cdn.myanimelist.net/images/manga/3/33547l.jpg
116,Kago no Tori,,籠の鳥,Manga,417,6.5,1996,https://cdn.myanimelist.net/images/manga/2/271112l.jpg
118,Liling-Po,Liling-Po,リリン-ポ,Manga,404,6.49,1996,https://cdn.myanimelist.net/images/manga/2/11011l.jpg
118,Virgin Night,,初夜 -ヴァージン・ナイト-,Manga,698,6.49,1996,https://cdn.myanimelist.net/images/manga/1/3808l.jpg
120,Kokoro wo Hadaka ni Shite,Bare the Heart - Mayu-tan's Throbbing Note #3,心を裸にして,Manga,905,6.48,1996,https://cdn.myanimelist.net/images/manga/4/6681l.jpg
121,Every Day Every Night,,Every Day Every Night,Manga,442,6.45,1996,https://cdn.myanimelist.net/images/manga/2/150820l.jpg
122,Organic,Organic,,Doujinshi,669,6.43,1996,https://cdn.myanimelist.net/images/manga/1/15041l.jpg
123,"Aozora, Kami Hikouki",,青空、紙ヒコーキ,Manga,358,6.41,1996,https://cdn.myanimelist.net/images/manga/3/26694l.jpg
124,16 Engage,,シックスティーン・エンゲージ,Manga,1324,6.4,1996,https://cdn.myanimelist.net/images/manga/3/110657l.jpg
124,School Zone,School Zone,スクールゾーン,Manga,901,6.4,1996,https://cdn.myanimelist.net/images/manga/5/14308l.jpg
126,Notpia,,ノオトピア,Manga,838,6.39,1996,https://cdn.myanimelist.net/images/manga/3/288331l.jpg
127,Obaachan wa Idol,,おばあちゃんはアイドル,Manga,410,6.38,1996,https://cdn.myanimelist.net/images/manga/2/186464l.jpg
128,17-sai no Real,,17歳のリアル,Manga,378,6.37,1996,https://cdn.myanimelist.net/images/manga/3/11883l.jpg
129,Dr. Mordrid,Doctor Mordrid,Dr.モードリッド,Manga,429,6.31,1996,https://cdn.myanimelist.net/images/manga/1/231544l.jpg
129,Love Vibes,,Love vibes,Manga,2284,6.31,1996,https://cdn.myanimelist.net/images/manga/4/171449l.jpg
131,Sayonara Midori-chan,,さよならみどりちゃん,Manga,847,6.26,1996,https://cdn.myanimelist.net/images/manga/2/41197l.jpg
132,Hitomi: The Vision of Escaflowne,,HITOMI 天空のエスカフローネ,Manga,1409,6.25,1996,https://cdn.myanimelist.net/images/manga/2/302839l.jpg
133,Bull to Arukeba...,,ブルと歩けば…,Manga,731,6.23,1996,https://cdn.myanimelist.net/images/manga/3/171804l.jpg
133,Hi Tension,,拝Hiテンション,Manga,416,6.23,1996,https://cdn.myanimelist.net/images/manga/3/165480l.jpg
135,Gekka Kajin Lumen Lunae,,月華佳人 LUMEN LUNAE,Manga,347,6.21,1996,https://cdn.myanimelist.net/images/manga/2/1836l.jpg
136,Eve no Onna-tachi,,イブの女たち,One-shot,430,6.2,1996,https://cdn.myanimelist.net/images/manga/1/164447l.jpg
136,Kamisama Onegai,,かみさまお願い,Manga,793,6.2,1996,https://cdn.myanimelist.net/images/manga/1/133823l.jpg
138,Sekaino Owariga Furu Yoruni,,世界の終わりが降る夜に…,Manga,401,6.17,1996,https://cdn.myanimelist.net/images/manga/2/2322l.jpg
138,Yuugeki Uchuu Senkan Nadesico,Nadesico,遊撃宇宙戦艦ナデシコ,Manga,887,6.17,1996,https://cdn.myanimelist.net/images/manga/1/165157l.jpg
140,Buzzer Beater,Buzzer Beater,BUZZER BEATER,Manga,3079,6.15,1996,https://cdn.myanimelist.net/images/manga/3/201886l.jpg
141,Icaro,,,Manga,2551,6.07,1996,https://cdn.myanimelist.net/images/manga/1/14175l.jpg
142,13-nin no Short Suspense & Horror,,13人のショートサスペンス＆ホラー,Manga,1198,6.04,1996,https://cdn.myanimelist.net/images/manga/3/276140l.jpg
142,Engine Room: Ketsureishiki Nainen Kikanshitsu,,エンジンルーム 血冷式内燃機関室,Manga,361,6.04,1996,https://cdn.myanimelist.net/images/manga/1/128045l.jpg
144,Guzu na Onna bakari ja Nai ze,Not All Girls are Stupid,愚図な女ばかりじゃないぜ,Manga,1209,6.03,1996,https://cdn.myanimelist.net/images/manga/1/15516l.jpg
145,Burn-Up: Excess & W,,Burn-Up Excess & W,Manga,1713,5.97,1996,https://cdn.myanimelist.net/images/manga/3/20994l.jpg
145,Wendy,,ウエンディ,Manga,2050,5.97,1996,https://cdn.myanimelist.net/images/manga/1/32238l.jpg
147,Evil Crusher Maya,,EVIL CRUSHER 魔矢,Manga,380,5.96,1996,https://cdn.myanimelist.net/images/manga/2/40026l.jpg
148,Hellsing,,HELLSING,One-shot,3995,5.93,1996,https://cdn.myanimelist.net/images/manga/3/13088l.jpg
149,10 After,,テンアフター,Manga,256,5.84,1996,https://cdn.myanimelist.net/images/manga/3/48623l.jpg
150,Venus Kiss!!,,ビーナスKISS!!,Manga,667,5.81,1996,https://cdn.myanimelist.net/images/manga/1/269339l.jpg
151,Kyoko,,今日子,Manga,732,5.69,1996,https://cdn.myanimelist.net/images/manga/3/279153l.jpg
151,M,,M エム,Manga,1351,5.69,1996,https://cdn.myanimelist.net/images/manga/2/303587l.jpg
153,Kao no Nai Akuma,,顔のない悪魔,One-shot,231,5.52,1996,https://cdn.myanimelist.net/images/manga/1/21646l.jpg
154,Baby Lips,,Baby Lips,One-shot,363,5.03,1996,https://cdn.myanimelist.net/images/manga/3/81219l.jpg
