rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Tokyo卍Revengers,Tokyo Revengers,東京卍リベンジャーズ,Manga,253796,7.69,2017,https://cdn.myanimelist.net/images/manga/3/196272l.jpg
2,Dr. Stone,Dr. Stone,Dr.STONE,Manga,217467,8.2,2017,https://cdn.myanimelist.net/images/manga/1/197883l.jpg
3,"Ijiranaide, Nagatoro-san","Don't Toy With Me, Miss Nagatoro",イジらないで、長瀞さん,Manga,185861,7.59,2017,https://cdn.myanimelist.net/images/manga/1/268387l.jpg
4,5-toubun no Hanayome,The Quintessential Quintuplets,五等分の花嫁,Manga,179990,7.9,2017,https://cdn.myanimelist.net/images/manga/2/201572l.jpg
5,Shuumatsu no Walküre,Record of Ragnarok,終末のワルキューレ,Manga,154950,7.97,2017,https://cdn.myanimelist.net/images/manga/3/209957l.jpg
6,Blue Period,Blue Period,ブルーピリオド,Manga,145927,8.61,2017,https://cdn.myanimelist.net/images/manga/2/204827l.jpg
7,"Kanojo, Okarishimasu",Rent-A-Girlfriend,彼女、お借りします,Manga,140703,6.11,2017,https://cdn.myanimelist.net/images/manga/2/270155l.jpg
8,Chi no Wadachi,Blood on the Tracks,血の轍,Manga,140019,8.07,2017,https://cdn.myanimelist.net/images/manga/1/200350l.jpg
9,Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,Jujutsu Kaisen 0,呪術廻戦 0 東京都立呪術高等専門学校,Manga,128190,8.04,2017,https://cdn.myanimelist.net/images/manga/2/219336l.jpg
10,Jagaaaaaan,Jagaaan,ジャガーン,Manga,99801,7.42,2017,https://cdn.myanimelist.net/images/manga/2/273180l.jpg
11,Kusuriya no Hitorigoto,The Apothecary Diaries,薬屋のひとりごと,Manga,96925,8.68,2017,https://cdn.myanimelist.net/images/manga/3/201154l.jpg
12,Sweet Home,Sweet Home,스위트 홈,Manhwa,95926,8.26,2017,https://cdn.myanimelist.net/images/manga/3/227600l.jpg
13,Bokutachi wa Benkyou ga Dekinai,We Never Learn,ぼくたちは勉強ができない,Manga,90286,7.67,2017,https://cdn.myanimelist.net/images/manga/3/197080l.jpg
14,Mairimashita! Iruma-kun,Welcome to Demon School! Iruma-kun,魔入りました!入間くん,Manga,75226,8.38,2017,https://cdn.myanimelist.net/images/manga/1/198066l.jpg
15,Ao no Flag,Blue Flag,青のフラッグ,Manga,74743,8.0,2017,https://cdn.myanimelist.net/images/manga/3/194070l.jpg
16,Who Made Me a Princess,Who Made Me a Princess,어느 날 공주가 되어버렸다,Manhwa,70186,8.45,2017,https://cdn.myanimelist.net/images/manga/1/222587l.jpg
17,Summertime Render,Summertime Rendering,サマータイムレンダ,Manga,63607,8.24,2017,https://cdn.myanimelist.net/images/manga/3/261167l.jpg
18,Yancha Gal no Anjou-san,Anjo the Mischievous Gal,やんちゃギャルの安城さん,Manga,56175,7.56,2017,https://cdn.myanimelist.net/images/manga/3/207704l.jpg
19,86,86: Eighty-Six,86―エイティシックス―,Light Novel,54045,8.87,2017,https://cdn.myanimelist.net/images/manga/3/194315l.jpg
