rank,title,title_english,title_japanese,type,members,score,year
1,Touch,Touch,タッチ,TV,39036,7.98,1985
3,Tenshi no Tamago,Angel's Egg,天使のたまご,OVA,167856,7.71,1985
4,Princess Sara,A Little Princess Sara,小公女[プリンセス]セーラ,TV,23306,7.68,1985
5,Area 88,Area 88,エリア88,OVA,20692,7.47,1985
6,Ginga Tetsudou no Yoru,Night on the Galactic Railroad,銀河鉄道の夜,Movie,29057,7.35,1985
8,High School! Kimengumi,Funny Faces in High School,ハイスクール！奇面組,TV,5122,7.31,1985
9,Dirty Pair,Dirty Pair,ダーティペア,TV,36704,7.22,1985
12,Musashi no Ken,Musashi no Ken,六三四の剣,TV,3268,7.1,1985
13,Penguin's Memory: Shiawase Monogatari,Penguin's Memory: Shiawase Monogatari,ペンギンズ・メモリー幸福物語,Movie,5741,7.08,1985
14,Vampire Hunter D,Vampire Hunter D,吸血鬼〈バンパイア〉ハンターD,Movie,100970,6.98,1985
15,Onegai! Samia Don,Onegai! Samia Don,おねがい！サミアどん,TV,1630,6.95,1985
16,Ninja Senshi Tobikage,Ninja Robots,忍者戦士飛影,TV,5770,6.95,1985
18,Aoki Ryuusei SPT Layzner,Blue Comet SPT Layzner,蒼き流星SPTレイズナー,TV,7874,6.91,1985
20,Mahou no Star Magical Emi,Star Magician Magical Emi,魔法のスター マジカルエミ,TV,6336,6.8,1985
21,Honoo no Alpenrose: Judy & Randy,Alpenrose,炎のアルペンローゼ・ジュディ＆ランディ,TV,4369,6.78,1985
23,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Jump Festa Special,こちら葛飾区亀有公園前派出所,Special,1372,6.75,1985
24,Megazone 23,Megazone 23,メガゾーン23,OVA,24412,6.74,1985
26,Choujuu Kishin Dancougar,Super Bestial Machine God Dancougar,超獣機神ダンクーガ,TV,6421,6.63,1985
27,Kamui no Ken,The Dagger of Kamui,カムイの剣,Movie,8110,6.61,1985
28,Gegege no Kitarou (1985),Gegege no Kitarou (1985),ゲゲゲの鬼太郎,TV,3406,6.58,1985
29,Area 88 Movie,Area 88 Movie,エリア88 劇場版,Movie,2345,6.56,1985
31,Nils no Fushigi na Tabi (Movie),The Wonderful Adventures of Nils Movie,ニルスのふしぎな旅,OVA,1464,6.5,1985
32,Kimagure Orange☆Road: Shounen Jump Special,Kimagure Orange Road TV Pilot,きまぐれオレンジ☆ロード 少年ジャンプ・スペシャル,OVA,4989,6.48,1985
33,Yousei Florence,A Journey Through Fairyland,妖精フローレンス,Movie,2925,6.47,1985
36,Fire Tripper,Fire Tripper,炎トリッパー,OVA,6559,6.41,1985
38,Shouwa Ahozoushi Akanuke Ichiban!,Shouwa Ahozoushi Akanuke Ichiban!,昭和アホ草紙あかぬけ一番！,TV,1978,6.38,1985
39,"Soukou Kihei Votoms Vol.I: Stories of the ""A.T.Votoms""","Soukou Kihei Votoms Vol.I: Stories of the ""A.T.Votoms""","装甲騎兵ボトムズVOL.I STORIES OF THE ""A.T.VOTOMS""",OVA,1399,6.37,1985
40,Haai Step Jun,Haai Step Jun,はーいステップジュン,TV,2043,6.36,1985
41,Onboro Film,Broken Down Film,おんぼろフィルム,Movie,3127,6.35,1985
42,Gongitsune,Gongitsune,ごんぎつね,Movie,1410,6.33,1985
44,Yume no Hoshi no Button Nose,Dream Star Button Nose,夢の星のボタンノーズ,TV,1327,6.3,1985
45,Genmu Senki Leda,Fantastic Adventure Of Yohko: Leda,幻夢戦記レダ,OVA,9123,6.26,1985
46,Sangokushi (1985),Sangokushi (1985),三国志,TV Special,1352,6.26,1985
49,Tongari Boushi no Memole: Marielle no Housekibako,Tongari Boushi no Memole: Marielle no Housekibako,とんがり帽子のメモル マリエルの宝石箱,OVA,845,6.22,1985
50,Dream Hunter Rem,Dream Hunter Rem,DREAM HUNTER 麗夢,OVA,10370,6.19,1985
