rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Ginga Eiyuu Densetsu,Legend of the Galactic Heroes,銀河英雄伝説,OVA,346025,9.01,1988,https://cdn.myanimelist.net/images/anime/1976/142016.jpg
2,Hotaru no Haka,Grave of the Fireflies,火垂るの墓,Movie,728449,8.53,1988,https://cdn.myanimelist.net/images/anime/1485/141208.jpg
3,Tonari no Totoro,My Neighbor Totoro,となりのトトロ,Movie,1123233,8.25,1988,https://cdn.myanimelist.net/images/anime/1110/147278.jpg
4,Akira,Akira,AKIRA（アキラ）,Movie,917229,8.16,1988,https://cdn.myanimelist.net/images/anime/1408/114012.jpg
7,Top wo Nerae! Gunbuster,Gunbuster,トップをねらえ！ GunBuster,OVA,138459,7.85,1988,https://cdn.myanimelist.net/images/anime/1303/92309.jpg
12,Sakigake!! Otokojuku,Charge!! Men's Private School,魁!!男塾,TV,15754,7.42,1988,https://cdn.myanimelist.net/images/anime/1672/94168.jpg
13,Shoukoushi Cedie,Little Lord Fauntleroy,小公子セディ,TV,5325,7.33,1988,https://cdn.myanimelist.net/images/anime/5/3273.jpg
15,Kidou Keisatsu Patlabor,Patlabor: The Mobile Police,機動警察パトレイバー,OVA,42219,7.26,1988,https://cdn.myanimelist.net/images/anime/11/24151.jpg
16,Tekken Chinmi,Iron Fist Chinmi,鉄拳チンミ,TV,4998,7.25,1988,https://cdn.myanimelist.net/images/anime/13/57443.jpg
20,Hi no Ame ga Furu,Hi no Ame ga Furu,火の雨がふる,Movie,1993,7.17,1988,https://cdn.myanimelist.net/images/anime/7/12821.jpg
21,Kikou Ryouhei Mellowlink,Armor Hunter Mellowlink,機甲猟兵メロウリンク,OVA,11923,7.16,1988,https://cdn.myanimelist.net/images/anime/4/23503.jpg
24,Yoroiden Samurai Troopers,Samurai Troopers,鎧伝サムライトルーパー,TV,20182,7.07,1988,https://cdn.myanimelist.net/images/anime/1855/92738.jpg
25,Tsurupika Hagemaru-kun,Little Baldy Hagemaru,つるピカハゲ丸くん,TV,3602,7.01,1988,https://cdn.myanimelist.net/images/anime/1354/124736.jpg
26,Oishinbo,Oishinbo,美味しんぼ,TV,5553,7,1988,https://cdn.myanimelist.net/images/anime/1681/109663.jpg
27,Mashin Eiyuuden Wataru,Mashin Eiyuuden Wataru,魔神英雄伝ワタル,TV,3878,6.93,1988,https://cdn.myanimelist.net/images/anime/8/65417.jpg
28,Kyuuketsuhime Miyu,Vampire Princess Miyu,吸血姫美夕,OVA,24219,6.93,1988,https://cdn.myanimelist.net/images/anime/12/78948.jpg
29,Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de,Maison Ikkoku: Shiki Utsuriyuku Kisetsu no Naka de,めぞん一刻～移りゆく季節の中で～,OVA,3953,6.93,1988,https://cdn.myanimelist.net/images/anime/11/30539.jpg
30,Kiteretsu Daihyakka,Kiteretsu Encyclopedia,キテレツ大百科,TV,6876,6.89,1988,https://cdn.myanimelist.net/images/anime/1872/133507.jpg
31,Saint Seiya: Kamigami no Atsuki Tatakai,Saint Seiya: The Heated Battle of the Gods,聖闘士星矢 神々の熱き戦い,Movie,18893,6.87,1988,https://cdn.myanimelist.net/images/anime/1680/97668.jpg
32,Dominion,Dominion,ドミニオン,OVA,20205,6.85,1988,https://cdn.myanimelist.net/images/anime/1450/110634.jpg
33,Dragon Ball Movie 3: Makafushigi Daibouken,Dragon Ball: Mystical Adventure,ドラゴンボール 摩訶不思議大冒険,Movie,62363,6.81,1988,https://cdn.myanimelist.net/images/anime/1825/90341.jpg
34,Osomatsu-kun (1988),Osomatsu-kun (1988),おそ松くん,TV,7041,6.79,1988,https://cdn.myanimelist.net/images/anime/1991/134376.jpg
35,F,F,Ｆ-エフ,TV,4452,6.76,1988,https://cdn.myanimelist.net/images/anime/9/73616.jpg
36,Hurricane Live! 2032,Hurricane Live! 2032,バブルガムクライシス Hurricane Live! 2032,Special,2821,6.73,1988,https://cdn.myanimelist.net/images/anime/13/9846.jpg
37,Dragon Ball Specials,Dragon Ball Specials,ドラゴンボール,Special,33650,6.7,1988,https://cdn.myanimelist.net/images/anime/13/24380.jpg
