rank,title,title_english,title_japanese,type,members,score,year
2,Tengen Toppa Gurren Lagann,Gurren Lagann,天元突破グレンラガン,TV,1700483,8.64,2007
3,Clannad,Clannad,CLANNAD,TV,1469342,7.99,2007
4,Byousoku 5 Centimeter,5 Centimeters per Second,秒速５センチメートル,Movie,985282,7.55,2007
5,Darker than Black: Kuro no Keiyakusha,Darker than Black,Darker than BLACK -黒の契約者-,TV,983795,8.04,2007
6,Baccano!,Baccano!,バッカーノ！,TV,939040,8.35,2007
7,Claymore,Claymore,クレイモア,TV,702620,7.73,2007
8,School Days,School Days,スクールデイズ,TV,692413,5.51,2007
9,Lucky☆Star,Lucky☆Star,らき☆すた,TV,678187,7.75,2007
10,Lovely★Complex,Lovely Complex,ラブ★コン,TV,625910,8.03,2007
11,Evangelion Movie 1: Jo,Evangelion: 1.0 You Are (Not) Alone,ヱヴァンゲリヲン新劇場版:序,Movie,596005,8.0,2007
14,Kaze no Stigma,Kaze no Stigma,風のスティグマ,TV,467360,7.15,2007
15,Kara no Kyoukai Movie 1: Fukan Fuukei,The Garden of Sinners Chapter 1: Overlooking View,劇場版 空の境界 the Garden of sinners 第一章『俯瞰風景』,Movie,443751,7.56,2007
16,Afro Samurai,Afro Samurai,アフロサムライ,TV,397193,7.37,2007
17,Gyakkyou Burai Kaiji: Ultimate Survivor,Kaiji: Ultimate Survivor,逆境無頼カイジ Ultimate Survivor,TV,377116,8.26,2007
18,Sayonara Zetsubou Sensei,"Sayonara, Zetsubou-Sensei",さよなら絶望先生,TV,358485,7.85,2007
20,Stranger: Mukou Hadan,Sword of the Stranger,ストレンヂア -無皇刃譚-,Movie,346724,8.25,2007
21,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,TV,340572,7.65,2007
22,Devil May Cry,Devil May Cry,デビル メイ クライ,TV,331549,6.95,2007
23,Nodame Cantabile,Nodame Cantabile,のだめカンタービレ,TV,325957,8.25,2007
29,Hayate no Gotoku!,Hayate the Combat Butler,ハヤテのごとく！,TV,233009,7.5,2007
31,Seirei no Moribito,Moribito - Guardian of the Spirit,精霊の守り人,TV,229183,8.12,2007
32,Shugo Chara!,Shugo Chara!,しゅごキャラ！,TV,227811,7.41,2007
33,Death Note: Rewrite,Death Note: Relight,ディレクターズカット完全決着版 〜リライト,TV Special,218267,7.71,2007
34,Bokura no,Bokurano,ぼくらの,TV,197979,7.59,2007
35,Myself; Yourself,Myself; Yourself,マイセルフ; ユアセルフ,TV,190446,7.1,2007
36,Romeo x Juliet,Romeo x Juliet,ロミオ×ジュリエット,TV,189399,7.57,2007
37,Clannad Movie,Clannad The Motion Picture,劇場版 クラナド,Movie,183259,7.24,2007
38,Minami-ke,Minami-ke,みなみけ,TV,179346,7.64,2007
39,Shinreigari,Ghost Hound,神霊狩／GHOST HOUND,TV,158846,7.39,2007
40,Dennou Coil,Den-noh Coil,電脳コイル,TV,154913,8.02,2007
42,Shigurui,Shigurui: Death Frenzy,シグルイ,TV,130733,7.35,2007
44,Heroic Age,Heroic Age,ヒロイック・エイジ,TV,116226,7.5,2007
45,Kodomo no Jikan (TV),Kodomo no Jikan (TV),こどものじかん,TV,116056,6.68,2007
46,Bakugan Battle Brawlers,Bakugan Battle Brawlers,爆丸バトルブローラーズ,TV,115300,6.48,2007
48,Nagasarete Airantou,Nagasarete Airantou,ながされて藍蘭島,TV,106497,7.21,2007
49,Ookiku Furikabutte,Big Windup!,おおきく振りかぶって,TV,104776,7.87,2007
