rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Futago no Kishi,The Twin Knights,双子の騎士,Manga,1232,6.75,1958,https://cdn.myanimelist.net/images/manga/3/271182l.jpg
2,Film wa Ikiteiru,,フィルムは生きている,Manga,363,,1958,https://cdn.myanimelist.net/images/manga/1/341505l.jpg
3,Super Taiheiki,,スーパー太平記,Manga,226,,1958,https://cdn.myanimelist.net/images/manga/3/237784l.jpg
4,Piron no Himitsu,,ピロンの秘密,Manga,189,,1958,https://cdn.myanimelist.net/images/manga/2/287711l.jpg
5,Jet King,,ジェットキング,Manga,185,,1958,https://cdn.myanimelist.net/images/manga/2/237836l.jpg
6,Mama no Violin,,ママのバイオリン,Manga,178,,1958,https://cdn.myanimelist.net/images/manga/5/32826l.jpg
7,Korisu no Pokko-chan,,こりすのぽっこちゃん,Manga,160,,1958,https://cdn.myanimelist.net/images/manga/3/152687l.jpg
8,Jungle Taro,,ジャングルタロ,Manga,143,,1958,https://cdn.myanimelist.net/images/manga/1/288680l.jpg
9,Jigoku no Mizu,,地獄の水,Manga,134,,1958,https://cdn.myanimelist.net/images/manga/2/35643l.jpg
10,Owarai Team,,お笑いチーム,Manga,70,,1958,https://cdn.myanimelist.net/images/manga/2/42807l.jpg
