rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Hajime no Ippo,Fighting Spirit,はじめの一歩 THE FIGHTING!,TV,654346,8.78,2000,https://cdn.myanimelist.net/images/anime/4/86334.jpg
4,FLCL,FLCL,フリクリ,OVA,867455,8.04,2000,https://cdn.myanimelist.net/images/anime/7/77356.jpg
7,InuYasha,InuYasha,犬夜叉,TV,835873,7.87,2000,https://cdn.myanimelist.net/images/anime/1589/95329.jpg
9,Jin-Rou,Jin-Roh: The Wolf Brigade,人狼 JIN-ROH,Movie,196183,7.78,2000,https://cdn.myanimelist.net/images/anime/1323/103343.jpg
10,Gakkou no Kaidan,Ghost Stories,学校の怪談,TV,238368,7.75,2000,https://cdn.myanimelist.net/images/anime/1414/112029.jpg
11,Seikai no Senki,Banner of the Stars,星界の戦旗,TV,35890,7.64,2000,https://cdn.myanimelist.net/images/anime/11/61111.jpg
12,Daa! Daa! Daa!,Daa! Daa! Daa!,だぁ! だぁ! だぁ!,TV,27177,7.64,2000,https://cdn.myanimelist.net/images/anime/3/21166.jpg
13,Gensoumaden Saiyuuki,Saiyuki,幻想魔伝 最遊記,TV,57820,7.54,2000,https://cdn.myanimelist.net/images/anime/11/75282.jpg
15,Shoubushi Densetsu Tetsuya,Shoubushi Densetsu Tetsuya,勝負師伝説哲也,TV,11526,7.51,2000,https://cdn.myanimelist.net/images/anime/1165/145095.jpg
16,Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh!,遊☆戯☆王　デュエルモンスターズ,TV,416250,7.5,2000,https://cdn.myanimelist.net/images/anime/3/77055.jpg
24,Popee the Performer,Popee the Clown,POPEE the ぱフォーマー,TV,12263,7.27,2000,https://cdn.myanimelist.net/images/anime/1682/110199.jpg
29,Brigadoon: Marin to Melan,Brigadoon,ブリガドーン まりんとメラン,TV,14995,7.19,2000,https://cdn.myanimelist.net/images/anime/7/75820.jpg
30,Ayashi no Ceres,"Ceres, Celestial Legend",妖しのセレス,TV,64952,7.17,2000,https://cdn.myanimelist.net/images/anime/1928/106202.jpg
31,Boogiepop wa Warawanai,Boogiepop Phantom,ブギーポップは笑わない Boogiepop Phantom,TV,146499,7.15,2000,https://cdn.myanimelist.net/images/anime/1327/95777.jpg
32,Vandread,Vandread,ヴァンドレッド,TV,88237,7.15,2000,https://cdn.myanimelist.net/images/anime/5/75446.jpg
33,One Piece: Umi no Heso no Daibouken-hen,One Piece: Adventure in the Ocean's Navel,ワンピース ルフィ落下!秘境・海のヘソの大冒険,TV Special,40766,7.15,2000,https://cdn.myanimelist.net/images/anime/6/20923.jpg
34,Gear Fighter Dendoh,Gear Fighter Dendoh,GEAR戦士 電童,TV,4481,7.15,2000,
35,Hidamari no Ki,Tree in the Sun,陽だまりの樹,TV,5510,7.13,2000,https://cdn.myanimelist.net/images/anime/1344/110484.jpg
36,Seikai no Monshou Special,Seikai no Monshou Special,星界の紋章 総集編,TV Special,3983,7.13,2000,
37,Dokidoki♡Densetsu: Mahoujin Guruguru,Magical Circle Guru Guru 2,ドキドキ♡伝説 魔法陣グルグル,TV,4692,7.12,2000,
38,Digimon Adventure 02 Movies,Digimon Movie 02 - Digimon Hurricane Touchdown! Supreme Evolution! The Golden Digimentals.,映画 デジモンアドベンチャー０２,Movie,47840,7.1,2000,https://cdn.myanimelist.net/images/anime/1042/143225.jpg
39,One Piece Movie 01,One Piece: The Movie,ONE PIECE,Movie,148119,7.09,2000,https://cdn.myanimelist.net/images/anime/1770/97704.jpg
40,Kazemakase Tsukikage Ran,Carried by the Wind: Tsukikage Ran,風まかせ月影蘭,TV,18848,7.09,2000,https://cdn.myanimelist.net/images/anime/5/16745.jpg
41,Love Hina,Love Hina,ラブひな,TV,275741,7.09,2000,https://cdn.myanimelist.net/images/anime/1153/99366.jpg
42,Pokemon Movie 03: Kesshoutou no Teiou Entei,Pokémon 3: The Movie,ポケットモンスター 結晶塔の帝王 ENTEI,Movie,185928,7.09,2000,https://cdn.myanimelist.net/images/anime/7/80288.jpg
43,Lupin III: $1 Money Wars,Lupin III: Missed by a Dollar,ルパン三世 1$マネーウォーズ,TV Special,8329,7.09,2000,https://cdn.myanimelist.net/images/anime/1555/134189.jpg
44,Shin Getter Robo tai Neo Getter Robo,Shin Getter Robo vs. Neo Getter Robo,真ゲッターロボ対ネオゲッターロボ,OVA,7349,7.09,2000,https://cdn.myanimelist.net/images/anime/9/89851.jpg
45,Pokemon: Mewtwo! Ware wa Koko ni Ari,Pokémon: Mewtwo Returns,ポケットモンスター ミュウツー! 我ハココニ在リ,TV Special,81468,7.08,2000,https://cdn.myanimelist.net/images/anime/7/87922.jpg
46,Escaflowne,Escaflowne: A Girl in Gaea,エスカフローネ,Movie,76106,7.05,2000,https://cdn.myanimelist.net/images/anime/1539/94517.jpg
47,Seikai no Danshou: Tanjou,Crest of the Stars: Birth,星界の断章 “誕生”,TV Special,9261,7.04,2000,https://cdn.myanimelist.net/images/anime/12/61103.jpg
48,Tottoko Hamtarou,Hamtaro,とっとこハム太郎,TV,63312,7.01,2000,https://cdn.myanimelist.net/images/anime/3/21562.jpg
49,Yami no Matsuei,Descendants of Darkness,闇の末裔,TV,57961,7.01,2000,https://cdn.myanimelist.net/images/anime/1414/109717.jpg
50,Jinzou Ningen Kikaider The Animation,Android Kikaider - The Animation,人造人間キカイダーTHE ANIMATION,TV,11080,6.98,2000,https://cdn.myanimelist.net/images/anime/3/75542.jpg
