rank,title,title_english,title_japanese,type,members,score,year
3,Shigatsu wa Kimi no Uso,Your Lie in April,四月は君の嘘,TV,2334753,8.64,2014
4,Ping Pong the Animation,Ping Pong the Animation,ピンポン THE ANIMATION,TV,421255,8.62,2014
6,Haikyuu!!,Haikyu!!,ハイキュー!!,TV,2090611,8.43,2014
9,Barakamon,Barakamon,ばらかもん,TV,694458,8.37,2014
11,Kiseijuu: Sei no Kakuritsu,Parasyte: The Maxim,寄生獣 セイの格率,TV,1972916,8.32,2014
13,Gin no Saji 2nd Season,Silver Spoon 2nd Season,銀の匙,TV,152192,8.27,2014
14,Shirobako,Shirobako,SHIROBAKO,TV,462301,8.27,2014
19,Zankyou no Terror,Terror in Resonance,残響のテロル,TV,1235462,8.08,2014
22,No Game No Life,"No Game, No Life",ノーゲーム・ノーライフ,TV,2495508,8.05,2014
25,Omoide no Marnie,When Marnie Was There,思い出のマーニー,Movie,321631,8.04,2014
26,Akatsuki no Yona,Yona of the Dawn,暁のヨナ,TV,904089,8.03,2014
28,Noragami,Noragami,ノラガミ,TV,2256691,7.94,2014
32,Space☆Dandy,Space Dandy,スペース☆ダンディ,TV,378223,7.89,2014
33,Magic Kaito 1412,Magic Kaito 1412,まじっく快斗1412,TV,132368,7.86,2014
38,Gekkan Shoujo Nozaki-kun,Monthly Girls' Nozaki-kun,月刊少女野崎くん,TV,976802,7.82,2014
39,New Initial D Movie: Legend 1 - Kakusei,Initial D Legend 1 Awakening,新劇場版　頭文字［イニシャル］D Legend1 -覚醒-,Movie,42551,7.8,2014
40,Baby Steps,Baby Steps,ベイビーステップ,TV,164089,7.79,2014
41,Magi: Sinbad no Bouken,Magi: Sinbad no Bouken,マギ シンドバッドの冒険,OVA,143192,7.79,2014
43,Tokyo Ghoul,Tokyo Ghoul,東京喰種-トーキョーグール-,TV,2956008,7.79,2014
45,Hoozuki no Reitetsu,Hozuki's Coolheadedness,鬼灯の冷徹,TV,137665,7.77,2014
