rank,title,title_english,title_japanese,type,members,score,year
1,Mononoke Hime,Princess Mononoke,もののけ姫,Movie,1330154,8.67,1997
3,Kenpuu Denki Berserk,Berserk,剣風伝奇ベルセルク,TV,723288,8.6,1997
4,Pokemon,Pokémon,ポケットモンスター,TV,660227,7.41,1997
5,Shinseiki Evangelion Movie: Shi to Shinsei,Neon Genesis Evangelion: Death & Rebirth,新世紀エヴァンゲリオン劇場版 シト新生,Movie,272876,7.48,1997
6,Shoujo Kakumei Utena,Revolutionary Girl Utena,少女革命ウテナ,TV,236483,8.22,1997
9,Rekka no Honoo,Flame of Recca,烈火の炎,TV,70648,7.34,1997
13,Kyuuketsuhime Miyu (TV),Vampire Princess Miyu,吸血姫美夕,TV,43759,7.12,1997
14,AIKa,Agent AIKa,ＡＩＫａ,OVA,39689,5.95,1997
15,Shin Tenchi Muyou!,Tenchi in Tokyo,新・天地無用!,TV,39053,6.86,1997
16,Flanders no Inu (Movie),The Dog of Flanders,フランダースの犬 (1997),Movie,35957,7.81,1997
17,Kindaichi Shounen no Jikenbo,The File of Young Kindaichi,金田一少年の事件簿,TV,35046,7.94,1997
18,Yuusha-Ou GaoGaiGar,King of Braves GaoGaiGar,勇者王ガオガイガー,TV,24236,7.83,1997
19,Vampire Hunter,Night Warriors: Darkstalkers' Revenge,ヴァンパイアハンター,OVA,22037,6.55,1997
22,Chuuka Ichiban!,Cooking Master Boy,中華一番,TV,21184,7.6,1997
23,Dr. Slump,Dr. Slump,ドクタースランプ,TV,19624,6.98,1997
24,Rayearth,Rayearth,レイアース,OVA,17772,6.84,1997
25,Tenchi Muyou! Manatsu no Eve,Tenchi the Movie 2: Daughter of Darkness,天地無用！真夏のイヴ,Movie,16580,7.09,1997
26,Sakura Tsuushin,Sakura Diaries,桜通信,OVA,16478,6.13,1997
27,Photon,Photon: The Idiot Adventures,フォトン,OVA,16435,7.0,1997
28,Clamp Gakuen Tanteidan,CLAMP School Detectives,CLAMP学園探偵団,TV,15865,6.83,1997
31,Eat-Man,Eat-Man,イートマン,TV,13593,6.34,1997
34,Hyper Police,Hyper Police,はいぱーぽりす,TV,12841,6.94,1997
35,Cutie Honey F,Cutey Honey F,キューティーハニーＦ,TV,11724,6.62,1997
36,Onkyou Seimeitai Noiseman,Noiseman Sound Insect,音響生命体ノイズマン,Movie,11674,6.45,1997
37,Buttobi!! CPU,I Dream of Mimi,ぶっとび!!CPU,OVA,11633,6.21,1997
38,Eikyuu Kazoku,Eternal Family,永久家族,Movie,11119,5.85,1997
39,Battle Athletess Daiundoukai (TV),Battle Athletes Victory,バトルアスリーテス大運動会,TV,10730,6.85,1997
41,Jungle de Ikou!,Jungle De Ikou!,ジャングルDEいこう!,OVA,9934,5.32,1997
42,Rurouni Kenshin Recap,Samurai X Recap,夏休みスペシャル　京都決戦クライマックス,TV Special,9852,7.17,1997
44,City Hunter: Goodbye My Sweetheart,City Hunter: The Motion Picture,シティーハンタースペシャル グッド・バイ・マイ・スイート・ハート,TV Special,8841,7.5,1997
46,Hana yori Dango (Movie),Hana Yori Dango The Movie,花より男子,Movie,8698,6.31,1997
47,Wish,Wish,Wish,Music,8557,6.53,1997
48,Fujimi 2-choume Koukyougakudan,Fujimi 2-choume Koukyougakudan,富士見二丁目交響楽団,OVA,8244,5.44,1997
