rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Dororo to Hyakkimaru,Dororo,どろろと百鬼丸,TV,25275,7.28,1969,https://cdn.myanimelist.net/images/anime/8/12061.jpg
2,Tiger Mask,Tiger Mask,タイガーマスク,TV,12090,7.28,1969,https://cdn.myanimelist.net/images/anime/8/71351.jpg
4,Sazae-san,Mrs. Sazae,サザエさん,TV,10291,6.16,1969,https://cdn.myanimelist.net/images/anime/1008/98996.jpg
5,Muumin,Muumin,ムーミン,TV,7788,7.15,1969,https://cdn.myanimelist.net/images/anime/1159/153850.jpg
6,Senya Ichiya Monogatari,A Thousand and One Nights,千夜一夜物語,Movie,7089,6.1,1969,https://cdn.myanimelist.net/images/anime/4/39379.jpg
7,Soratobu Yuureisen,Flying Phantom Ship,空飛ぶゆうれい船,Movie,7038,6.5,1969,https://cdn.myanimelist.net/images/anime/1557/112988.jpg
9,Nagagutsu wo Haita Neko,The Wonderful World of Puss 'n Boots,長靴をはいた猫,Movie,5477,6.95,1969,https://cdn.myanimelist.net/images/anime/7/5415.jpg
10,Himitsu no Akko-chan,Secrets of Akko-chan,ひみつのアッコちゃん,TV,4385,6.51,1969,https://cdn.myanimelist.net/images/anime/10/5225.jpg
11,Ninpuu Kamui Gaiden,Ninpuu Kamui Gaiden,忍風カムイ外伝,TV,3227,6.71,1969,https://cdn.myanimelist.net/images/anime/3/22957.jpg
12,Hakushon Daimaou,Bob in the Bottle,ハクション大魔王,TV,2867,6.11,1969,https://cdn.myanimelist.net/images/anime/1249/134561.jpg
13,Kurenai Sanshirou,Judo Boy,紅三四郎,TV,2730,6.46,1969,https://cdn.myanimelist.net/images/anime/1445/134584.jpg
14,44-hiki no Neko,44-hiki no Neko,44ひきのねこ,Music,2089,4.6,1969,https://cdn.myanimelist.net/images/anime/7/23825.jpg
15,Otoko Ippiki Gaki Daishou,Otoko Ippiki Gaki Daishou,男一匹ガキ大将,TV,1814,6.45,1969,https://cdn.myanimelist.net/images/anime/1179/95335.jpg
16,G-senjou no Higeki,G-senjou no Higeki,G線上の悲劇,Movie,1574,3.64,1969,https://cdn.myanimelist.net/images/anime/13/64697.jpg
18,Hi Gekiga Ukiyoe Senya Ichiya,Hi Gekiga Ukiyoe Senya Ichiya,(秘)劇画 浮世絵千一夜,Movie,985,5.38,1969,https://cdn.myanimelist.net/images/anime/1208/148576.jpg
19,Umeboshi Denka,Umeboshi Denka,ウメ星デンカ,TV,932,5.85,1969,https://cdn.myanimelist.net/images/anime/1927/135792.jpg
22,Mouretsu Atarou,Mouretsu Atarou,もーれつア太郎,TV,658,,1969,https://cdn.myanimelist.net/images/anime/1895/124352.jpg
23,Hitoribocchi,Hitoribocchi,ひとりぼっち,Movie,632,,1969,https://cdn.myanimelist.net/images/anime/1271/100909.jpg
24,Wonder-kun no Hatsu Yume Uchuu Ryokou,Wonder-kun no Hatsu Yume Uchuu Ryokou,ワンダー君の初夢宇宙旅行,TV Special,600,5.37,1969,https://cdn.myanimelist.net/images/anime/1937/101556.jpg
25,Pinch to Punch,Pinch to Punch,ピンチとパンチ,TV,593,,1969,https://cdn.myanimelist.net/images/anime/9/53315.jpg
26,Roppou Yabure-kun,Roppou Yabure-kun,六法やぶれクン,TV,590,,1969,https://cdn.myanimelist.net/images/anime/1362/150480.jpg
27,Toumei Ningen,Transparent Man,透明人間,Movie,564,4.92,1969,https://cdn.myanimelist.net/images/anime/4/71325.jpg
28,Sobakasu Pucchi,Sobakasu Pucchi,そばかすプッチー,TV,499,,1969,https://cdn.myanimelist.net/images/anime/3/53309.jpg
29,Kaitei Toshi no Dekiru made,Kaitei Toshi no Dekiru made,海底都市の出来るまで,Special,483,,1969,https://cdn.myanimelist.net/images/anime/3/56793.jpg
30,Kyojin no Hoshi tai Tetsuwan Atom,Star of the Giants vs Astro Boy,巨人の星対鉄腕アトム,Special,458,,1969,https://cdn.myanimelist.net/images/anime/1715/152882.jpg
31,Jataka Monogatari: Kiniro no Shika,Jataka Monogatari: Kiniro no Shika,ジャータカ物語 きんいろのしか,Movie,407,5.1,1969,https://cdn.myanimelist.net/images/anime/1000/116454.jpg
32,Zen-chan Two-chan,Zen-chan Two-chan,ゼンちゃんツーちゃん,TV,393,,1969,https://cdn.myanimelist.net/images/anime/1442/99551.jpg
33,Shuugou no Kangae,Shuugou no Kangae,集合の考え,Movie,324,,1969,https://cdn.myanimelist.net/images/anime/12/77375.jpg
35,Doubutsu Mura no Kodomo-tachi,Doubutsu Mura no Kodomo-tachi,どうぶつむらのこどもたち,Movie,287,5.6,1969,https://cdn.myanimelist.net/images/anime/11/82356.jpg
36,Pan no March,Pan no March,パンのマーチ,Music,239,5.36,1969,https://cdn.myanimelist.net/images/anime/1124/112115.jpg
37,Son Ogong,Son Ogong,손오공,Movie,147,,1969,https://cdn.myanimelist.net/images/anime/1781/108198.jpg
38,Ashita ni Kakeru Kazoeuta,Ashita ni Kakeru Kazoeuta,あしたに賭ける数え歌,Music,138,,1969,https://cdn.myanimelist.net/images/anime/1961/141929.jpg
39,Yuki wa Non Non: Kumakko-tachi no Komori Uta,Yuki wa Non Non: Kumakko-tachi no Komori Uta,雪はのんのん～熊っ子たちの子もり歌～,Music,131,,1969,https://cdn.myanimelist.net/images/anime/1865/139716.jpg
40,Asobou yo,Asobou yo,あそぼうよ,Music,118,,1969,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
41,Oni no Negai,Oni no Negai,鬼のねがい,Music,108,,1969,https://cdn.myanimelist.net/images/anime/1692/138617.jpg
42,Midori no Makiba de,Midori no Makiba de,みどりの牧場で,Music,107,,1969,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
43,Konoha-kun,Konoha-kun,木の葉くん,Music,106,,1969,https://cdn.myanimelist.net/images/anime/1823/139407.jpg
44,Chiisana Funanori,Chiisana Funanori,小さな船乗り,Music,105,,1969,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
