rank,title,title_english,title_japanese,type,members,score,year,image_url
3,Takopii no Genzai,Takopi's Original Sin,タコピーの原罪,ONA,287932,8.76,2025,https://cdn.myanimelist.net/images/anime/1182/149879.jpg
5,Tu Bian Yingxiong X,To Be Hero X,凸变英雄X,ONA,232404,8.7,2025,https://cdn.myanimelist.net/images/anime/1492/150628.jpg
9,Guimi Zhi Zhu: Xiaochou Pian,Lord of Mysteries,诡秘之主 小丑篇,ONA,189229,8.62,2025,https://cdn.myanimelist.net/images/anime/1952/149229.jpg
12,Uma Musume: Cinderella Gray,Umamusume: Cinderella Gray,ウマ娘 シンデレラグレイ,TV,90628,8.57,2025,https://cdn.myanimelist.net/images/anime/1626/148097.jpg
13,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms with Dignity,薫る花は凛と咲く,TV,412999,8.56,2025,https://cdn.myanimelist.net/images/anime/1744/150433.jpg
21,Medalist,Medalist,メダリスト,TV,84108,8.37,2025,https://cdn.myanimelist.net/images/anime/1029/146850.jpg
22,Hyakuemu.,100 Meters,ひゃくえむ。,Movie,56814,8.35,2025,https://cdn.myanimelist.net/images/anime/1259/151080.jpg
27,Gachiakuta,Gachiakuta,ガチアクタ,TV,442874,8.23,2025,https://cdn.myanimelist.net/images/anime/1682/150432.jpg
34,Silent Witch: Chinmoku no Majo no Kakushigoto,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,TV,199527,8.11,2025,https://cdn.myanimelist.net/images/anime/1669/149732.jpg
35,City The Animation,City The Animation,CITY THE ANIMATION,TV,82361,8.09,2025,https://cdn.myanimelist.net/images/anime/1829/145678.jpg
36,Fujimoto Tatsuki 17-26,Tatsuki Fujimoto 17-26,藤本タツキ17-26,ONA,73243,8.09,2025,https://cdn.myanimelist.net/images/anime/1864/151837.jpg
41,Apocalypse Hotel,Apocalypse Hotel,アポカリプスホテル,TV,71546,8.02,2025,https://cdn.myanimelist.net/images/anime/1511/148642.jpg
42,Hikaru ga Shinda Natsu,The Summer Hikaru Died,光が死んだ夏,TV,274660,8.02,2025,https://cdn.myanimelist.net/images/anime/1104/148614.jpg
44,Ruri no Houseki,Ruri Rocks,瑠璃の宝石,TV,82197,7.99,2025,https://cdn.myanimelist.net/images/anime/1431/148742.jpg
46,My Melody & Kuromi,My Melody & Kuromi,My Melody & Kuromi,ONA,6649,7.95,2025,https://cdn.myanimelist.net/images/anime/1964/150532.jpg
48,I Byeol-e Pil-yohan,Lost in Starlight,이 별에 필요한,ONA,16977,7.91,2025,https://cdn.myanimelist.net/images/anime/1371/149504.jpg
52,Rock wa Lady no Tashinami deshite,Rock Is a Lady's Modesty,ロックは淑女の嗜みでして,TV,78321,7.9,2025,https://cdn.myanimelist.net/images/anime/1781/150071.jpg
57,Anne Shirley,Anne Shirley,アン・シャーリー,TV,52445,7.87,2025,https://cdn.myanimelist.net/images/anime/1564/150049.jpg
61,Clevatess: Majuu no Ou to Akago to Shikabane no Yuusha,Clevatess,クレバテス-魔獣の王と赤子と屍の勇者-,TV,179065,7.81,2025,https://cdn.myanimelist.net/images/anime/1255/150593.jpg
65,Mofa Gongzhu de Xiao Fannao,The Fated Magical Princess: Who Made Me a Princess,魔法公主的小烦恼,ONA,43192,7.79,2025,https://cdn.myanimelist.net/images/anime/1537/152271.jpg
