rank,title,title_english,title_japanese,type,members,score,year
4,Lodoss-tou Senki,Record of Lodoss War,ロードス島戦記,OVA,87920,7.32,1990
5,Fushigi no Umi no Nadia,Nadia: The Secret of Blue Water,ふしぎの海のナディア,TV,75968,7.5,1990
6,Cyber City Oedo 808,Cyber City,CYBER CITY OEDO 808 (サイバーシティ オーエド ハチマルハチ),OVA,35409,7.2,1990
7,Tanoshii Muumin Ikka,Moomin,楽しいムーミン一家,TV,31608,8.27,1990
9,Kaze no Na wa Amnesia,A Wind Named Amnesia,風の名はアムネジア,Movie,22246,6.31,1990
10,AD Police,AD Police Files,ADポリス,OVA,20818,6.25,1990
11,Watashi no Ashinaga Ojisan,My Daddy Long Legs,私のあしながおじさん,TV,19001,7.7,1990
12,Kyattou Ninden Teyandee,Samurai Pizza Cats,キャッ党忍伝てやんでえ,TV,14959,7.03,1990
13,Mamono Hunter Youko,Devil Hunter Yohko,魔物ハンター妖子,OVA,14441,6.22,1990
14,Chibi Maruko-chan,Chibi Maruko-chan,ちびまる子ちゃん,TV,13728,7.65,1990
15,Mad★Bull 34,Mad Bull 34,マッド★ブル34,OVA,13471,6.33,1990
17,1+2=Paradise,1+2=Paradise,１＋２＝パラダイス,OVA,11704,4.75,1990
18,Be-Bop Highschool,Be-Bop Highschool,ビー・バップ・ハイスクール,OVA,10765,7.5,1990
19,Violence Jack: Hell's Wind-hen,Violence Jack: Hell's Wind,バイオレンス ジャック 〜ヘルスウインド編〜,OVA,10560,5.51,1990
20,The Hakkenden,The Hakkenden: Legend of the Dog Warriors,THE 八犬伝,OVA,10462,6.56,1990
21,Robin Hood no Daibouken,The Great Adventures of Robin Hood,ロビンフッドの大冒険,TV,9961,7.11,1990
22,City Hunter: Bay City Wars,City Hunter: Bay City Wars,シティーハンター ベイシティウォーズ,Movie,9630,7.33,1990
23,Umezu Kazuo no Noroi,The Curse of Kazuo Umezu,楳図かずおの呪い,OVA,9469,6.15,1990
24,Kumo no You ni Kaze no You ni,"Like the Clouds, Like the Wind",雲のように風のように,TV Special,9066,6.76,1990
25,Doraemon Movie 11: Nobita to Animal Planet,Doraemon the Movie: Nobita and the Animal Planet,映画 ドラえもん のび太とアニマル惑星[プラネット],Movie,8904,7.18,1990
26,City Hunter: Hyakuman Dollar no Inbou,City Hunter: Million Dollar Conspiracy,シティーハンター 百万ドルの陰謀,Movie,8745,7.32,1990
27,Sol Bianca,Sol Bianca,SOL BIANCA (ソル·ビアンカ),OVA,8183,6.3,1990
28,Ranma ½: Nettou Uta Gassen,Ranma 1/2: Hot Song Contest,らんま１／２　熱闘歌合戦,OVA,7886,7.09,1990
29,Lupin III: Hemingway Paper no Nazo,Lupin III: The Hemingway Papers,ルパン三世『ヘミングウェイペーパーの謎,TV Special,7859,6.84,1990
30,Dragon Quest: Yuusha Abel Densetsu,Dragon Warrior,ドラゴンクエスト～勇者アベル伝説～,TV,7855,6.86,1990
31,A-Ko The Versus,Project A-ko: Uncivil Wars,A-Ko The VS [ヴァーサス],OVA,6660,6.2,1990
32,Dirty Pair: Bouryaku no 005-bin,Original Dirty Pair: Flight 005 Conspiracy,ダーティペア　謀略の００５便,OVA,5928,6.76,1990
33,Ryokunohara Labyrinth: Sparkling Phantom,Ryokunohara Labyrinth: Sparkling Phantom,緑野原迷宮 〜Sparkling Phantom〜,OVA,5624,4.91,1990
34,Nineteen,Nineteen,NINETEEN 19,OVA,5437,6.14,1990
35,Vampire Sensou,Vampire Wars,ヴァンパイヤー戦争,OVA,5422,4.65,1990
36,Shuranosuke Zanmaken: Shikamamon no Otoko,Sword for Truth,修羅之介斬魔劍 死鎌紋の男,OVA,5350,4.73,1990
37,NG Knight Ramune & 40,NG Knight Ramune & 40,NG騎士ラムネ＆４０,TV,4932,7.02,1990
38,Goddamn,Goddamn,ガッデム,OVA,4697,5.88,1990
39,Mahou no Angel Sweet Mint,Mahou no Angel Sweet Mint,魔法のエンジェル スイートミント,TV,4343,6.6,1990
40,"""Eiji""","""Eiji""",「エイジ」,Movie,4322,5.62,1990
41,Kidou Senshi SD Gundam Mk-III,Mobile Suit SD Gundam Mk-III,機動戦士SDガンダム Mk-III,OVA,4159,5.75,1990
42,Bouken! Iczer 3,Iczer Reborn,冒険！イクサー３,OVA,4121,5.83,1990
43,Kounai Shasei,Tales of Titillation,校内写生,OVA,4107,5.92,1990
44,New Dream Hunter Rem: Yume no Kishi-tachi,New Dream Hunter Rem: Yume no Kishi-tachi,NEW DREAM HUNTER 麗夢 夢の騎士達,OVA,4084,6.24,1990
45,Kidou Senshi SD Gundam Mk-IV,Mobile Suit SD Gundam Mk-IV,機動戦士SDガンダム Mk-IV,OVA,4042,5.88,1990
46,Versailles no Bara: Seimei Aru Kagiri Aishite,Versailles no Bara: Seimei Aru Kagiri Aishite,ベルサイユのばら 生命あるかぎり愛して,Movie,3998,6.86,1990
47,Ankoku Shinwa,Ankoku Shinwa,暗黒神話,OVA,3930,4.22,1990
48,Yuusha Exkaiser,The Brave Fighter Exkizer,勇者エクスカイザー,TV,3788,6.64,1990
49,SD Gundam Gaiden,SD Gundam Gaiden,機動戦士SDガンダム外伝,OVA,3526,5.72,1990
50,Kidou Senshi SD Gundam Mk-V,Mobile Suit SD Gundam Mk-V,機動戦士SDガンダム Mk-V,OVA,3371,5.59,1990
