rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Akame,The Red Eyes,赤目,Manga,1192,6.76,1961,https://cdn.myanimelist.net/images/manga/2/268397l.jpg
2,Number 7,,ナンバー7,Manga,465,,1961,https://cdn.myanimelist.net/images/manga/1/275003l.jpg
3,Tiger Books,,タイガーブックス,Manga,392,,1961,https://cdn.myanimelist.net/images/manga/2/44659l.jpg
4,Fushigi na Shounen,,ふしぎな少年,Manga,214,,1961,https://cdn.myanimelist.net/images/manga/2/237884l.jpg
5,Shiroi Pilot,,白いパイロット,Manga,200,,1961,https://cdn.myanimelist.net/images/manga/3/237738l.jpg
6,Kappa no Sanpei,,河童の三平,Manga,172,,1961,https://cdn.myanimelist.net/images/manga/1/36917l.jpg
7,Mangaka Zankoku Monogatari,,漫画家残酷物語,Manga,151,,1961,https://cdn.myanimelist.net/images/manga/2/197598l.jpg
8,Shounen Typhoon,,少年台風〈タイフーン〉,Manga,35,,1961,https://cdn.myanimelist.net/images/manga/1/238652l.jpg
9,Tetsu no Michi,,鉄の道,Manga,29,,1961,https://cdn.myanimelist.net/images/manga/2/336545l.jpg
10,Sasuke,,サスケ,Manga,22,,1961,https://cdn.myanimelist.net/images/manga/3/344670l.jpg
11,Ari to Kyojin,,アリと巨人,Manga,13,,1961,https://cdn.myanimelist.net/images/manga/2/348316l.jpg
12,Iga no Kagemaru,,伊賀の影丸,Manga,8,,1961,https://cdn.myanimelist.net/images/manga/1/348961l.jpg
