rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Dandadan,Dandadan,ダンダダン,Manga,219546,8.38,2021,https://cdn.myanimelist.net/images/manga/2/248746l.jpg
2,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms with Dignity,薫る花は凛と咲く,Manga,148323,8.77,2021,https://cdn.myanimelist.net/images/manga/5/256607l.jpg
3,Look Back,Look Back,ルックバック,Manga,133129,8.44,2021,https://cdn.myanimelist.net/images/manga/3/249833l.jpg
4,Ao no Hako,Blue Box,アオのハコ,Manga,107283,8.32,2021,https://cdn.myanimelist.net/images/manga/2/248748l.jpg
5,The Greatest Estate Developer,The Greatest Estate Developer,역대급 영지 설계사,Manhwa,95943,9.1,2021,https://cdn.myanimelist.net/images/manga/1/290131l.jpg
6,Choujin X,Choujin X,超人X,Manga,76787,7.64,2021,https://cdn.myanimelist.net/images/manga/3/253495l.jpg
7,Hikaru ga Shinda Natsu,The Summer Hikaru Died,光が死んだ夏,Manga,75004,8.43,2021,https://cdn.myanimelist.net/images/manga/2/256448l.jpg
8,Takopii no Genzai,Takopi's Original Sin,タコピーの原罪,Manga,64413,7.87,2021,https://cdn.myanimelist.net/images/manga/1/256655l.jpg
9,I'm the Max-Level Newbie,I'm the Max-Level Newbie,나 혼자 만렙 뉴비,Manhwa,46720,7.67,2021,https://cdn.myanimelist.net/images/manga/1/274479l.jpg
10,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,Medaka Kuroiwa Is Impervious to My Charms,黒岩メダカに私の可愛いが通じない,Manga,44364,7.1,2021,https://cdn.myanimelist.net/images/manga/2/249234l.jpg
11,Return of the Blossoming Blade,Return of the Blossoming Blade,화산귀환,Manhwa,43665,8.47,2021,https://cdn.myanimelist.net/images/manga/2/275074l.jpg
12,Doom Breaker,Doom Breaker,투신전생기,Manhwa,38146,7.93,2021,https://cdn.myanimelist.net/images/manga/3/261091l.jpg
13,Aishiteru Game wo Owarasetai,I Want to End This Love Game,愛してるゲームを終わらせたい,Manga,37555,8.05,2021,https://cdn.myanimelist.net/images/manga/1/258341l.jpg
14,Ayashimon,Ayashimon,アヤシモン,Manga,37288,6.56,2021,https://cdn.myanimelist.net/images/manga/1/256654l.jpg
15,Wind Breaker,Wind Breaker,WIND BREAKER,Manga,35208,8.1,2021,https://cdn.myanimelist.net/images/manga/1/244074l.jpg
16,The Return of the Disaster-Class Hero,The Return of the Disaster-Class Hero,재앙급 영웅님이 귀환하셨다,Manhwa,33830,7.35,2021,https://cdn.myanimelist.net/images/manga/1/265183l.jpg
17,Seihantai na Kimi to Boku,You and I Are Polar Opposites,正反対な君と僕,Manga,33040,8.0,2021,https://cdn.myanimelist.net/images/manga/1/263980l.jpg
18,The Lazy Lord Masters the Sword,The Lazy Lord Masters the Sword,"나태 공자, 노력 천재 되다",Manhwa,29616,7.67,2021,https://cdn.myanimelist.net/images/manga/2/260662l.jpg
19,Sentai Daishikkaku,Go! Go! Loser Ranger!,戦隊大失格,Manga,28845,7.4,2021,https://cdn.myanimelist.net/images/manga/2/243305l.jpg
20,The Player Who Can't Level Up,The Player Who Can't Level Up,레벨업 못하는 플레이어,Manhwa,28723,7.1,2021,https://cdn.myanimelist.net/images/manga/3/262642l.jpg
21,Hirayasumi,Hirayasumi,ひらやすみ,Manga,27357,8.58,2021,https://cdn.myanimelist.net/images/manga/2/249992l.jpg
22,Yomi no Tsugai,Daemons of the Shadow Realm,黄泉のツガイ,Manga,26641,7.69,2021,https://cdn.myanimelist.net/images/manga/2/262130l.jpg
23,Level Up with the Gods,Level Up with the Gods,신과 함께 레벨업,Manhwa,26452,7.65,2021,https://cdn.myanimelist.net/images/manga/2/308830l.jpg
24,Nan Hao Shang Feng,,南号尚风,Manhua,26188,8.56,2021,https://cdn.myanimelist.net/images/manga/1/254654l.jpg
25,Amagami-san Chi no Enmusubi,Tying the Knot with an Amagami Sister,甘神さんちの縁結び,Manga,25867,7.62,2021,https://cdn.myanimelist.net/images/manga/2/247864l.jpg
26,Witch Watch,Witch Watch,ウィッチウォッチ,Manga,25589,7.11,2021,https://cdn.myanimelist.net/images/manga/3/245786l.jpg
27,I Shall Master This Family,I Shall Master This Family,이번 생은 가주가 되겠습니다,Manhwa,25113,8.33,2021,https://cdn.myanimelist.net/images/manga/3/274102l.jpg
28,Return of the Mad Demon,Return of the Mad Demon,광마회귀,Manhwa,24777,7.93,2021,https://cdn.myanimelist.net/images/manga/2/323043l.jpg
29,After God,After God,アフターゴッド,Manga,24627,7.74,2021,https://cdn.myanimelist.net/images/manga/1/255516l.jpg
30,Megami no Café Terrace,The Café Terrace and Its Goddesses,女神のカフェテラス,Manga,24164,7.57,2021,https://cdn.myanimelist.net/images/manga/1/244571l.jpg
31,The Return of the 8th Class Mage,The Return of the 8th Class Mage,8클래스 마법사의 회귀,Manhwa,24021,7.41,2021,https://cdn.myanimelist.net/images/manga/3/292582l.jpg
32,Tian Guan Cifu,Heaven Official's Blessing: Tian Guan Ci Fu,天官赐福,Novel,23337,9.02,2021,https://cdn.myanimelist.net/images/manga/3/258775l.jpg
33,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,Alya Sometimes Hides Her Feelings in Russian,時々ボソッとロシア語でデレる隣のアーリャさん,Light Novel,22136,8.13,2021,https://cdn.myanimelist.net/images/manga/3/241840l.jpg
34,Exorcist wo Otosenai,Make the Exorcist Fall in Love,エクソシストを堕とせない,Manga,21833,7.89,2021,https://cdn.myanimelist.net/images/manga/3/259197l.jpg
35,How to Use a Returner,How to Use a Returner,회귀자 사용설명서,Manhwa,21825,7.57,2021,https://cdn.myanimelist.net/images/manga/2/261325l.jpg
36,How to Win My Husband Over,How to Win My Husband Over,남편을 내 편으로 만드는 방법,Manhwa,21370,8.27,2021,https://cdn.myanimelist.net/images/manga/2/283080l.jpg
37,Red Hood,The Hunters Guild: Red Hood,レッドフード,Manga,21365,6.41,2021,https://cdn.myanimelist.net/images/manga/1/251919l.jpg
38,Shotgun Boy,Shotgun Boy,엽총소년,Manhwa,20884,7.66,2021,https://cdn.myanimelist.net/images/manga/2/260422l.jpg
39,"66,666 Years: Advent of the Dark Mage","66,666 Years: Advent of the Dark Mage",66666년 만에 환생한 흑마법사,Manhwa,20861,7.24,2021,https://cdn.myanimelist.net/images/manga/2/261306l.jpg
40,The Frozen Player Returns,The Frozen Player Returns,얼어붙은 플레이어의 귀환,Manhwa,20792,7.21,2021,https://cdn.myanimelist.net/images/manga/2/262892l.jpg
41,Webtoon Character Na Kang Lim,,수요웹툰의 나강림,Manhwa,20598,8.53,2021,https://cdn.myanimelist.net/images/manga/1/292948l.jpg
42,Otaku ni Yasashii Gal wa Inai!?,Gals Can't Be Kind to Otaku!?,オタクに優しいギャルはいない!?,Manga,20564,7.76,2021,https://cdn.myanimelist.net/images/manga/2/257957l.jpg
43,"Mikadono Sanshimai wa Angai, Choroi.",Dealing with Mikadono Sisters Is a Breeze,帝乃三姉妹は案外、チョロい。,Manga,20519,7.83,2021,https://cdn.myanimelist.net/images/manga/1/256637l.jpg
44,Unmei no Hito ni Deau Hanashi,How I Met My Soulmate,運命の人に出会う話,Manga,20194,8.02,2021,https://cdn.myanimelist.net/images/manga/2/254308l.jpg
45,"Megane, Tokidoki, Yankee-kun",Glasses with a Chance of Delinquent,メガネ、時々、ヤンキーくん,Manga,19462,7.63,2021,https://cdn.myanimelist.net/images/manga/2/246371l.jpg
46,Jirai nan desu ka? Chihara-san,"Are You a Landmine, Chihara-san?",地雷なんですか?地原さん,Manga,19447,7.19,2021,https://cdn.myanimelist.net/images/manga/3/264972l.jpg
47,Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.,I Got Married to the Girl I Hate Most in Class,クラスの大嫌いな女子と結婚することになった。,Manga,19346,7.15,2021,https://cdn.myanimelist.net/images/manga/1/253679l.jpg
