rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Mirai Shounen Conan,Future Boy Conan,未来少年コナン,TV,57407,8.1,1978,https://cdn.myanimelist.net/images/anime/6/17529.jpg
2,Ginga Tetsudou 999,Galaxy Express 999,銀河鉄道９９９,TV,45153,7.76,1978,https://cdn.myanimelist.net/images/anime/1685/104554.jpg
3,Uchuu Kaizoku Captain Herlock,Space Pirate Captain Harlock,宇宙海賊・キャプテンハーロック,TV,43039,7.68,1978,https://cdn.myanimelist.net/images/anime/1362/90305.jpg
4,Takarajima,Treasure Island,宝島,TV,24690,7.94,1978,https://cdn.myanimelist.net/images/anime/11/56123.jpg
5,Chirin no Suzu,Ringing Bell,チリンの鈴,Movie,16234,7.15,1978,https://cdn.myanimelist.net/images/anime/11/80079.jpg
8,Haikara-san ga Tooru,Smart-san,はいからさんが通る,TV,8531,7.18,1978,https://cdn.myanimelist.net/images/anime/1235/128007.jpg
9,Perrine Monogatari,Perrine Monogatari,ペリーヌ物語,TV,7339,7.56,1978,https://cdn.myanimelist.net/images/anime/1206/137104.jpg
10,Toushou Daimos,Daimos,闘将ダイモス,TV,7154,7.19,1978,https://cdn.myanimelist.net/images/anime/11/79101.jpg
12,Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,Space Pirate Captain Harlock: Riddle of the Arcadia Episode,宇宙海賊キャプテン・ハーロック　アルカディア号の謎,Movie,6495,6.9,1978,https://cdn.myanimelist.net/images/anime/5/56071.jpg
13,Captain Future,Captain Future,キャプテンフューチャー,TV,6072,7.13,1978,https://cdn.myanimelist.net/images/anime/10/87992.jpg
15,Muteki Koujin Daitarn 3,Muteki Koujin Daitarn 3,無敵鋼人ダイターン３,TV,4786,7.11,1978,https://cdn.myanimelist.net/images/anime/1975/93952.jpg
16,Shin Ace wo Nerae!,Shin Aim for the Ace!,新・エースをねらえ!,TV,4064,6.78,1978,https://cdn.myanimelist.net/images/anime/13/23161.jpg
17,SF Saiyuuki Starzinger,Spaceketeers,ＳＦ西遊記 スタージンガー,TV,3576,6.94,1978,https://cdn.myanimelist.net/images/anime/8/45698.jpg
21,Hoshi no Oujisama Petit Prince,The Adventures of the Little Prince,星の王子さま　プチ・プランス,TV,2906,6.79,1978,https://cdn.myanimelist.net/images/anime/2/36539.jpg
22,100-man-nen Chikyuu no Tabi: Bander Book,One-Million Year Trip: Bander Book,100万年地球の旅 バンダーブック,TV Special,2582,6.02,1978,https://cdn.myanimelist.net/images/anime/1392/147715.jpg
23,Kagaku Ninja-tai Gatchaman (Movie),Kagaku Ninja-tai Gatchaman (Movie),科学忍者隊 ガッチャマン,Movie,2114,6.15,1978,https://cdn.myanimelist.net/images/anime/4/4830.jpg
24,Yakyuukyou no Uta,Yakyuukyou no Uta,野球狂の詩,TV,2034,6.58,1978,https://cdn.myanimelist.net/images/anime/1998/138510.jpg
25,Joou Heika no Petite Angie,Angie Girl,女王陛下のプティアンジェ,TV,2031,6.43,1978,https://cdn.myanimelist.net/images/anime/2/5634.jpg
26,Majokko Tickle,Majokko Tickle,魔女っ子チックル,TV,1906,6.48,1978,https://cdn.myanimelist.net/images/anime/1351/154832.jpg
27,Uchuu Majin Daikengou,Uchuu Majin Daikengou,宇宙魔神ダイケンゴー,TV,1810,5.84,1978,https://cdn.myanimelist.net/images/anime/3/78264.jpg
28,Sekai Meisaku Douwa: Oyayubi Hime,World's Famous Stories for Children: Thumb Princess,世界名作童話 おやゆび姫,Movie,1533,5.95,1978,https://cdn.myanimelist.net/images/anime/1007/151515.jpg
29,Daisetsusan no Yuusha Kibaou,King Fang,大雪山の勇者 牙王,Special,1368,6.68,1978,https://cdn.myanimelist.net/images/anime/1953/145139.jpg
30,Pika Don,Pika Don,ピカドン,Movie,1303,6.35,1978,https://cdn.myanimelist.net/images/anime/7/16657.jpg
33,Ikkyuu-san (1978),Ikkyuu-san (1978),一球さん,TV,1032,6.27,1978,https://cdn.myanimelist.net/images/anime/11/53191.jpg
34,Manga Hajimete Monogatari,Manga Hajimete Monogatari,まんがはじめて物語,TV,910,6.19,1978,https://cdn.myanimelist.net/images/anime/1791/124109.jpg
35,Pink Lady Monogatari: Eikou no Tenshi-tachi,Pink Lady Monogatari: Eikou no Tenshi-tachi,ピンク・レディー物語 栄光の天使たち,TV,821,,1978,https://cdn.myanimelist.net/images/anime/6/46585.jpg
36,Machi Ichiban no Kechinbou,The Stingiest Man in Town,町一番のけちんぼう,TV Special,800,5.72,1978,https://cdn.myanimelist.net/images/anime/1535/147322.jpg
37,77Danui Bimil,77Danui Bimil,77단의 비밀,Movie,787,4.7,1978,https://cdn.myanimelist.net/images/anime/1938/112796.jpg
38,Hwanggeum Nalgae 1.2.3.,Goldwing,황금날개 1.2.3.,Movie,672,5.02,1978,https://cdn.myanimelist.net/images/anime/1797/112794.jpg
39,Manga Kodomo Bunko,Manga Kodomo Bunko,まんがこども文庫,TV,642,,1978,https://cdn.myanimelist.net/images/anime/6/53841.jpg
40,Motion Lumine,Motion Lumine,モーション・ルミネ,Movie,639,4.32,1978,https://cdn.myanimelist.net/images/anime/9/72634.jpg
41,Yuki no Hi no Tayori,Yuki no Hi no Tayori,雪の日のたより,Music,628,5.24,1978,https://cdn.myanimelist.net/images/anime/6/72056.jpg
43,Narara Wonder Gongju,Narara Wonder Gongju,날아라원더공주,Movie,522,,1978,https://cdn.myanimelist.net/images/anime/1009/147645.jpg
44,Yuki no Joou,The Snow Queen,雪の女王,Movie,510,5.74,1978,https://cdn.myanimelist.net/images/anime/8/84376.jpg
46,Kagee Aesop Monogatari,Kagee Aesop Monogatari,影絵イソップ物語,TV,434,,1978,https://cdn.myanimelist.net/images/anime/9/70975.jpg
47,Daruma-san ga Koronda,Daruma-san ga Koronda,だるまさんがころんだ,Music,416,5.15,1978,https://cdn.myanimelist.net/images/anime/1067/98910.jpg
48,Son O-gong gwa Byeoldeul-ui Jeonjaeng,Son O-gong gwa Byeoldeul-ui Jeonjaeng,손오공과 별들의 전쟁,Movie,415,,1978,https://cdn.myanimelist.net/images/anime/5/45154.jpg
