rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Kanashimi no Belladonna,Belladonna of Sadness,哀しみのベラドンナ,Movie,59980,7.2,1973,https://cdn.myanimelist.net/images/anime/11/24740.jpg
2,Doraemon,Doraemon,ドラえもん,TV,22159,7.41,1973,https://cdn.myanimelist.net/images/anime/1236/154852.jpg
3,Mazinger Z,Mazinger Z,マジンガーＺ,TV,20405,7.28,1973,https://cdn.myanimelist.net/images/anime/1485/144735.jpg
4,Cutie Honey,Cutie Honey,キューティーハニー,TV,19650,6.42,1973,https://cdn.myanimelist.net/images/anime/13/55427.jpg
5,Ace wo Nerae!,Aim for the Ace!,エースをねらえ!,TV,16206,7.11,1973,https://cdn.myanimelist.net/images/anime/1414/91264.jpg
6,Shinzou Ningen Casshern,Neo Human Casshan,新造人間キャシャーン,TV,7679,6.68,1973,https://cdn.myanimelist.net/images/anime/1227/144814.jpg
8,Dororon Enma-kun,Dororon Enma-kun,ドロロンえん魔くん,TV,5038,6.29,1973,https://cdn.myanimelist.net/images/anime/9/28204.jpg
9,Babel Nisei,Babel II,バビル２世,TV,2753,6.23,1973,https://cdn.myanimelist.net/images/anime/5/64319.jpg
10,Karate Baka Ichidai,Karate Master,空手バカ一代,TV,2350,6.63,1973,https://cdn.myanimelist.net/images/anime/12/59007.jpg
11,Yama Nezumi Rocky Chuck,Fables of the Green Forest,山ねずみ ロッキーチャック,TV,2184,6.19,1973,https://cdn.myanimelist.net/images/anime/2/56399.jpg
12,Samurai Giants,Samurai Giants,侍ジャイアンツ,TV,2096,6.41,1973,https://cdn.myanimelist.net/images/anime/11/27421.jpg
13,Kerokko Demetan,Adventures On Rainbow Pond,けろっこデメタン,TV,2036,6.14,1973,https://cdn.myanimelist.net/images/anime/1807/108565.jpg
14,Kouya no Shounen Isamu,Kouya no Shounen Isamu,荒野の少年イサム,TV,1800,6.35,1973,https://cdn.myanimelist.net/images/anime/11/54387.jpg
15,Zero Tester,Zero Tester,ゼロテスター,TV,1583,6.07,1973,https://cdn.myanimelist.net/images/anime/1296/96987.jpg
16,Wansa-kun,Little Wansa,ワンサくん,TV,1533,5.91,1973,https://cdn.myanimelist.net/images/anime/9/56761.jpg
17,Tabi,Tabi,旅,Movie,1515,5.46,1973,https://cdn.myanimelist.net/images/anime/2/81224.jpg
18,Oh Yoko!,Oh Yoko!,オー・ヨーコ！,Music,1390,4.45,1973,https://cdn.myanimelist.net/images/anime/1437/135389.jpg
19,Miracle Shoujo Limit-chan,Miracle Shoujo Limit-chan,ミラクル少女リミットちゃん,TV,1196,5.8,1973,https://cdn.myanimelist.net/images/anime/2/17491.jpg
20,Panda no Daibouken,Panda no Daibouken,パンダの大冒険,Movie,1045,5.97,1973,https://cdn.myanimelist.net/images/anime/1169/112826.jpg
21,Microid S,Microid S,ミクロイドＳ,TV,1010,6.0,1973,https://cdn.myanimelist.net/images/anime/1167/151998.jpg
22,Nanmu Ichibyousokusai,Praise be to Small Ills,南無一病息災,Movie,931,5.55,1973,https://cdn.myanimelist.net/images/anime/5/7481.jpg
23,Jungle Kurobee,Jungle Kurobee,ジャングル黒べえ,TV,788,5.9,1973,https://cdn.myanimelist.net/images/anime/1181/117028.jpg
24,Bouken Korobokkuru,Bouken Korobokkuru,冒険コロボックル,TV,731,5.88,1973,https://cdn.myanimelist.net/images/anime/1799/148683.jpg
25,Tabi wa Michizure Yo wa Nasake,Tabi wa Michizure Yo wa Nasake,旅は道連れ世は情,Movie,448,5.1,1973,https://cdn.myanimelist.net/images/anime/8/71586.jpg
26,Housenka (1973),Fairy Flower,逢仙花,Movie,345,,1973,https://cdn.myanimelist.net/images/anime/1972/115759.jpg
27,Fushigi Naido,Fushigi Naido,ふしぎないど,Movie,317,,1973,https://cdn.myanimelist.net/images/anime/9/83433.jpg
28,Saraba Jamaica,Saraba Jamaica,さらばジャマイカ,Music,317,5.09,1973,https://cdn.myanimelist.net/images/anime/12/86035.jpg
29,Machibouke,Machibouke,待ちぼうけ,Music,303,5.17,1973,https://cdn.myanimelist.net/images/anime/3/89036.jpg
30,Sansuu Chachacha,Sansuu Chachacha,算数チャチャチャ,Music,302,5.13,1973,https://cdn.myanimelist.net/images/anime/1041/137078.jpg
31,Sasurai no Violin,Sasurai no Violin,さすらいのバイオリン,Music,282,5.3,1973,https://cdn.myanimelist.net/images/anime/1987/93650.jpg
32,Ookina Furudokei (1973),Ookina Furudokei (1973),大きな古時計,Music,254,5.3,1973,https://cdn.myanimelist.net/images/anime/1531/109919.jpg
33,U.F.O,U.F.O,U.F.O,Movie,219,,1973,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
34,Jidousha ni Natta Kame no Uta,Jidousha ni Natta Kame no Uta,自動車になったカメの歌,Music,179,,1973,https://cdn.myanimelist.net/images/anime/1872/131696.jpg
35,Tonbo ni Natta Yat-chan,Tonbo ni Natta Yat-chan,トンボになったヤッちゃん,Movie,176,,1973,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
36,Two-chan to Issho ni Miyou,Two-chan to Issho ni Miyou,ツーちゃんといっしょに見よう,Movie,168,,1973,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
37,Dong Hai Xiao Shao Bing,Dong Hai Xiao Shao Bing,东海小哨兵,Movie,127,,1973,https://cdn.myanimelist.net/images/anime/1441/118156.jpg
38,Bu Cha Ban Fen Hao,Bu Cha Ban Fen Hao,不差半分毫,Movie,124,,1973,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
39,Xiao Hao Shou,Xiao Hao Shou,小号手,Movie,120,,1973,https://cdn.myanimelist.net/images/anime/1284/118157.jpg
40,Chikyuu wo Nana-kai Han Maware,Chikyuu wo Nana-kai Han Maware,地球を七回半まわれ,Music,105,,1973,https://cdn.myanimelist.net/images/anime/1584/139741.jpg
41,Leron Leron Sinta (1973),Leron Leron Sinta (1973),レロンレロンシンタ,Music,103,,1973,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
42,Hi Hai Ho,Hi Hai Ho,ヒーハイホー,Music,101,,1973,https://cdn.myanimelist.net/images/anime/1067/147482.jpg
43,Papa to Arukou,Papa to Arukou,パパと歩こう,Music,96,,1973,https://cdn.myanimelist.net/img/sp/icon/apple-touch-icon-256.png
