rank,title,title_english,title_japanese,type,members,score,year
2,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,るろうに剣心 -明治剣客浪漫譚-,TV,514564,8.28,1996
3,Meitantei Conan,Case Closed,名探偵コナン,TV,367321,8.18,1996
4,Tenkuu no Escaflowne,The Vision of Escaflowne,天空のエスカフローネ,TV,170738,7.65,1996
7,Kodomo no Omocha (TV),Kodocha,こどものおもちゃ,TV,74897,8.05,1996
10,Hana yori Dango,Hana Yori Dango,花より男子,TV,65321,7.57,1996
11,Kidou Senkan Nadesico,Martian Successor Nadesico,機動戦艦ナデシコ,TV,57960,7.49,1996
12,Angel Densetsu,Angel Densetsu,エンジェル伝説,OVA,46140,7.47,1996
13,X/1999,X - The Movie,"エックス, X/1999",Movie,41979,6.56,1996
14,Taiho Shichau zo (TV),You're Under Arrest (1996),逮捕しちゃうぞ (1996),TV,40757,7.54,1996
15,Kidou Shinseiki Gundam X,After War Gundam X,機動新世紀ガンダムX,TV,38962,7.34,1996
16,Akachan to Boku,Baby and Me,赤ちゃんと僕,TV,37115,7.82,1996
17,Saber Marionette J,Saber Marionette J,セイバーマリオネットJ,TV,35627,7.33,1996
18,Tetsuwan Birdy,Birdy the Mighty,鉄腕バーディー,OVA,34319,7.06,1996
19,Elf wo Karu Mono-tachi,Those Who Hunt Elves,エルフを狩るモノたち,TV,29198,6.96,1996
20,Tenchi Muyou! in Love,Tenchi Muyo! In Love,天地無用! in Love,Movie,25572,7.4,1996
21,Fushigi Yuugi OVA,Mysterious Play OVA,ふしぎ遊戯,OVA,24297,7.12,1996
22,Jigoku Sensei Nube,Hell Teacher Nube,地獄先生ぬ～べ～,TV,23562,7.53,1996
23,Ie Naki Ko Remy,Sans Famille,家なき子レミ,TV,23229,7.9,1996
24,Slayers Return,Slayers Return,スレイヤーズRETURN,Movie,22250,7.29,1996
25,Sonic★the★Hedgehog,Sonic the Hedgehog: The Movie,ソニック★ザ★ヘッジホッグ,OVA,21635,6.94,1996
26,Slayers Specials,Slayers: The Book of Spells,スレイヤーズすぺしゃる,OVA,21213,7.32,1996
27,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,こちら葛飾区亀有公園前派出所 (1996),TV,20936,7.78,1996
28,Byston Well Monogatari: Garzey no Tsubasa,Garzey's Wing,バイストン・ウェル物語 ガーゼィの翼,OVA,17710,4.12,1996
29,Armitage III: Poly-Matrix,Armitage III: Poly-Matrix,アミテージ・ザ・サード POLY-MATRIX,Movie,16957,7.05,1996
30,Shamanic Princess,Shamanic Princess,シャーマニックプリンセス,OVA,15869,6.61,1996
31,Black Jack the Movie,Black Jack: The Movie,ブラック･ジャック 劇場版,Movie,14846,7.33,1996
32,Fire Emblem,Fire Emblem,ファイアーエムブレム 紋章の謎,OVA,14807,5.64,1996
33,Kaiketsu Zorro,The Magnificent Zorro,快傑ゾロ,TV,13315,7.26,1996
34,Kakugo no Susume,Apocalypse Zero,覚悟のススメ,OVA,13147,4.82,1996
35,B'T X,B'T X,B`T X　ビート・エックス,TV,13098,7.02,1996
36,Burn Up! W,Burn-Up W: On the Case & In your Face,バーンナップW,OVA,12932,6.35,1996
37,Lupin III: Dead or Alive,Lupin III: Dead or Alive,ルパン三世 DEAD OR ALIVE,Movie,12638,7.1,1996
38,Bakusou Kyoudai Let's & Go,Bakusou Kyoudai Let's & Go,爆走兄弟レッツ＆ゴー!!,TV,12407,6.87,1996
39,Mahoutsukai Tai!,Magic User's Club OVA,魔法使いTai!,OVA,11909,7.02,1996
40,Shin Kidou Senki Gundam Wing: Operation Meteor,Mobile Suit Gundam Wing: Operation Meteor,新機動戦記ガンダムＷ オペレーション・メテオ ODD＆EVEN NUMBERS,OVA,11688,7.36,1996
41,Bronze: Zetsuai Since 1989,Bronze: Zetsuai Since 1989,BRONZE zetsuai since 1989,OVA,11540,6.32,1996
42,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,美少女戦士セーラームーン セーラースターズ ヒーロークラブ,OVA,11427,7.28,1996
43,Ihatov Gensou: Kenji no Haru,Spring and Chaos,イーハトーブ幻想 Kenjiの春,Movie,10384,7.18,1996
44,"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari","Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",新きまぐれオレンジ☆ロード ～ そして、あの夏のはじまり,Movie,9919,7.34,1996
45,Doraemon Movie 17: Nobita to Ginga Express,Doraemon the Movie: Nobita and the Galaxy Super-express,映画 ドラえもん のび太と銀河超特急[エクスプレス],Movie,9742,7.31,1996
46,Crayon Shin-chan Movie 04: Henderland no Daibouken,Crayon Shin-chan Movie 04: Henderland no Daibouken,クレヨンしんちゃん ヘンダーランドの大冒険,Movie,9717,7.34,1996
47,Soukihei MD Geist 2: Death Force,M.D. Geist: Death Force,装鬼兵MDガイスト ~デスフォース~,OVA,9439,5.03,1996
48,City Hunter: The Secret Service,City Hunter: The Secret Service,シティーハンタースペシャル ザ・シークレット・サービス,TV Special,9416,7.41,1996
49,Mahou Shoujo Pretty Sammy (1996),Magical Project S,魔法少女プリティサミー(1996),TV,9160,6.72,1996
50,Kimera,Kimera,祈明羅,OVA,9114,5.13,1996
