rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Urusei Yatsura,Lum*Urusei Yatsura,うる星やつら,Manga,15176,7.78,1978,https://cdn.myanimelist.net/images/manga/2/263150l.jpg
2,Claudine...!,Claudine,クローディーヌ…！,Manga,7569,7.3,1978,https://cdn.myanimelist.net/images/manga/1/10464l.jpg
3,Toriyama Akira ○-saku Gekijou,Akira Toriyama's Manga Theater,鳥山明○作劇場,Manga,4037,6.94,1978,https://cdn.myanimelist.net/images/manga/5/252072l.jpg
4,Cobra,Cobra,コブラ,Manga,3042,7.45,1978,https://cdn.myanimelist.net/images/manga/2/256000l.jpg
5,Hanzou no Mon,Path of the Assassin,半蔵の門,Manga,2779,7.34,1978,https://cdn.myanimelist.net/images/manga/2/180599l.jpg
6,Queen Emeraldas,Queen Emeraldas,クィーン・エメラルダス,Manga,2114,7.12,1978,https://cdn.myanimelist.net/images/manga/5/315428l.jpg
7,Rumic World,Rumic World Trilogy,るーみっくわーるど,Manga,1918,7.11,1978,https://cdn.myanimelist.net/images/manga/3/14540l.jpg
8,Nine,,ナイン,Manga,1543,7.0,1978,https://cdn.myanimelist.net/images/manga/1/180681l.jpg
9,Pygmalio,,ピグマリオ,Manga,1370,7.35,1978,https://cdn.myanimelist.net/images/manga/2/189390l.jpg
10,Wata no Kuni Hoshi,,綿の国星,Manga,1200,7.16,1978,https://cdn.myanimelist.net/images/manga/2/95605l.jpg
11,High Teen Boogie,,ハイティーン・ブギ,Manga,877,,1978,https://cdn.myanimelist.net/images/manga/1/246771l.jpg
12,Kuro no Shishi,,黒の獅士,Manga,712,6.54,1978,https://cdn.myanimelist.net/images/manga/3/74777l.jpg
13,California Monogatari,,カリフォルニア物語,Manga,674,7.18,1978,https://cdn.myanimelist.net/images/manga/3/253550l.jpg
14,Dirty Pair,The Great Adventure of the Dirty Pair,ダーティペア,Light Novel,665,,1978,https://cdn.myanimelist.net/images/manga/2/290250l.jpg
15,Asari-chan,,あさりちゃん,Manga,510,7.14,1978,https://cdn.myanimelist.net/images/manga/2/24265l.jpg
16,Star Red,Star Red,スター・レッド,Manga,433,,1978,https://cdn.myanimelist.net/images/manga/2/57221l.jpg
17,Shumari,,シュマリ,Manga,412,,1978,https://cdn.myanimelist.net/images/manga/2/36219l.jpg
18,Miraijin Chaos,,未来人カオス,Manga,390,,1978,https://cdn.myanimelist.net/images/manga/2/36204l.jpg
19,Jarinko Chie,,じゃりン子チエ,Manga,342,,1978,https://cdn.myanimelist.net/images/manga/2/180242l.jpg
20,5001-nen Yakuza Wars,,5001年ヤクザウォーズ,Manga,294,6.13,1978,https://cdn.myanimelist.net/images/manga/3/189673l.jpg
21,Wani Bunsho,,ワニ分署,Manga,289,,1978,https://cdn.myanimelist.net/images/manga/1/182222l.jpg
22,Time Patrol Bon,,T・P〈タイムパトロール〉ぼん,Manga,263,,1978,https://cdn.myanimelist.net/images/manga/1/289845l.jpg
23,Torajima no Miime,,トラジマのミーめ,Manga,250,,1978,https://cdn.myanimelist.net/images/manga/3/63875l.jpg
24,Kusakanmori no Hime,Grass Crown Princess,草冠の姫,Manga,241,,1978,https://cdn.myanimelist.net/images/manga/2/62145l.jpg
25,Golden Lilac,Golden Lilac,ゴールデンライラック,Manga,232,,1978,https://cdn.myanimelist.net/images/manga/3/262185l.jpg
26,Kei no Seishun,,ケイの凄春,Manga,225,,1978,https://cdn.myanimelist.net/images/manga/2/166005l.jpg
27,Ai no Aranjuez,,愛のアランフェス,Manga,217,,1978,https://cdn.myanimelist.net/images/manga/2/265288l.jpg
28,Nijitte Monogatari,,弐十手物語,Manga,215,,1978,https://cdn.myanimelist.net/images/manga/2/205887l.jpg
29,Astekaizer,,アステカイザー,Manga,198,,1978,https://cdn.myanimelist.net/images/manga/3/169922l.jpg
29,Es no Kaihou,,エスの解放,Manga,198,,1978,https://cdn.myanimelist.net/images/manga/3/291830l.jpg
31,Game Center Arashi,,ゲームセンターあらし,Manga,192,,1978,https://cdn.myanimelist.net/images/manga/5/205245l.jpg
32,Tarao Bannai,The Man With Seven Faces,多羅尾伴内 七つの顔をもつ男,Manga,155,,1978,https://cdn.myanimelist.net/images/manga/1/43967l.jpg
33,Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,,さらば宇宙戦艦ヤマト―愛の戦士たち,Manga,147,,1978,https://cdn.myanimelist.net/images/manga/2/61017l.jpg
34,Popolocrois Monogatari,Popolocrois Story,ポポロクロイス物語,Manga,133,,1978,https://cdn.myanimelist.net/images/manga/1/172349l.jpg
35,Shin Karate Jigoku-hen,,新・カラテ地獄変,Manga,131,,1978,https://cdn.myanimelist.net/images/manga/2/161170l.jpg
36,1 2 no Sanshirou,,1・2の三四郎,Manga,130,,1978,https://cdn.myanimelist.net/images/manga/3/241369l.jpg
36,Supeope Chuugaku,Space Opera Chugaku,スペオペ宙学,Manga,130,,1978,https://cdn.myanimelist.net/images/manga/1/268813l.jpg
38,Fostine,,フォスティーヌ,Manga,125,,1978,https://cdn.myanimelist.net/images/manga/2/21058l.jpg
39,Phantom Burai,,ファントム無頼,Manga,123,,1978,https://cdn.myanimelist.net/images/manga/2/114959l.jpg
40,Harpy,,ハーピー,Manga,119,,1978,https://cdn.myanimelist.net/images/manga/1/294296l.jpg
