rank,title,title_english,title_japanese,type,members,score,year
1,Bishoujo Senshi Sailor Moon S,Sailor Moon S,美少女戦士セーラームーン S,TV,154565,7.9,1994
2,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,Dragon Ball Z: Broly - Second Coming,ドラゴンボールZ 危険なふたり!超戦士はねむれない,Movie,140906,6.76,1994
3,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,Dragon Ball Z: Bio-Broly,ドラゴンボールZ 超戦士撃破!!勝のはオレだ,Movie,131154,5.76,1994
4,Heisei Tanuki Gassen Ponpoko,Pom Poko,平成狸合戦ぽんぽこ,Movie,116427,7.29,1994
5,Magic Knight Rayearth,Magic Knight Rayearth,魔法騎士（マジックナイト）レイアース,TV,75759,7.45,1994
6,Kidou Butouden G Gundam,Mobile Fighter G Gundam,機動武闘伝Gガンダム,TV,73314,7.58,1994
7,Marmalade Boy,Marmalade Boy,ママレード・ボーイ,TV,59258,7.41,1994
8,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Sailor Moon S Movie: Hearts in Ice,美少女戦士セーラームーンS かぐや姫の恋人,Movie,57188,7.69,1994
9,Macross Plus,Macross Plus,マクロスプラス,OVA,52363,7.7,1994
10,Shonan Junai Gumi!,Young GTO,湘南純愛組!,OVA,49033,7.41,1994
11,DNA²,DNA²,Ｄ・Ｎ・Ａ²　～何処かで失くしたあいつのアイツ～,TV,47071,6.62,1994
12,Genocyber,Genocyber,ジェノサイバー,OVA,42582,5.8,1994
13,Street Fighter II Movie,Street Fighter II: The Animated Movie,ストリートファイターII MOVIE,Movie,34566,7.17,1994
14,Macross 7,Macross 7,マクロス７,TV,33760,7.13,1994
15,Taiho Shichau zo,You're Under Arrest,逮捕しちゃうぞ,OVA,33052,7.46,1994
16,Blue Seed,Blue Seed,ブルーシード,TV,32339,6.98,1994
17,Captain Tsubasa J,Captain Tsubasa J,キャプテン翼Ｊ,TV,31529,7.28,1994
18,Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,Yu Yu Hakusho the Movie: Poltergeist Report,幽☆遊☆白書 冥界死闘篇 炎の絆,Movie,31457,7.16,1994
19,Tenchi Muyou! Ryououki 2nd Season,Tenchi Muyo! Ryo-Ohki 2nd Season,天地無用！魎皇鬼,OVA,30218,7.61,1994
20,Iria: Zeiram The Animation,Iria: Zeiram The Animation,イ・リ・ア ゼイラム The Animation,OVA,29483,7.05,1994
21,Key the Metal Idol,Key the Metal Idol,KEY THE METAL IDOL,OVA,27779,6.85,1994
22,Grappler Baki,Grappler Baki,グラップラー刃牙,OVA,23846,6.81,1994
23,Slam Dunk (Movie),Slam Dunk (Movie),スラムダンク,Movie,22519,7.31,1994
24,Ranma ½: Yomigaeru Kioku,Ranma 1/2 Special: Reawakening Memories,らんま1/2 SPECIAL よみがえる記憶,OVA,20939,7.57,1994
25,CLAMP in Wonderland,CLAMP in Wonderland,CLAMP IN WONDERLAND,Music,19018,6.83,1994
26,Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,Slam Dunk: National Domination! Sakuragi Hanamichi,スラムダンク 全国制覇だ！桜木花道,Movie,18984,7.5,1994
27,Boku no Sexual Harassment,My Sexual Harassment,僕のセクシャルハラスメント,OVA,18954,5.59,1994
28,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,Ranma ½: Team Ranma vs. The Legendary Phoenix,らんま１／２ 超無差別決戦！ 乱馬チームVS伝説の鳳凰,Movie,18280,7.34,1994
29,Plastic Little,Plastic Little,プラスチックリトル,OVA,17840,6.12,1994
30,Ginga Sengoku Gunyuuden Rai,Galaxy Warring State Chronicle Rai,銀河戦国群雄伝ライ,TV,17430,7.89,1994
31,Akazukin Chacha,Red Riding Hood Chacha,赤ずきんチャチャ,TV,17340,7.41,1994
32,Final Fantasy,Legend of the Crystals: Final Fantasy,ファイナルファンタジー,OVA,16554,6.06,1994
33,Garou Densetsu: The Motion Picture,Fatal Fury: The Motion Picture,餓狼伝説,Movie,15085,6.56,1994
34,Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,Yuu☆Yuu☆Hakusho: Eizou Hakusho - Ankoku Bujutsukai no Shou,幽☆遊☆白書 映像白書 暗黒武術会の章 上巻 & 下巻,OVA,13969,7.17,1994
35,Kizuna,Kizuna,KIZUNA～絆～,OVA,12253,6.2,1994
36,Shin Cutie Honey,New Cutey Honey,新・キューティーハニー,OVA,12179,6.63,1994
37,Darkside Blues,Darkside Blues,ダークサイド・ブルース,Movie,12140,6,1994
