rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Kagaku Ninja-tai Gatchaman,Gatchaman,科学忍者隊ガッチャマン,TV,11851,6.95,1972,https://cdn.myanimelist.net/images/anime/1542/144150.jpg
2,Panda Kopanda,Panda! Go Panda!,パンダ・コパンダ,Movie,11758,6.73,1972,https://cdn.myanimelist.net/images/anime/1209/90479.jpg
3,Dokonjou Gaeru,Dokonjou Gaeru,ど根性ガエル,TV,2526,6.71,1972,https://cdn.myanimelist.net/images/anime/1637/134645.jpg
4,Seigi wo Aisuru Mono Gekkou Kamen,Seigi wo Aisuru Mono Gekkou Kamen,正義を愛する者、月光仮面,TV,1601,6.62,1972,https://cdn.myanimelist.net/images/anime/3/31675.jpg
5,Muumin (1972),Muumin (1972),ムーミン,TV,3298,6.55,1972,https://cdn.myanimelist.net/images/anime/5/47155.jpg
6,Devilman,Devilman,デビルマン,TV,37730,6.52,1972,https://cdn.myanimelist.net/images/anime/9/72913.jpg
7,Astroganger,Astroganger,アストロガンガー,TV,1946,6.41,1972,https://cdn.myanimelist.net/images/anime/5/57971.jpg
8,Mon Cheri CoCo,My Dear Coco,モンシェリCOCO,TV,1676,6.34,1972,https://cdn.myanimelist.net/images/anime/1852/109506.jpg
9,Umi no Triton,Triton of the Sea,海のトリトン,TV,2985,6.29,1972,https://cdn.myanimelist.net/images/anime/12/85304.jpg
10,Akadou Suzunosuke,Akadou Suzunosuke,赤胴鈴之助,TV,1344,6.18,1972,https://cdn.myanimelist.net/images/anime/9/56397.jpg
11,Nagagutsu Sanjuushi,Return of Pero,ながぐつ三銃士,Movie,1922,6.13,1972,https://cdn.myanimelist.net/images/anime/1420/139201.jpg
12,Oni,Oni,鬼,Movie,2344,6.07,1972,https://cdn.myanimelist.net/images/anime/1790/135914.jpg
13,Mahoutsukai Chappy,Mahoutsukai Chappy,魔法使いチャッピー,TV,1450,6.03,1972,https://cdn.myanimelist.net/images/anime/8/17490.jpg
14,Kashi no Ki Mokku,Kashi no Ki Mokku,樫の木モック,TV,2905,6.0,1972,https://cdn.myanimelist.net/images/anime/1596/135781.jpg
15,Kaiketsu Tamagon,Kaiketsu Tamagon,かいけつタマゴン,TV,602,5.94,1972,https://cdn.myanimelist.net/images/anime/10/51189.jpg
16,Black Cat (Movie),Black Cat (Movie),Black Cat,Movie,520,5.88,1972,https://cdn.myanimelist.net/images/anime/1322/108714.jpg
17,Ikiteirutte Subarashii!,Ikiteirutte Subarashii!,生きているってすばらしい!,Movie,369,5.73,1972,https://cdn.myanimelist.net/images/anime/7/71598.jpg
18,Yuki no Taiyou Pilot,Yuki no Taiyou Pilot,ユキの太陽,Special,4056,5.47,1972,https://cdn.myanimelist.net/images/anime/7/76446.jpg
19,Made in Japan,Made in Japan,MADE IN JAPAN,Movie,576,5.47,1972,https://cdn.myanimelist.net/images/anime/1063/153634.jpg
20,Mochimochi no Ki,The Tree of Courage,モチモチの木,Movie,472,5.42,1972,https://cdn.myanimelist.net/images/anime/6/71634.jpg
21,Koinu no Plue,Koinu no Plue,小犬のプルー,Music,367,5.35,1972,https://cdn.myanimelist.net/images/anime/7/87824.jpg
22,Hoshi to Niji to,Hoshi to Niji to,星と虹と,Music,296,5.31,1972,https://cdn.myanimelist.net/images/anime/11/89914.jpg
23,Maken Liner 0011 Henshin Seyo!,Maken Liner 0011 Henshin Seyo!,魔犬ライナー００１１変身せよ,Movie,1139,5.26,1972,https://cdn.myanimelist.net/images/anime/9/31287.jpg
24,Nihon Mukashibanashi: Saru Kani,Nihon Mukashibanashi: Saru Kani,日本むかしばなし さるかに,Movie,573,5.25,1972,https://cdn.myanimelist.net/images/anime/6/18628.jpg
25,Mori no Kuma-san,Mori no Kuma-san,森の熊さん,Music,375,5.25,1972,https://cdn.myanimelist.net/images/anime/1855/101142.jpg
26,Kiseichuu no Ichiya,The Midnight Parasites,寄生虫の一夜,Movie,3007,5.1,1972,https://cdn.myanimelist.net/images/anime/1265/154242.jpg
27,Chiisai Aki Mitsuketa,Chiisai Aki Mitsuketa,ちいさい秋みつけた,Music,329,5.08,1972,https://cdn.myanimelist.net/images/anime/2/86036.jpg
28,Tanjoubi no Chachacha,Tanjoubi no Chachacha,誕生日のチャチャチャ,Music,294,5.0,1972,https://cdn.myanimelist.net/images/anime/8/89012.jpg
29,Head Spoon,Head Spoon,ヘッド・スプーン,Movie,650,4.58,1972,https://cdn.myanimelist.net/images/anime/13/72630.jpg
30,Kanojo no Dokushinsha-tachi ni Yotte Hadaka ni Sareta Seifuku no Shojo Kenkyuu,The Bride Stripped Bare by Her Bachelors,彼女の独身者たちによって裸にされた性服の処女研究,Movie,1149,3.73,1972,https://cdn.myanimelist.net/images/anime/13/58451.jpg
