rank,title,title_english,title_japanese,type,members,score,year
1,Mushishi,Mushi-Shi,蟲師,TV,875119,8.65,2005
2,Shakugan no Shana,Shakugan no Shana: Season I,灼眼のシャナ,TV,550278,7.44,2005
3,Koukyoushihen Eureka Seven,Eureka Seven,交響詩篇エウレカセブン,TV,450509,8.05,2005
4,Blood+,Blood+,ブラッドプラス,TV,389633,7.61,2005
5,Jigoku Shoujo,Hell Girl,地獄少女,TV,375226,7.6,2005
7,Air,Air,AIR,TV,306794,7.27,2005
8,Shuffle!,Shuffle!,SHUFFLE! (シャッフル!),TV,287173,7,2005
9,Hachimitsu to Clover,Honey and Clover,ハチミツとクローバー,TV,279100,7.98,2005
10,Black Cat,Black Cat,ブラックキャット,TV,278259,7.31,2005
13,Paradise Kiss,Paradise Kiss,Paradise kiss,TV,247057,7.87,2005
14,Tsubasa Chronicle,Tsubasa RESERVoir CHRoNiCLE,ツバサ・クロニクル,TV,236087,7.51,2005
15,Final Fantasy VII: Advent Children,Final Fantasy VII: Advent Children,ファイナルファンタジーVII アドベントチルドレン,Movie,217659,7.71,2005
16,Bokusatsu Tenshi Dokuro-chan,Bludgeoning Angel Dokuro-chan,撲殺天使ドクロちゃん,OVA,211986,6.53,2005
17,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer","Elfen Lied: In the Passing Rain, or, How Can a Girl Have Reached Such Feelings?",エルフェンリート 通り雨にて 或いは、少女はいかにしてその心情に至ったか?（REGENSCHAUER）,Special,199911,7.12,2005
18,Basilisk: Kouga Ninpou Chou,Basilisk,バジリスク 甲賀忍法帖,TV,197917,7.53,2005
19,Trinity Blood,Trinity Blood,トリニティ・ブラッド,TV,193216,7.28,2005
20,Eyeshield 21,Eyeshield 21,アイシールド21,TV,191878,7.91,2005
21,Karin,Karin,かりん,TV,184185,7.1,2005
22,Aria the Animation,Aria the Animation,ARIA The ANIMATION,TV,171838,7.68,2005
23,Aa! Megami-sama! (TV),Ah! My Goddess,ああっ女神さまっ,TV,166180,7.31,2005
24,Mahou Sensei Negima!,Negima!,魔法先生 ネギま！,TV,146077,6.92,2005
25,Loveless,Loveless,LOVELESS,TV,144786,6.71,2005
26,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,Pokémon: Lucario and the Mystery of Mew,ポケットモンスターアドバンスジェネレーション ミュウと波導の勇者　ルカリオ,Movie,123218,7.33,2005
27,Ueki no Housoku,The Law of Ueki,うえきの法則,TV,122757,7.71,2005
28,Ichigo Mashimaro,Strawberry Marshmallow,苺ましまろ,TV,121985,7.62,2005
29,Speed Grapher,Speed Grapher,スピードグラファー,TV,121040,7.29,2005
30,Suzuka,Suzuka,涼風,TV,120785,7.16,2005
31,Ichigo 100%,Strawberry 100%,いちご100%,TV,118994,6.61,2005
32,One Piece Movie 06: Omatsuri Danshaku to Himitsu no Shima,One Piece: Baron Omatsuri and the Secret Island,ワンピース オマツリ男爵と秘密の島,Movie,116682,7.78,2005
33,Peach Girl,Peach Girl: Super Pop Love Hurricane,ピーチガール,TV,110513,6.92,2005
34,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,Akagi,闘牌伝説アカギ　闇に舞い降りた天才,TV,110426,7.92,2005
35,Rozen Maiden: Träumend,Rozen Maiden: Träumend,ローゼンメイデン トロイメント,TV,109010,7.61,2005
36,Erementar Gerad,Elemental Gelade,エレメンタルジェレイド,TV,98869,7.23,2005
37,Girls Bravo: Second Season,Girls Bravo: Second Season,GIRLSブラボー second season,TV,95426,6.59,2005
38,Noein: Mou Hitori no Kimi e,Noein: To Your Other Self,ノエイン もうひとりの君へ,TV,94948,7.55,2005
39,Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!,Naruto: Finally a Clash!! Jounin vs. Genin!,NARUTO ナルティメットヒーロー3 ついに激突! 上忍VS下忍!! 無差別大乱戦大会開催!!,OVA,83911,6.77,2005
40,Gun x Sword,Gun x Sword,ガン×ソード,TV,81813,7.24,2005
41,Sousei no Aquarion,Aquarion,創聖のアクエリオン,TV,80677,7.08,2005
42,Kore ga Watashi no Goshujinsama,He is My Master,これが私の御主人様,TV,79585,6.51,2005
43,Amaenaide yo!!,Ah My Buddha,あまえないでよっ!!,TV,78108,6.42,2005
44,Pale Cocoon,Pale Cocoon,ペイル・コクーン,OVA,72996,7.26,2005
45,xxxHOLiC Movie: Manatsu no Yoru no Yume,xxxHOLiC The Movie: A Midsummer Night's Dream,劇場版　×××HOLiC　真夏ノ夜ノ夢,Movie,69562,7.93,2005
46,Hametsu no Mars,Mars of Destruction,破滅のマルス,OVA,69161,2.23,2005
47,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,68195,7.95,2005
48,Final Fantasy VII: Last Order,Final Fantasy VII: Last Order,ラストオーダー -ファイナルファンタジーVII-,Special,67822,7.28,2005
49,Kamichu!,Kamichu!,かみちゅ!,TV,66948,7.35,2005
50,Paniponi Dash!,Pani Poni Dash!,ぱにぽにだっしゅ！,TV,66403,7.42,2005
