rank,title,title_english,title_japanese,type,members,score,year,image_url
1,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure Part 4: Diamond Is Unbreakable,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,Manga,116269,8.57,1992,https://cdn.myanimelist.net/images/manga/3/269910l.jpg
2,Juuni Kokuki,The Twelve Kingdoms,十二国記,Light Novel,11465,8.42,1992,https://cdn.myanimelist.net/images/manga/3/157938l.jpg
3,Angel Densetsu,,エンジェル伝説,Manga,64874,8.28,1992,https://cdn.myanimelist.net/images/manga/2/164490l.jpg
4,H2,,エイチツー,Manga,13457,8.24,1992,https://cdn.myanimelist.net/images/manga/1/306875l.jpg
5,Zankoku na Kami ga Shihai suru,,残酷な神が支配する,Manga,11955,8.18,1992,https://cdn.myanimelist.net/images/manga/2/155732l.jpg
6,X,X,X,Manga,29671,8.12,1992,https://cdn.myanimelist.net/images/manga/2/267781l.jpg
7,Kindaichi Shounen no Jikenbo: File Series,The Kindaichi Case Files,金田一少年の事件簿,Manga,8223,8.09,1992,https://cdn.myanimelist.net/images/manga/2/84823l.jpg
8,Hana yori Dango,Boys Over Flowers,花より男子,Manga,27726,7.92,1992,https://cdn.myanimelist.net/images/manga/1/27280l.jpg
9,Hakushaku Cain Series,The Cain Saga,伯爵カインシリーズ,Manga,10636,7.87,1992,https://cdn.myanimelist.net/images/manga/1/265861l.jpg
10,Gin to Kin,,銀と金,Manga,3552,7.78,1992,https://cdn.myanimelist.net/images/manga/3/229454l.jpg
11,Kizuna,Kizuna: Bonds of Love,KIZUNA,Manga,2540,7.77,1992,https://cdn.myanimelist.net/images/manga/2/279876l.jpg
12,Jiraishin,Ice Blade,地雷震,Manga,13032,7.72,1992,https://cdn.myanimelist.net/images/manga/1/263862l.jpg
13,Hareluya II: Boy,,HARELUYA II BØY,Manga,4438,7.69,1992,https://cdn.myanimelist.net/images/manga/1/187756l.jpg
14,Nonnonbaa to Ore,NonNonBa,のんのんばあとオレ,Manga,2104,7.68,1992,https://cdn.myanimelist.net/images/manga/1/185712l.jpg
15,Bokkou,,墨攻,Manga,6707,7.67,1992,https://cdn.myanimelist.net/images/manga/2/209464l.jpg
16,Fushigi Yuugi,Fushigi Yugi,ふしぎ遊戯,Manga,25166,7.63,1992,https://cdn.myanimelist.net/images/manga/3/267911l.jpg
17,Marmalade Boy,Marmalade Boy,ママレード・ボーイ,Manga,19473,7.59,1992,https://cdn.myanimelist.net/images/manga/1/262987l.jpg
18,Bronze: Zetsuai Since 1989,,BRONZE zetsuai since 1989,Manga,1865,7.52,1992,https://cdn.myanimelist.net/images/manga/1/1491l.jpg
19,Mahoujin Guruguru,,魔法陣グルグル,Manga,1417,7.48,1992,https://cdn.myanimelist.net/images/manga/2/198207l.jpg
20,Bara no Tame ni,,薔薇のために,Manga,2645,7.47,1992,https://cdn.myanimelist.net/images/manga/2/261035l.jpg
21,Kyuukyoku!! Hentai Kamen,,究極!!変態仮面,Manga,4104,7.39,1992,https://cdn.myanimelist.net/images/manga/1/184929l.jpg
22,Wanted!,Wanted! Eiichiro Oda Before One Piece,WANTED! 尾田栄一郎短編集,Manga,16958,7.31,1992,https://cdn.myanimelist.net/images/manga/1/170782l.jpg
23,Sekai de Ichiban Yasashii Ongaku,,世界でいちばん優しい音楽,Manga,666,7.29,1992,https://cdn.myanimelist.net/images/manga/1/162627l.jpg
24,Gon,Gon,ゴン,Manga,17994,7.26,1992,https://cdn.myanimelist.net/images/manga/1/149260l.jpg
25,Shirahimeshou,Shirahime-Syo: Snow Goddess Tales,白姫抄,Manga,6565,7.2,1992,https://cdn.myanimelist.net/images/manga/2/170989l.jpg
26,Super Mario Adventures: Mario no Daibouken,Super Mario Adventures,Super Mario Adventures マリオの大冒険,Manga,1282,7.18,1992,https://cdn.myanimelist.net/images/manga/5/259668l.jpg
26,Tenma no Ketsuzoku,Crystal Lord Opera,天馬の血族,Manga,657,7.18,1992,https://cdn.myanimelist.net/images/manga/4/342093l.jpg
28,Yakumotatsu,,八雲立つ,Manga,853,7.16,1992,https://cdn.myanimelist.net/images/manga/2/209488l.jpg
29,Buchou Shima Kousaku,,部長 島耕作,Manga,493,7.12,1992,https://cdn.myanimelist.net/images/manga/2/129001l.jpg
30,Shin Vampire Miyu,New Vampire Princess Miyu,新吸血姫 美夕,Manga,1962,7.1,1992,https://cdn.myanimelist.net/images/manga/2/133745l.jpg
31,Ao no Fuuin,Blue Seal,蒼の封印,Manga,2329,7.06,1992,https://cdn.myanimelist.net/images/manga/5/28173l.jpg
32,Jesus,,JESUS ジーザス,Manga,1744,7.03,1992,https://cdn.myanimelist.net/images/manga/1/167926l.jpg
32,Kakan no Madonna,,花冠のマドンナ,Manga,1379,7.03,1992,https://cdn.myanimelist.net/images/manga/2/167983l.jpg
32,So Bad!,,,Manga,1209,7.03,1992,https://cdn.myanimelist.net/images/manga/2/9977l.jpg
35,Arisu ga Fushigi!,,ありすが不思議！,Manga,682,7.01,1992,https://cdn.myanimelist.net/images/manga/3/270928l.jpg
36,Ame ni Niteiru,,雨に似ている,Manga,316,7.0,1992,https://cdn.myanimelist.net/images/manga/3/132555l.jpg
37,Kishin Douji Zenki,,鬼神童子ZENKI,Manga,630,6.92,1992,https://cdn.myanimelist.net/images/manga/3/283938l.jpg
37,Yagyuu Hichou: Kaze no Shou,Samurai Legend,柳生秘帖・風の抄,Manga,1721,6.92,1992,https://cdn.myanimelist.net/images/manga/1/161942l.jpg
39,Neji,Screw,螺子,Manga,3187,6.89,1992,https://cdn.myanimelist.net/images/manga/2/270460l.jpg
39,Zoku Shishunki Miman Okotowari,,続・思春期未満お断り,Manga,716,6.89,1992,https://cdn.myanimelist.net/images/manga/1/199144l.jpg
41,Hareluya,,ハレルヤ,Manga,1796,6.88,1992,https://cdn.myanimelist.net/images/manga/5/10451l.jpg
41,Shin Shunkaden,The Legend of Chun Hyang,新・春香伝,Manga,3953,6.88,1992,https://cdn.myanimelist.net/images/manga/1/272019l.jpg
43,Zelda no Densetsu: Kamigami no Triforce (1992),The Legend of Zelda: A Link to the Past,ゼルだの伝説～神々のトライフォース,Manga,2786,6.86,1992,https://cdn.myanimelist.net/images/manga/2/203671l.jpg
44,Short Program 3,,ショート・プログラム 3 あだち充傑作短編作品集,Manga,1029,6.85,1992,https://cdn.myanimelist.net/images/manga/1/165829l.jpg
45,Dominion C1 Conflict,Dominion Conflict One: No More Noise,ドミニオンC1コンフリクト,Manga,1082,6.84,1992,https://cdn.myanimelist.net/images/manga/2/167653l.jpg
46,Appleseed Hypernotes,Appleseed: Hypernotes,アップルシード総集編,Manga,998,6.83,1992,https://cdn.myanimelist.net/images/manga/2/33297l.jpg
46,Kakusan,A Diffusion Disease,拡散,Manga,3174,6.83,1992,https://cdn.myanimelist.net/images/manga/1/250725l.jpg
48,Clamp Gakuen Tanteidan,Clamp School Detectives,CLAMP学園探偵団,Manga,5973,6.82,1992,https://cdn.myanimelist.net/images/manga/1/260110l.jpg
49,Sareki Oukoku,,砂礫王国,Manga,1706,6.8,1992,https://cdn.myanimelist.net/images/manga/3/271376l.jpg
50,Boku ga Utau to Kimi wa Warau kara,Songs to Make You Smile: Stories from the Creator of Fruits Basket,僕が唄うと君は笑うから,Manga,2257,6.79,1992,https://cdn.myanimelist.net/images/manga/1/270471l.jpg
51,Blaster Knuckle,,ブラス・ナックル,Manga,6381,6.77,1992,https://cdn.myanimelist.net/images/manga/5/30836l.jpg
52,Boku wa Konomama Kaeranai,I Shall Never Return,ぼくはこのまま帰らない,Manga,925,6.71,1992,https://cdn.myanimelist.net/images/manga/3/285516l.jpg
52,Hikyou Tanken Fam & Ihrlie,,秘境探検ファム&イーリー,Manga,606,6.71,1992,https://cdn.myanimelist.net/images/manga/1/87457l.jpg
54,Eden de Aou,,エデンで会おう,Manga,464,6.67,1992,https://cdn.myanimelist.net/images/manga/3/59451l.jpg
55,Lilac Nocturne,,紫丁香夜想曲〈ライラックノクターン〉,Manga,267,6.66,1992,https://cdn.myanimelist.net/images/manga/1/23221l.jpg
56,Ai ga Areba Ii no da,,愛があればいーのだ,Manga,551,6.64,1992,https://cdn.myanimelist.net/images/manga/3/33780l.jpg
57,Ai no Seikatsu,,愛の生活,Manga,639,6.62,1992,https://cdn.myanimelist.net/images/manga/1/175593l.jpg
58,Bio Luminescence,,バイオ・ルミネッセンス,Manga,1278,6.61,1992,https://cdn.myanimelist.net/images/manga/3/164486l.jpg
58,Shiranami no Illusion,,白波の幻想,Manga,319,6.61,1992,https://cdn.myanimelist.net/images/manga/2/175802l.jpg
60,Bruges: Applause,,ブルージュ -アプローズ-,Manga,495,6.6,1992,https://cdn.myanimelist.net/images/manga/5/155230l.jpg
61,Super Family Complex,Super Taboo,SUPERファミリーコンプレックス,Manga,762,6.55,1992,https://cdn.myanimelist.net/images/manga/1/193667l.jpg
62,Choujuu Densetsu Gestalt,Gestalt,超獣伝説ゲシュタルト,Manga,1126,6.51,1992,https://cdn.myanimelist.net/images/manga/2/160948l.jpg
63,Dai Zhan Tian Shi,,代戰天使,Manhua,297,6.49,1992,https://cdn.myanimelist.net/images/manga/1/38836l.jpg
64,Hime tte Yonde ne,Call Me Princess,姫ってよんでねっ,Manga,539,6.48,1992,https://cdn.myanimelist.net/images/manga/4/216293l.jpg
65,Jinbee,,じんべえ,Manga,1802,6.47,1992,https://cdn.myanimelist.net/images/manga/1/3505l.jpg
66,Kaze no Chinkorou,,風のちんころう,Manga,487,6.46,1992,https://cdn.myanimelist.net/images/manga/2/222095l.jpg
67,Kidou Senshi Gundam: Silhouette Formula 91,,機動戦士ガンダム シルエットフォーミュラ91,Manga,749,6.45,1992,https://cdn.myanimelist.net/images/manga/1/2019l.jpg
68,Kirara,Kirara,KIRARA,Manga,2241,6.43,1992,https://cdn.myanimelist.net/images/manga/2/178899l.jpg
69,Gakuen Tokukei Duklyon,Duklyon: CLAMP School Defenders,学園特警デュカリオン,Manga,2901,6.41,1992,https://cdn.myanimelist.net/images/manga/1/260106l.jpg
70,Bokura no Henbyoushi,,僕らの変拍子,Manga,1081,6.36,1992,https://cdn.myanimelist.net/images/manga/3/117533l.jpg
71,Seijuu Densho Dark Angel,,聖獣伝承DARK ANGEL,Manga,627,6.35,1992,https://cdn.myanimelist.net/images/manga/1/216858l.jpg
