rank,title,title_english,title_japanese,type,members,score,year,image_url
1,No Home,,집이 없어,Manhwa,13811,8.82,2018,https://cdn.myanimelist.net/images/manga/3/264873l.jpg
2,Chainsaw Man,Chainsaw Man,チェンソーマン,Manga,747265,8.62,2018,https://cdn.myanimelist.net/images/manga/3/216464l.jpg
3,Skip to Loafer,Skip and Loafer,スキップとローファー,Manga,55084,8.6,2018,https://cdn.myanimelist.net/images/manga/3/220669l.jpg
4,19 Tian,,19天,Manhua,16315,8.56,2018,https://cdn.myanimelist.net/images/manga/3/258684l.jpg
5,Solo Leveling,Solo Leveling,나 혼자만 레벨업,Manhwa,628299,8.55,2018,https://cdn.myanimelist.net/images/manga/3/222295l.jpg
6,Eleceed,Eleceed,일렉시드,Manhwa,46892,8.5,2018,https://cdn.myanimelist.net/images/manga/1/260660l.jpg
6,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,Bloom into You: Regarding Saeki Sayaka,やがて君になる 佐伯沙弥香について,Light Novel,9821,8.5,2018,https://cdn.myanimelist.net/images/manga/3/222780l.jpg
8,Bakemonogatari,Bakemonogatari,化物語,Manga,46191,8.49,2018,https://cdn.myanimelist.net/images/manga/2/210355l.jpg
9,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,陰の実力者になりたくて！,Light Novel,29028,8.48,2018,https://cdn.myanimelist.net/images/manga/1/269801l.jpg
10,blanc,Classmates: blanc,blanc,Manga,11005,8.46,2018,https://cdn.myanimelist.net/images/manga/2/239600l.jpg
11,Blue Lock,Blue Lock,ブルーロック,Manga,227120,8.41,2018,https://cdn.myanimelist.net/images/manga/5/213340l.jpg
12,Shadows House,Shadows House,シャドーハウス,Manga,52223,8.37,2018,https://cdn.myanimelist.net/images/manga/2/215750l.jpg
13,Violet Evergarden Gaiden,,ヴァイオレット・エヴァーガーデン 外伝,Light Novel,4934,8.36,2018,https://cdn.myanimelist.net/images/manga/2/224184l.jpg
14,Tsukiatte Agetemo Ii kana,How Do We Relationship?,付き合ってあげてもいいかな,Manga,28680,8.34,2018,https://cdn.myanimelist.net/images/manga/1/221553l.jpg
15,Kimi ga Shinu made Koi wo Shitai,I Want to Love You Till Your Dying Day,きみが死ぬまで恋をしたい,Manga,22176,8.33,2018,https://cdn.myanimelist.net/images/manga/1/215753l.jpg
15,Leviathan,Leviathan,심해수,Manhwa,28600,8.33,2018,https://cdn.myanimelist.net/images/manga/3/265669l.jpg
17,Act-age,Act-age,アクタージュ act-age,Manga,57012,8.24,2018,https://cdn.myanimelist.net/images/manga/2/209753l.jpg
17,Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,陰の実力者になりたくて!,Manga,91234,8.24,2018,https://cdn.myanimelist.net/images/manga/3/227280l.jpg
19,Boku no Kokoro no Yabai Yatsu,The Dangers in My Heart,僕の心のヤバイやつ,Manga,70715,8.23,2018,https://cdn.myanimelist.net/images/manga/3/213349l.jpg
20,Jigokuraku,Hell's Paradise: Jigokuraku,地獄楽,Manga,195809,8.21,2018,https://cdn.myanimelist.net/images/manga/2/208522l.jpg
20,Romance 101,Romance 101,바른연애 길잡이,Manhwa,10185,8.21,2018,https://cdn.myanimelist.net/images/manga/3/238367l.jpg
20,Shinai naru Boku e Satsui wo Komete,My Dearest Self With Malice Aforethought,親愛なる僕へ殺意をこめて,Manga,59614,8.21,2018,https://cdn.myanimelist.net/images/manga/1/211898l.jpg
23,Shin High School DxD,,真ハイスクールD×D,Light Novel,5490,8.19,2018,https://cdn.myanimelist.net/images/manga/3/210424l.jpg
24,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen - Kizokuin Gaiden,Ascendance of a Bookworm: I'll do Anything to Become a Librarian! - Royal Academy Stories,本好きの下剋上～司書になるためには手段を選んでいられません～貴族院外伝,Light Novel,1640,8.18,2018,https://cdn.myanimelist.net/images/manga/3/277464l.jpg
25,Jujutsu Kaisen,Jujutsu Kaisen,呪術廻戦,Manga,522976,8.17,2018,https://cdn.myanimelist.net/images/manga/3/210341l.jpg
25,Tengoku Daimakyou,Heavenly Delusion,天国大魔境,Manga,47736,8.17,2018,https://cdn.myanimelist.net/images/manga/2/210308l.jpg
27,Ase to Sekken,Sweat and Soap,あせとせっけん,Manga,52936,8.16,2018,https://cdn.myanimelist.net/images/manga/3/271450l.jpg
27,Fushigi Neko no Kyuu-chan,Wonder Cat Kyuu-chan,ふしぎねこのきゅーちゃん,Manga,9747,8.16,2018,https://cdn.myanimelist.net/images/manga/3/220129l.jpg
27,Tonikaku Kawaii,Fly Me to the Moon,トニカクカワイイ,Manga,95382,8.16,2018,https://cdn.myanimelist.net/images/manga/3/209955l.jpg
30,Your Letter,Your Letter,연의 편지,Manhwa,16426,8.15,2018,https://cdn.myanimelist.net/images/manga/2/222246l.jpg
31,Bungou Stray Dogs: Dead Apple,Bungo Stray Dogs: Dead Apple,文豪ストレイドッグス DEAD APPLE,Manga,8900,8.14,2018,https://cdn.myanimelist.net/images/manga/1/208101l.jpg
32,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,30歳まで童貞だと魔法使いになれるらしい,Manga,12030,8.12,2018,https://cdn.myanimelist.net/images/manga/2/220978l.jpg
33,Gokushufudou,The Way of the Househusband,極主夫道,Manga,137387,8.09,2018,https://cdn.myanimelist.net/images/manga/3/210716l.jpg
34,Suki na Ko ga Megane wo Wasureta,The Girl I Like Forgot Her Glasses,好きな子がめがねを忘れた,Manga,51636,8.08,2018,https://cdn.myanimelist.net/images/manga/3/219461l.jpg
35,Houkago Shounen Hanako-kun,After-School Hanako-kun,放課後少年花子くん,Manga,9656,8.06,2018,https://cdn.myanimelist.net/images/manga/3/222371l.jpg
36,Kakeochi Girl,"Run Away with Me, Girl",かけおちガール,Manga,17026,8.02,2018,https://cdn.myanimelist.net/images/manga/2/266111l.jpg
36,Sono Bisque Doll wa Koi wo Suru,My Dress-Up Darling,その着せ替え人形〈ビスク・ドール〉は恋をする,Manga,204336,8.02,2018,https://cdn.myanimelist.net/images/manga/2/215054l.jpg
38,Zense Coupling,,前世カップリング,Manga,11536,8.01,2018,https://cdn.myanimelist.net/images/manga/1/233278l.jpg
39,Watashi no Shiawase na Kekkon,My Happy Marriage,わたしの幸せな結婚,Manga,23974,7.99,2018,https://cdn.myanimelist.net/images/manga/2/223940l.jpg
