rank,title,title_english,title_japanese,type,members,score,year
1,Tenshi no Tamago,Angel's Egg,天使のたまご,OVA,167856,7.71,1985
2,Vampire Hunter D,Vampire Hunter D,吸血鬼〈バンパイア〉ハンターD,Movie,100970,6.98,1985
4,Touch,Touch,タッチ,TV,39041,7.98,1985
5,Dirty Pair,Dirty Pair,ダーティペア,TV,36704,7.22,1985
6,Ginga Tetsudou no Yoru,Night on the Galactic Railroad,銀河鉄道の夜,Movie,29057,7.35,1985
7,Megazone 23,Megazone 23,メガゾーン23,OVA,24412,6.74,1985
8,Princess Sara,A Little Princess Sara,小公女[プリンセス]セーラ,TV,23306,7.68,1985
9,Area 88,Area 88,エリア88,OVA,20692,7.47,1985
10,Tatakae!! Iczer-1,Fight!! Iczer-1,戦え!! イクサー1,OVA,11258,6.13,1985
11,Dream Hunter Rem,Dream Hunter Rem,DREAM HUNTER 麗夢,OVA,10370,6.19,1985
15,Genmu Senki Leda,Fantastic Adventure Of Yohko: Leda,幻夢戦記レダ,OVA,9123,6.26,1985
16,Kamui no Ken,The Dagger of Kamui,カムイの剣,Movie,8110,6.61,1985
18,Aoki Ryuusei SPT Layzner,Blue Comet SPT Layzner,蒼き流星SPTレイズナー,TV,7876,6.91,1985
19,Captain Tsubasa: Europe Daikessen,Captain Tsubasa: Europe Daikessen,キャプテン翼　ヨーロッパ大決戦,Movie,6769,6.85,1985
20,Fire Tripper,Fire Tripper,炎トリッパー,OVA,6559,6.41,1985
21,Dirty Pair no Ooshoubu: Nolandia no Nazo,Dirty Pair: Affair of Nolandia,ダーティペアの大勝負 ノーランディアの謎,OVA,6440,6.33,1985
22,Choujuu Kishin Dancougar,Super Bestial Machine God Dancougar,超獣機神ダンクーガ,TV,6421,6.63,1985
23,Mahou no Star Magical Emi,Star Magician Magical Emi,魔法のスター マジカルエミ,TV,6336,6.8,1985
24,Captain Tsubasa: Ayaushi! Zen Nihon Jr.,Captain Tsubasa: Ayaushi! Zen Nihon Jr.,キャプテン翼　危うし！全日本Ｊｒ．,Movie,5971,6.77,1985
25,Ninja Senshi Tobikage,Ninja Robots,忍者戦士飛影,TV,5770,6.95,1985
26,Penguin's Memory: Shiawase Monogatari,Penguin's Memory: Shiawase Monogatari,ペンギンズ・メモリー幸福物語,Movie,5741,7.08,1985
27,Twinkle Nora Rock Me!,Twinkle Nora Rock Me!,トゥインクル NORA(ノーラ) ロック・ミー!,OVA,5737,3,1985
28,High School! Kimengumi,Funny Faces in High School,ハイスクール！奇面組,TV,5122,7.31,1985
29,Soukou Kihei Votoms: The Last Red Shoulder,Armored Trooper Votoms: The Last Red Shoulder,装甲騎兵ボトムズ　ザ・ラストレッドショルダー,OVA,5049,7.11,1985
30,Bobby ni Kubittake,Bobby's Girl,ボビーに首ったけ,Movie,5025,5.96,1985
31,Kimagure Orange☆Road: Shounen Jump Special,Kimagure Orange Road TV Pilot,きまぐれオレンジ☆ロード 少年ジャンプ・スペシャル,OVA,4989,6.48,1985
32,Nido to Mezamenu Komoriuta,The Death Lullaby,二度と目覚めぬ子守唄,Movie,4454,5.73,1985
33,Honoo no Alpenrose: Judy & Randy,Alpenrose,炎のアルペンローゼ・ジュディ＆ランディ,TV,4369,6.78,1985
34,Odin: Koushi Hansen Starlight,Odin: Starlight Mutiny,オーディーン・光子帆船スターライト,Movie,4193,5.2,1985
35,Sengoku Majin Goushougun: Toki no Etranger,Time Stranger,戦国魔人ゴーショーグン 時の異邦人[ÉTRANGER[エトランゼ]],Movie,4043,6.66,1985
36,The Chocolate Panic Picture Show,The Chocolate Picture Panic Show,ザ・チョコレートパニック・ピクチャーショー,OVA,3948,4.32,1985
37,Mujigen Hunter Fandora,Dream Dimension Hunter Fandora,夢次元ハンターファンドラ,OVA,3927,5.63,1985
38,Nora,Nora,ノーラ,OVA,3829,4.32,1985
39,Bishoujo Comic Lolicon Angel: Mitsu no Aji,Bishoujo Comic Lolicon Angel: Mitsu no Aji,美少女コミック ロリコンエンジェル ～蜜の味～,OVA,3506,5.38,1985
40,Cosmo Police Justy,Cosmo Police Justy,COSMO POLICE ジャスティ,OVA,3441,5.38,1985
41,Gegege no Kitarou (1985),Gegege no Kitarou (1985),ゲゲゲの鬼太郎,TV,3407,6.58,1985
42,Musashi no Ken,Musashi no Ken,六三四の剣,TV,3268,7.1,1985
43,Onboro Film,Broken Down Film,おんぼろフィルム,Movie,3127,6.35,1985
44,Yousei Florence,A Journey Through Fairyland,妖精フローレンス,Movie,2925,6.47,1985
45,Mahou no Princess Minky Momo: Yume no Naka no Rondo,Magical Princess Minky Momo: La Ronde in my Dream,魔法のプリンセス ミンキーモモ夢の中の輪舞,OVA,2892,6.55,1985
46,Arei no Kagami: Way to the Virgin Space,Arei's Mirror ~ Way to the Virgin Space,アレイの鏡 ~ Way to the Virgin Space,Movie,2390,5.41,1985
47,Ouritsu Uchuugun: Honneamise no Tsubasa Pilot,Ouritsu Uchuugun: Honneamise no Tsubasa Pilot,王立宇宙軍 オネアミスの翼 パイロットフィルム,Special,2371,5.97,1985
48,Area 88 Movie,Area 88 Movie,エリア88 劇場版,Movie,2345,6.56,1985
49,Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,魔法のプリンセスミンキーモモvs魔法の天使クリィーミーマミ,Movie,2260,5.9,1985
50,Mahou no Tenshi Creamy Mami: Long Goodbye,Mahou no Tenshi Creamy Mami: Long Goodbye,魔法の天使クリィミーマミ　ロング・グッドバイ,OVA,2220,6.41,1985
