rank,title,title_english,title_japanese,type,members,score,year,image_url
1,The Greatest Estate Developer,The Greatest Estate Developer,역대급 영지 설계사,Manhwa,95943,9.1,2021,https://cdn.myanimelist.net/images/manga/1/290131l.jpg
2,Tian Guan Cifu,Heaven Official's Blessing: Tian Guan Ci Fu,天官赐福,Novel,23337,9.02,2021,https://cdn.myanimelist.net/images/manga/3/258775l.jpg
3,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms with Dignity,薫る花は凛と咲く,Manga,148323,8.77,2021,https://cdn.myanimelist.net/images/manga/5/256607l.jpg
4,Hirayasumi,Hirayasumi,ひらやすみ,Manga,27357,8.58,2021,https://cdn.myanimelist.net/images/manga/2/249992l.jpg
5,Amayo no Tsuki,The Moon on a Rainy Night,雨夜の月,Manga,15054,8.56,2021,https://cdn.myanimelist.net/images/manga/3/253111l.jpg
5,Nan Hao Shang Feng,,南号尚风,Manhua,26188,8.56,2021,https://cdn.myanimelist.net/images/manga/1/254654l.jpg
7,Webtoon Character Na Kang Lim,,수요웹툰의 나강림,Manhwa,20598,8.53,2021,https://cdn.myanimelist.net/images/manga/1/292948l.jpg
8,Return of the Blossoming Blade,Return of the Blossoming Blade,화산귀환,Manhwa,43665,8.47,2021,https://cdn.myanimelist.net/images/manga/2/275074l.jpg
9,Look Back,Look Back,ルックバック,Manga,133129,8.44,2021,https://cdn.myanimelist.net/images/manga/3/249833l.jpg
10,Hikaru ga Shinda Natsu,The Summer Hikaru Died,光が死んだ夏,Manga,75004,8.43,2021,https://cdn.myanimelist.net/images/manga/2/256448l.jpg
10,Make Heroine ga Oosugiru!,Too Many Losing Heroines!,負けヒロインが多すぎる！,Light Novel,9625,8.43,2021,https://cdn.myanimelist.net/images/manga/2/248592l.jpg
12,Silent Witch: Chinmoku no Majo no Kakushigoto,Secrets of the Silent Witch,サイレント・ウィッチ 沈黙の魔女の隠しごと,Light Novel,4775,8.41,2021,https://cdn.myanimelist.net/images/manga/3/252848l.jpg
13,Kimi no Yoru ni Fureru,Touch within the Abyss,君の夜に触れる,Manga,8771,8.4,2021,https://cdn.myanimelist.net/images/manga/2/269777l.jpg
14,Akuyaku Reijou no Naka no Hito: Danzai sareta Tenseisha no Tame Usotsuki Heroine ni Fukushuu Itashimasu,Within the Villainess,悪役令嬢の中の人～断罪された転生者のため嘘つきヒロインに復讐いたします～,Manga,17427,8.39,2021,https://cdn.myanimelist.net/images/manga/2/263563l.jpg
15,Dandadan,Dandadan,ダンダダン,Manga,219546,8.38,2021,https://cdn.myanimelist.net/images/manga/2/248746l.jpg
16,Chiikawa: Nanka Chiisakute Kawaii Yatsu,,ちいかわ なんか小さくてかわいいやつ,Manga,2238,8.37,2021,https://cdn.myanimelist.net/images/manga/1/252467l.jpg
17,Watashi no Oshi wa Akuyaku Reijou.: Revolution,I'm in Love with the Villainess,私の推しは悪役令嬢。-Revolution-,Light Novel,9025,8.35,2021,https://cdn.myanimelist.net/images/manga/1/253475l.jpg
18,Daytime Star,Daytime Star,낮에 뜨는 별,Manhwa,13436,8.34,2021,https://cdn.myanimelist.net/images/manga/2/265157l.jpg
19,I Shall Master This Family,I Shall Master This Family,이번 생은 가주가 되겠습니다,Manhwa,25113,8.33,2021,https://cdn.myanimelist.net/images/manga/3/274102l.jpg
20,Ao no Hako,Blue Box,アオのハコ,Manga,107283,8.32,2021,https://cdn.myanimelist.net/images/manga/2/248748l.jpg
21,Define the Relationship,Define the Relationship,디파인 더 릴레이션십,Manhwa,4230,8.3,2021,https://cdn.myanimelist.net/images/manga/3/288206l.jpg
22,Mimoza no Kokuhaku,The Mimosa Confessions,ミモザの告白,Light Novel,2883,8.29,2021,https://cdn.myanimelist.net/images/manga/2/252846l.jpg
22,Yuki no Yousei,Snow Fairy,雪の妖精,Manga,5961,8.29,2021,https://cdn.myanimelist.net/images/manga/3/257952l.jpg
24,How to Win My Husband Over,How to Win My Husband Over,남편을 내 편으로 만드는 방법,Manhwa,21370,8.27,2021,https://cdn.myanimelist.net/images/manga/2/283080l.jpg
25,Tsukuritai Onna to Tabetai Onna,"She Loves to Cook, and She Loves to Eat",作りたい女と食べたい女,Manga,9769,8.25,2021,https://cdn.myanimelist.net/images/manga/1/250171l.jpg
26,Gimai Seikatsu,Days with My Stepsister,義妹生活,Light Novel,14996,8.21,2021,https://cdn.myanimelist.net/images/manga/2/240697l.jpg
26,The Crown Princess Scandal,The Crown Princess Scandal,후궁 스캔들,Manhwa,3422,8.21,2021,https://cdn.myanimelist.net/images/manga/1/287356l.jpg
28,Killer Crush,Killer Crush,킬러가 사랑에 빠졌을 때,Manhwa,4476,8.2,2021,https://cdn.myanimelist.net/images/manga/2/299703l.jpg
28,Taming the Tiger,Taming the Tiger,눈에 범이 서리다,Manhwa,1632,8.2,2021,https://cdn.myanimelist.net/images/manga/2/331424l.jpg
30,Surviving Romance,Surviving Romance,살아남은 로맨스,Manhwa,13051,8.15,2021,https://cdn.myanimelist.net/images/manga/2/270717l.jpg
31,"Like Mother, Like Daughter","Like Mother, Like Daughter",똑 닮은 딸,Manhwa,3516,8.14,2021,https://cdn.myanimelist.net/images/manga/3/302966l.jpg
32,Goukon ni Ittara Onna ga Inakatta Hanashi,How I Attended an All-Guy's Mixer,合コンに行ったら女がいなかった話,Manga,9507,8.13,2021,https://cdn.myanimelist.net/images/manga/3/254144l.jpg
32,Roxana,Roxana,록사나 : 여주인공의 오빠를 지키는 방법,Manhwa,18162,8.13,2021,https://cdn.myanimelist.net/images/manga/2/261513l.jpg
32,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,Alya Sometimes Hides Her Feelings in Russian,時々ボソッとロシア語でデレる隣のアーリャさん,Light Novel,22136,8.13,2021,https://cdn.myanimelist.net/images/manga/3/241840l.jpg
32,Under the Greenlight,Under the Greenlight,녹색전상,Manhwa,8003,8.13,2021,https://cdn.myanimelist.net/images/manga/2/265446l.jpg
36,Your Eternal Lies,Your Eternal Lies,영원한 너의 거짓말,Manhwa,3526,8.11,2021,https://cdn.myanimelist.net/images/manga/1/331094l.jpg
37,Class de 2-banme ni Kawaii Onnanoko to Tomodachi ni Natta,I Became Friends with the Second Cutest Girl in the Class.,クラスで２番目に可愛い女の子と友だちになった,Light Novel,4781,8.1,2021,https://cdn.myanimelist.net/images/manga/1/253859l.jpg
37,Tamon-kun Ima Docchi!?,Tamon's B-Side,多聞くん今どっち!?,Manga,13210,8.1,2021,https://cdn.myanimelist.net/images/manga/2/256420l.jpg
37,Wind Breaker,Wind Breaker,WIND BREAKER,Manga,35208,8.1,2021,https://cdn.myanimelist.net/images/manga/1/244074l.jpg
40,Secret Lady,Secret Lady,시크릿 레이디,Manhwa,10294,8.08,2021,https://cdn.myanimelist.net/images/manga/1/264819l.jpg
