rank,title,title_english,title_japanese,type,members,score,year,image_url
1,Naruto,Naruto,NARUTO―ナルト―,Manga,448462,8.09,1999,https://cdn.myanimelist.net/images/manga/3/249658l.jpg
2,20th Century Boys,20th Century Boys,20世紀少年,Manga,317877,8.93,1999,https://cdn.myanimelist.net/images/manga/5/260006l.jpg
3,JoJo no Kimyou na Bouken Part 6: Stone Ocean,JoJo's Bizarre Adventure Part 6: Stone Ocean,ジョジョの奇妙な冒険 ストーンオーシャン,Manga,220836,8.24,1999,https://cdn.myanimelist.net/images/manga/2/255379l.jpg
4,Real,Real,リアル,Manga,114091,8.98,1999,https://cdn.myanimelist.net/images/manga/2/115969l.jpg
5,Mushishi,Mushishi,蟲師,Manga,98207,8.71,1999,https://cdn.myanimelist.net/images/manga/2/159514l.jpg
6,Planetes,Planetes,プラネテス ΠΛΑΝΗΤΕΣ,Manga,65048,8.24,1999,https://cdn.myanimelist.net/images/manga/3/170572l.jpg
7,Paradise Kiss,Paradise Kiss,パラダイス・キス,Manga,62677,8.3,1999,https://cdn.myanimelist.net/images/manga/1/262323l.jpg
8,Azumanga Daioh,Azumanga Daioh,あずまんが大王,Manga,62300,8.38,1999,https://cdn.myanimelist.net/images/manga/2/259651l.jpg
9,Rave,Rave Master,RAVE,Manga,53298,7.85,1999,https://cdn.myanimelist.net/images/manga/3/255624l.jpg
10,Baki: New Grappler Baki,New Grappler Baki,バキ―NEW GRAPPLER BAKI,Manga,29036,7.83,1999,https://cdn.myanimelist.net/images/manga/2/6648l.jpg
11,FLCL,FLCL,フリクリ,Manga,28886,7.25,1999,https://cdn.myanimelist.net/images/manga/2/113333l.jpg
12,Tennis no Oujisama,The Prince of Tennis,テニスの王子様,Manga,28368,7.71,1999,https://cdn.myanimelist.net/images/manga/3/153238l.jpg
13,Samurai Deeper Kyou,Samurai Deeper Kyo,SAMURAI DEEPER KYO,Manga,27127,7.7,1999,https://cdn.myanimelist.net/images/manga/3/157961l.jpg
14,Serial Experiments Lain: The Nightmare of Fabrication,,serial experiments lain the nightmare of fabrication,One-shot,24385,7.47,1999,https://cdn.myanimelist.net/images/manga/1/6920l.jpg
15,+Anima,+Anima,+ANIMA,Manga,22487,7.68,1999,https://cdn.myanimelist.net/images/manga/2/267791l.jpg
16,Gokusen,,ごくせん,Manga,20778,8.08,1999,https://cdn.myanimelist.net/images/manga/2/171655l.jpg
17,Saishuu Heiki Kanojo,SaiKano,最終兵器彼女,Manga,19780,7.91,1999,https://cdn.myanimelist.net/images/manga/1/120281l.jpg
18,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,Manga,18935,7.17,1999,https://cdn.myanimelist.net/images/manga/5/166652l.jpg
19,Zombie Powder.,Zombiepowder.,ZOMBIEPOWDER.,Manga,17086,6.95,1999,https://cdn.myanimelist.net/images/manga/3/180035l.jpg
20,GetBackers,GetBackers,GetBackers -奪還屋-,Manga,16399,7.68,1999,https://cdn.myanimelist.net/images/manga/1/169369l.jpg
21,Marie no Kanaderu Ongaku,The Music of Marie,Marieの奏でる音楽,Manga,16237,7.93,1999,https://cdn.myanimelist.net/images/manga/3/171103l.jpg
22,Alive,,ALIVE,Manga,15769,6.55,1999,https://cdn.myanimelist.net/images/manga/3/268012l.jpg
23,Power!!,Girl Got Game,POWER!!,Manga,15431,7.72,1999,https://cdn.myanimelist.net/images/manga/2/144007l.jpg
